Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-02-25,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-02-26,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-02-27,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-02-28,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-02-29,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-01,,1.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-02,,3.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-03,,5.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-04,,12.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-05,,12.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-06,,17.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-07,,17.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-08,,19.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-09,,20.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-10,,20.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-11,,20.0,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-12,,24.0,1.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-13,,26.0,2.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-14,,37.0,3.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-15,,48.0,4.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-16,,54.0,4.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-17,,60.0,4.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-18,,74.0,7.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-19,,87.0,9.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-20,,90.0,11.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-21,,139.0,15.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-22,,201.0,17.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-23,,230.0,17.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-24,,264.0,19.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-25,,302.0,21.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-26,,367.0,25.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-27,,409.0,26.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-28,,454.0,29.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-29,,511.0,31.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-30,,584.0,35.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-03-31,,716.0,44.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-01,200.0,847.0,58.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-02,,986.0,86.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-03,,1171.0,105.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-04,,1251.0,130.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-05,,1320.0,152.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-06,,1423.0,173.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-07,,1468.0,193.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-08,,1572.0,205.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-09,,1666.0,235.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-10,,1761.0,256.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-11,,1825.0,275.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-12,,1914.0,293.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-13,,1983.0,313.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-14,,2070.0,326.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-15,,2160.0,336.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-16,,2268.0,348.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-17,,2418.0,364.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-18,,2534.0,367.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-19,,2629.0,375.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-20,,2718.0,384.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-21,,2811.0,392.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-22,,2910.0,402.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-23,,3007.0,407.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-24,,3127.0,415.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-25,,3256.0,419.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-26,,3382.0,425.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-27,,3517.0,432.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-28,,3649.0,437.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-29,,3848.0,444.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-04-30,,4006.0,450.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-05-01,400.0,4154.0,453.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-05-02,,4295.0,459.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-05-03,,4474.0,463.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-05-04,,4648.0,465.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-05-05,,4838.0,470.0
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-05-06,,4997.0,476.0
