Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-01,4.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-02,43.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-03,4.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-04,17.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-05,10.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-06,53.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-07,28.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-08,5.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-09,1.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-10,76.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-12,36.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-15,1.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-16,2.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-17,3.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-18,1.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-19,35.0,,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-20,3.0,,
