Entity,Date,Daily tests,Cases,Deaths
Armenia,2020-03-27,224.0,329.0,1.0
Armenia,2020-04-01,210.0,571.0,4.0
Armenia,2020-04-06,263.0,833.0,8.0
Armenia,2020-04-07,211.0,853.0,8.0
Armenia,2020-04-08,312.0,881.0,9.0
Armenia,2020-05-02,965.0,2273.0,33.0
Armenia,2020-05-03,1035.0,2386.0,35.0
Armenia,2020-05-04,765.0,2507.0,39.0
Armenia,2020-05-05,904.0,2619.0,40.0
Armenia,2020-05-06,1083.0,2782.0,40.0
Armenia,2020-05-07,1088.0,2884.0,42.0
Armenia,2020-05-10,1193.0,3313.0,45.0
Armenia,2020-05-11,971.0,3392.0,46.0
Armenia,2020-05-12,752.0,3538.0,47.0
Armenia,2020-05-13,1453.0,3718.0,48.0
Armenia,2020-05-14,1250.0,3860.0,49.0
Armenia,2020-05-15,1460.0,4044.0,52.0
Armenia,2020-05-16,1529.0,4283.0,55.0
Armenia,2020-05-17,1225.0,4472.0,60.0
Armenia,2020-05-18,1620.0,4823.0,61.0
Armenia,2020-05-19,1191.0,5041.0,64.0
Armenia,2020-05-20,1030.0,5271.0,67.0
Armenia,2020-05-27,1124.0,7774.0,98.0
Armenia,2020-05-28,1253.0,8216.0,113.0
Armenia,2020-06-29,1398.0,25127.0,433.0
Armenia,2020-08-29,1726.0,43626.0,872.0
Armenia,2020-09-07,3367.0,44845.0,900.0
Armenia,2020-10-13,2114.0,57566.0,1032.0
Armenia,2020-11-25,4198.0,129085.0,2040.0
Armenia,2020-12-06,2728.0,141937.0,2326.0
Armenia,2021-01-02,540.0,159798.0,2836.0
Armenia,2021-02-05,2858.0,167726.0,3109.0
Armenia,2021-02-06,2568.0,167937.0,3114.0
Armenia,2021-02-07,2576.0,168088.0,3117.0
Armenia,2021-02-08,1870.0,168177.0,3123.0
Armenia,2021-02-09,2269.0,168300.0,3126.0
Armenia,2021-02-10,2574.0,168496.0,3130.0
Armenia,2021-02-11,2500.0,168676.0,3135.0
Armenia,2021-02-12,2893.0,168830.0,3138.0
Armenia,2021-02-13,2704.0,169022.0,3140.0
Armenia,2021-02-14,2703.0,169167.0,3141.0
Armenia,2021-02-15,2802.0,169255.0,3147.0
Armenia,2021-02-16,3075.0,169391.0,3150.0
Armenia,2021-02-17,3431.0,169597.0,3155.0
Armenia,2021-02-18,3211.0,169820.0,3156.0
Armenia,2021-02-19,2931.0,170011.0,3158.0
Armenia,2021-02-20,3509.0,170234.0,3159.0
Armenia,2021-02-21,3334.0,170402.0,3164.0
Armenia,2021-02-22,3198.0,170506.0,3167.0
Armenia,2021-02-23,2872.0,170672.0,3171.0
Armenia,2021-02-24,2993.0,170945.0,3175.0
Armenia,2021-02-25,3488.0,171227.0,3179.0
