Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-01,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-02,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-03,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-04,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-05,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-06,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-07,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-08,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-09,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-10,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-11,,1.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-12,,4.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-13,,8.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-14,,18.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-15,,26.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-16,117.0,52.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-17,,78.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-18,,84.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-19,,115.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-20,,136.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-21,,160.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-22,,194.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-23,,235.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-24,,249.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-25,,265.0,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-26,,290.0,1.0
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-27,224.0,329.0,1.0
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-28,,407.0,1.0
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-29,,424.0,3.0
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-30,,482.0,3.0
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-31,,532.0,3.0
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-04-01,210.0,571.0,4.0
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-04-02,,663.0,7.0
