Entity,Date,Daily tests,Cases,Deaths
Australia,2020-01-26,,4.0,
Australia,2020-01-27,,5.0,
Australia,2020-01-28,,5.0,
Australia,2020-01-29,,6.0,
Australia,2020-01-30,,9.0,
Australia,2020-01-31,,9.0,
Australia,2020-02-01,,12.0,
Australia,2020-02-02,,12.0,
Australia,2020-02-03,,12.0,
Australia,2020-02-04,,13.0,
Australia,2020-02-05,,13.0,
Australia,2020-02-06,,14.0,
Australia,2020-02-07,,15.0,
Australia,2020-02-08,,15.0,
Australia,2020-02-09,,15.0,
Australia,2020-02-10,,15.0,
Australia,2020-02-11,,15.0,
Australia,2020-02-12,,15.0,
Australia,2020-02-13,,15.0,
Australia,2020-02-14,,15.0,
Australia,2020-02-15,,15.0,
Australia,2020-02-16,,15.0,
Australia,2020-02-17,,15.0,
Australia,2020-02-18,,15.0,
Australia,2020-02-19,,15.0,
Australia,2020-02-20,,15.0,
Australia,2020-02-21,,15.0,
Australia,2020-02-22,,15.0,
Australia,2020-02-23,,15.0,
Australia,2020-02-24,,15.0,
Australia,2020-02-25,,15.0,
Australia,2020-02-26,,15.0,
Australia,2020-02-27,,15.0,
Australia,2020-02-28,,15.0,
Australia,2020-02-29,,25.0,
Australia,2020-03-01,,27.0,1.0
Australia,2020-03-02,,30.0,1.0
Australia,2020-03-03,,39.0,1.0
Australia,2020-03-04,,52.0,2.0
Australia,2020-03-05,,55.0,2.0
Australia,2020-03-06,,60.0,2.0
Australia,2020-03-07,,63.0,2.0
Australia,2020-03-08,,76.0,3.0
Australia,2020-03-09,,91.0,3.0
Australia,2020-03-10,,107.0,3.0
Australia,2020-03-11,,128.0,3.0
Australia,2020-03-12,,128.0,3.0
Australia,2020-03-13,,200.0,3.0
Australia,2020-03-14,,250.0,3.0
Australia,2020-03-15,,297.0,3.0
Australia,2020-03-16,,377.0,3.0
Australia,2020-03-17,,452.0,5.0
Australia,2020-03-18,,568.0,6.0
Australia,2020-03-19,,681.0,6.0
Australia,2020-03-20,,791.0,7.0
Australia,2020-03-21,,1071.0,7.0
Australia,2020-03-22,,1549.0,7.0
Australia,2020-03-23,,1682.0,7.0
Australia,2020-03-24,,2044.0,8.0
Australia,2020-03-25,,2364.0,8.0
Australia,2020-03-26,,2810.0,13.0
Australia,2020-03-27,,3143.0,13.0
Australia,2020-03-28,,3640.0,14.0
Australia,2020-03-29,,3984.0,16.0
Australia,2020-03-30,,4361.0,17.0
Australia,2020-03-31,,4559.0,18.0
Australia,2020-04-01,,4862.0,20.0
Australia,2020-04-02,,5116.0,24.0
Australia,2020-04-03,,5330.0,28.0
Australia,2020-04-04,,5550.0,30.0
Australia,2020-04-05,,5687.0,35.0
Australia,2020-04-06,5509.0,5797.0,40.0
Australia,2020-04-07,8037.0,5895.0,45.0
Australia,2020-04-08,8668.0,6010.0,50.0
Australia,2020-04-09,10766.0,6108.0,51.0
Australia,2020-04-10,8212.0,6215.0,54.0
Australia,2020-04-11,9501.0,6303.0,57.0
Australia,2020-04-12,6094.0,6315.0,60.0
Australia,2020-04-13,8195.0,6351.0,61.0
Australia,2020-04-14,4357.0,6415.0,62.0
Australia,2020-04-15,4884.0,6440.0,63.0
Australia,2020-04-16,8626.0,6462.0,63.0
Australia,2020-04-17,11527.0,6522.0,66.0
Australia,2020-04-18,14980.0,6568.0,67.0
Australia,2020-04-19,14486.0,6610.0,67.0
Australia,2020-04-20,10738.0,6623.0,67.0
Australia,2020-04-21,8108.0,6645.0,67.0
Australia,2020-04-22,12599.0,6652.0,67.0
Australia,2020-04-23,14218.0,6662.0,75.0
Australia,2020-04-24,15711.0,6677.0,79.0
Australia,2020-04-25,11887.0,6694.0,80.0
Australia,2020-04-26,12192.0,6714.0,83.0
Australia,2020-04-27,10614.0,6721.0,83.0
Australia,2020-04-28,13616.0,6744.0,89.0
Australia,2020-04-29,13731.0,6752.0,91.0
Australia,2020-04-30,19231.0,6766.0,93.0
Australia,2020-05-01,25227.0,6778.0,93.0
Australia,2020-05-02,22715.0,6799.0,94.0
Australia,2020-05-03,21524.0,6822.0,95.0
Australia,2020-05-04,17107.0,6847.0,96.0
Australia,2020-05-05,14542.0,6875.0,97.0
Australia,2020-05-06,23900.0,6894.0,97.0
Australia,2020-05-07,33893.0,6913.0,97.0
Australia,2020-05-08,34701.0,6918.0,97.0
Australia,2020-05-09,38206.0,6939.0,97.0
Australia,2020-05-10,32416.0,6948.0,97.0
Australia,2020-05-11,27247.0,6970.0,97.0
Australia,2020-05-12,22808.0,6980.0,98.0
Australia,2020-05-13,31098.0,6989.0,98.0
Australia,2020-05-14,34455.0,7019.0,98.0
Australia,2020-05-15,40336.0,7035.0,98.0
Australia,2020-05-16,31836.0,7044.0,98.0
Australia,2020-05-17,26474.0,7054.0,99.0
Australia,2020-05-18,19908.0,7068.0,99.0
Australia,2020-05-19,23836.0,7072.0,100.0
Australia,2020-05-20,25697.0,7081.0,100.0
Australia,2020-05-21,26117.0,7095.0,101.0
Australia,2020-05-22,32998.0,7099.0,101.0
Australia,2020-05-23,21580.0,7114.0,102.0
Australia,2020-05-24,32533.0,7114.0,102.0
Australia,2020-05-25,19405.0,7126.0,102.0
Australia,2020-05-26,44023.0,7139.0,103.0
Australia,2020-05-27,50098.0,7150.0,103.0
Australia,2020-05-28,29123.0,7165.0,103.0
Australia,2020-05-29,30178.0,7184.0,103.0
Australia,2020-05-30,30916.0,7192.0,103.0
Australia,2020-05-31,26030.0,7202.0,103.0
Australia,2020-06-01,17652.0,7221.0,102.0
Australia,2020-06-02,18167.0,7229.0,102.0
Australia,2020-06-03,22313.0,7240.0,102.0
Australia,2020-06-04,33629.0,7247.0,102.0
Australia,2020-06-05,32863.0,7252.0,102.0
Australia,2020-06-06,11396.0,7259.0,102.0
Australia,2020-06-07,26874.0,7265.0,102.0
Australia,2020-06-08,16053.0,7267.0,102.0
Australia,2020-06-09,17169.0,7274.0,102.0
Australia,2020-06-10,29270.0,7285.0,102.0
Australia,2020-06-11,31269.0,7289.0,102.0
Australia,2020-06-12,34327.0,7294.0,102.0
Australia,2020-06-13,37101.0,7320.0,102.0
Australia,2020-06-14,29702.0,7335.0,102.0
Australia,2020-06-15,15796.0,7347.0,102.0
Australia,2020-06-16,20198.0,7370.0,102.0
Australia,2020-06-17,27770.0,7391.0,102.0
Australia,2020-06-18,51380.0,7409.0,102.0
Australia,2020-06-19,42708.0,7411.0,102.0
Australia,2020-06-20,35173.0,7461.0,102.0
Australia,2020-06-21,35946.0,7474.0,102.0
Australia,2020-06-22,66525.0,7492.0,102.0
Australia,2020-06-23,24972.0,7521.0,103.0
Australia,2020-06-24,47603.0,7558.0,104.0
Australia,2020-06-25,51917.0,7595.0,104.0
Australia,2020-06-26,49498.0,7601.0,104.0
Australia,2020-06-27,54222.0,7686.0,104.0
Australia,2020-06-28,43114.0,7764.0,104.0
Australia,2020-06-29,36520.0,7834.0,104.0
Australia,2020-06-30,40287.0,7920.0,104.0
Australia,2020-07-01,49941.0,8001.0,104.0
Australia,2020-07-02,57859.0,8066.0,104.0
Australia,2020-07-03,54078.0,8260.0,104.0
Australia,2020-07-04,50176.0,8443.0,104.0
Australia,2020-07-05,45399.0,8583.0,106.0
Australia,2020-07-06,45730.0,8755.0,106.0
Australia,2020-07-07,41942.0,8886.0,106.0
Australia,2020-07-08,55299.0,9056.0,106.0
Australia,2020-07-09,54425.0,9374.0,106.0
Australia,2020-07-10,59437.0,9553.0,107.0
Australia,2020-07-11,51225.0,9797.0,108.0
Australia,2020-07-12,53995.0,9980.0,108.0
Australia,2020-07-13,42300.0,10251.0,108.0
Australia,2020-07-14,44449.0,10487.0,111.0
Australia,2020-07-15,59904.0,10810.0,113.0
Australia,2020-07-16,65575.0,11233.0,116.0
Australia,2020-07-17,62728.0,11441.0,118.0
Australia,2020-07-18,63387.0,11802.0,122.0
Australia,2020-07-19,62632.0,12069.0,123.0
Australia,2020-07-20,57962.0,12428.0,126.0
Australia,2020-07-21,56310.0,12894.0,128.0
Australia,2020-07-22,59794.0,13302.0,133.0
Australia,2020-07-23,69308.0,13595.0,139.0
Australia,2020-07-24,75584.0,13950.0,145.0
Australia,2020-07-25,64084.0,14403.0,155.0
Australia,2020-07-26,75619.0,14935.0,161.0
Australia,2020-07-27,51966.0,15303.0,167.0
Australia,2020-07-28,,15582.0,176.0
Australia,2020-07-29,,16298.0,189.0
Australia,2020-07-30,66205.0,16903.0,196.0
Australia,2020-07-31,,17280.0,201.0
Australia,2020-08-01,,17895.0,208.0
Australia,2020-08-02,39158.0,18318.0,221.0
Australia,2020-08-03,40529.0,18730.0,232.0
Australia,2020-08-04,94706.0,19445.0,247.0
Australia,2020-08-05,70464.0,19890.0,255.0
Australia,2020-08-06,80008.0,20272.0,266.0
Australia,2020-08-07,91937.0,20698.0,278.0
Australia,2020-08-08,40197.0,21084.0,295.0
Australia,2020-08-09,93191.0,21397.0,313.0
Australia,2020-08-10,61132.0,21713.0,331.0
Australia,2020-08-11,61626.0,22127.0,352.0
Australia,2020-08-12,61172.0,22358.0,361.0
Australia,2020-08-13,68441.0,22742.0,375.0
Australia,2020-08-14,70629.0,23035.0,379.0
Australia,2020-08-15,63370.0,23287.0,396.0
Australia,2020-08-16,53774.0,23558.0,421.0
Australia,2020-08-17,38539.0,23773.0,438.0
Australia,2020-08-18,44516.0,23989.0,450.0
Australia,2020-08-19,59882.0,24236.0,463.0
Australia,2020-08-20,68336.0,24407.0,472.0
Australia,2020-08-21,,24602.0,485.0
Australia,2020-08-22,,24811.0,502.0
Australia,2020-08-23,,24915.0,517.0
Australia,2020-08-24,51447.0,25053.0,525.0
Australia,2020-08-25,56675.0,25204.0,549.0
Australia,2020-08-26,71703.0,25322.0,572.0
Australia,2020-08-27,86268.0,25448.0,583.0
Australia,2020-08-28,,25547.0,600.0
Australia,2020-08-29,,25670.0,611.0
Australia,2020-08-30,,25746.0,652.0
Australia,2020-08-31,46224.0,25819.0,657.0
Australia,2020-09-01,41344.0,25923.0,663.0
Australia,2020-09-02,63998.0,26049.0,678.0
Australia,2020-09-03,70983.0,26136.0,737.0
Australia,2020-09-04,,26207.0,748.0
Australia,2020-09-05,,26278.0,753.0
Australia,2020-09-06,,26321.0,762.0
Australia,2020-09-07,36086.0,26373.0,770.0
Australia,2020-09-08,36963.0,26465.0,781.0
Australia,2020-09-09,58936.0,26524.0,788.0
Australia,2020-09-10,60098.0,26564.0,797.0
Australia,2020-09-11,,26607.0,803.0
Australia,2020-09-12,,26651.0,810.0
Australia,2020-09-13,,26692.0,816.0
Australia,2020-09-14,30946.0,26739.0,816.0
Australia,2020-09-15,29503.0,26778.0,824.0
Australia,2020-09-16,47845.0,26813.0,832.0
Australia,2020-09-17,54357.0,26861.0,837.0
Australia,2020-09-18,,26885.0,844.0
Australia,2020-09-19,,26898.0,849.0
Australia,2020-09-20,,26912.0,851.0
Australia,2020-09-21,23436.0,26942.0,854.0
Australia,2020-09-22,31595.0,26972.0,859.0
Australia,2020-09-23,42410.0,26980.0,861.0
Australia,2020-09-24,47634.0,27000.0,869.0
Australia,2020-09-25,,27016.0,870.0
Australia,2020-09-26,,27040.0,872.0
Australia,2020-09-27,,27044.0,875.0
Australia,2020-09-28,17099.0,27055.0,882.0
Australia,2020-09-29,26010.0,27078.0,886.0
Australia,2020-09-30,48071.0,27096.0,888.0
Australia,2020-10-01,42248.0,27109.0,890.0
Australia,2020-10-02,,27121.0,893.0
Australia,2020-10-03,,27135.0,894.0
Australia,2020-10-04,,27148.0,894.0
Australia,2020-10-05,,27173.0,895.0
Australia,2020-10-06,,27181.0,897.0
Australia,2020-10-07,32769.0,27206.0,897.0
Australia,2020-10-08,42837.0,27226.0,897.0
Australia,2020-10-09,,27244.0,897.0
Australia,2020-10-10,,27263.0,898.0
Australia,2020-10-11,,27285.0,898.0
Australia,2020-10-12,27447.0,27310.0,899.0
Australia,2020-10-13,27430.0,27337.0,904.0
Australia,2020-10-14,46502.0,27357.0,904.0
Australia,2020-10-15,43626.0,27371.0,904.0
Australia,2020-10-16,,27378.0,904.0
Australia,2020-10-17,,27390.0,904.0
Australia,2020-10-18,,27399.0,905.0
Australia,2020-10-19,27338.0,27405.0,905.0
Australia,2020-10-20,28873.0,27443.0,905.0
Australia,2020-10-21,45759.0,27458.0,905.0
Australia,2020-10-22,45818.0,27476.0,905.0
Australia,2020-10-23,,27495.0,905.0
Australia,2020-10-24,,27513.0,905.0
Australia,2020-10-25,,27525.0,905.0
Australia,2020-10-26,31186.0,27539.0,905.0
Australia,2020-10-27,31530.0,27553.0,907.0
Australia,2020-10-28,51683.0,27565.0,907.0
Australia,2020-10-29,50670.0,27579.0,907.0
Australia,2020-10-30,,27585.0,907.0
Australia,2020-10-31,,27595.0,907.0
Australia,2020-11-01,,27601.0,907.0
Australia,2020-11-02,30215.0,27610.0,907.0
Australia,2020-11-03,31770.0,27622.0,907.0
Australia,2020-11-04,46392.0,27630.0,907.0
Australia,2020-11-05,43579.0,27644.0,907.0
Australia,2020-11-06,,27652.0,907.0
Australia,2020-11-07,,27658.0,907.0
Australia,2020-11-08,,27665.0,907.0
Australia,2020-11-09,29026.0,27669.0,907.0
Australia,2020-11-10,33373.0,27671.0,907.0
Australia,2020-11-11,52406.0,27675.0,907.0
Australia,2020-11-12,55862.0,27676.0,907.0
Australia,2020-11-13,,27682.0,907.0
Australia,2020-11-14,,27711.0,907.0
Australia,2020-11-15,,27749.0,907.0
Australia,2020-11-16,22430.0,27758.0,907.0
Australia,2020-11-17,39581.0,27777.0,907.0
Australia,2020-11-18,56696.0,27785.0,907.0
Australia,2020-11-19,61101.0,27792.0,907.0
Australia,2020-11-20,,27806.0,907.0
Australia,2020-11-21,,27821.0,907.0
Australia,2020-11-22,,27834.0,907.0
Australia,2020-11-23,31580.0,27843.0,907.0
Australia,2020-11-24,34960.0,27853.0,907.0
Australia,2020-11-25,51998.0,27865.0,907.0
Australia,2020-11-26,44283.0,27873.0,907.0
Australia,2020-11-27,,27886.0,907.0
Australia,2020-11-28,,27892.0,907.0
Australia,2020-11-29,,27902.0,908.0
Australia,2020-11-30,24224.0,27912.0,908.0
Australia,2020-12-01,28191.0,27923.0,908.0
Australia,2020-12-02,,27939.0,908.0
Australia,2020-12-03,,27949.0,908.0
Australia,2020-12-04,,27956.0,908.0
Australia,2020-12-05,,27965.0,908.0
Australia,2020-12-06,,27972.0,908.0
Australia,2020-12-07,22632.0,27987.0,908.0
Australia,2020-12-08,22555.0,27993.0,908.0
Australia,2020-12-09,36826.0,28000.0,908.0
Australia,2020-12-10,37254.0,28011.0,908.0
Australia,2020-12-11,,28025.0,908.0
Australia,2020-12-12,,28030.0,908.0
Australia,2020-12-13,,28037.0,908.0
Australia,2020-12-14,,28048.0,908.0
Australia,2020-12-15,,28060.0,908.0
Australia,2020-12-16,31854.0,28072.0,908.0
Australia,2020-12-17,28715.0,28093.0,908.0
Australia,2020-12-18,,28126.0,908.0
Australia,2020-12-19,,28168.0,908.0
Australia,2020-12-20,,28198.0,908.0
Australia,2020-12-21,70033.0,28219.0,908.0
Australia,2020-12-22,76094.0,28237.0,908.0
Australia,2020-12-23,89673.0,28262.0,908.0
Australia,2020-12-24,,28274.0,908.0
Australia,2020-12-25,,28297.0,908.0
Australia,2020-12-26,,28308.0,908.0
Australia,2020-12-27,,28337.0,909.0
Australia,2020-12-28,29427.0,28349.0,909.0
Australia,2020-12-29,39311.0,28381.0,909.0
Australia,2020-12-30,40447.0,28405.0,909.0
Australia,2020-12-31,56285.0,28425.0,909.0
Australia,2021-01-01,,28460.0,909.0
