Entity,Date,Daily tests,Cases,Deaths
Austria,2020-02-25,,2.0,
Austria,2020-02-26,,2.0,
Austria,2020-02-27,,3.0,
Austria,2020-02-28,,3.0,
Austria,2020-02-29,,9.0,
Austria,2020-03-01,,14.0,
Austria,2020-03-02,,18.0,
Austria,2020-03-03,,21.0,
Austria,2020-03-04,,29.0,
Austria,2020-03-05,,41.0,
Austria,2020-03-06,,55.0,
Austria,2020-03-07,,79.0,
Austria,2020-03-08,,104.0,
Austria,2020-03-09,,131.0,
Austria,2020-03-10,,182.0,
Austria,2020-03-11,,246.0,
Austria,2020-03-12,,302.0,1.0
Austria,2020-03-13,,504.0,1.0
Austria,2020-03-14,,655.0,1.0
Austria,2020-03-15,,860.0,1.0
Austria,2020-03-16,,1018.0,3.0
Austria,2020-03-17,,1332.0,3.0
Austria,2020-03-18,,1646.0,4.0
Austria,2020-03-19,,2013.0,6.0
Austria,2020-03-20,,2388.0,6.0
Austria,2020-03-21,,2814.0,8.0
Austria,2020-03-22,,3582.0,16.0
Austria,2020-03-23,,4474.0,21.0
Austria,2020-03-24,,5283.0,28.0
Austria,2020-03-25,,5588.0,30.0
Austria,2020-03-26,,6909.0,49.0
Austria,2020-03-27,,7657.0,58.0
Austria,2020-03-28,,8271.0,68.0
Austria,2020-03-29,,8788.0,86.0
Austria,2020-03-30,,9618.0,108.0
Austria,2020-03-31,,10180.0,128.0
Austria,2020-04-01,,10711.0,146.0
Austria,2020-04-02,75356.0,11129.0,158.0
Austria,2020-04-03,6153.0,11524.0,168.0
Austria,2020-04-04,5791.0,11781.0,186.0
Austria,2020-04-05,4282.0,12051.0,204.0
Austria,2020-04-06,2880.0,12297.0,220.0
Austria,2020-04-07,3939.0,12639.0,243.0
Austria,2020-04-08,5520.0,12942.0,273.0
Austria,2020-04-09,5532.0,13244.0,295.0
Austria,2020-04-10,8456.0,13555.0,319.0
Austria,2020-04-11,6232.0,13806.0,337.0
Austria,2020-04-12,3902.0,13945.0,350.0
Austria,2020-04-13,3535.0,14041.0,368.0
Austria,2020-04-14,3384.0,14226.0,384.0
Austria,2020-04-15,5005.0,14336.0,393.0
Austria,2020-04-16,6015.0,14476.0,410.0
Austria,2020-04-17,6456.0,14595.0,431.0
Austria,2020-04-18,6660.0,14671.0,443.0
Austria,2020-04-19,3312.0,14749.0,452.0
Austria,2020-04-20,3705.0,14795.0,470.0
Austria,2020-04-21,6069.0,14873.0,491.0
Austria,2020-04-22,12776.0,14925.0,510.0
Austria,2020-04-23,4041.0,15002.0,522.0
Austria,2020-04-24,6851.0,15071.0,530.0
Austria,2020-04-25,8403.0,15148.0,536.0
Austria,2020-04-26,6542.0,15225.0,542.0
Austria,2020-04-27,4906.0,15274.0,549.0
Austria,2020-04-28,7041.0,15357.0,569.0
Austria,2020-04-29,8176.0,15402.0,580.0
Austria,2020-04-30,8645.0,15452.0,584.0
Austria,2020-05-01,7680.0,15531.0,589.0
Austria,2020-05-02,5540.0,15558.0,596.0
Austria,2020-05-03,4736.0,15597.0,598.0
Austria,2020-05-04,4716.0,15621.0,600.0
Austria,2020-05-05,6812.0,15650.0,606.0
Austria,2020-05-06,6371.0,15684.0,608.0
Austria,2020-05-07,5640.0,15752.0,609.0
Austria,2020-05-08,6175.0,15774.0,614.0
Austria,2020-05-09,7621.0,15833.0,615.0
Austria,2020-05-10,4818.0,15871.0,618.0
Austria,2020-05-11,2976.0,15882.0,620.0
Austria,2020-05-12,9830.0,15961.0,623.0
Austria,2020-05-13,6938.0,15997.0,624.0
Austria,2020-05-14,8354.0,16058.0,626.0
Austria,2020-05-15,6745.0,16109.0,628.0
Austria,2020-05-16,6042.0,16201.0,629.0
Austria,2020-05-17,5116.0,16242.0,629.0
Austria,2020-05-18,3560.0,16269.0,629.0
Austria,2020-05-19,6366.0,16321.0,632.0
Austria,2020-05-20,7157.0,16353.0,633.0
Austria,2020-05-21,6045.0,16404.0,633.0
Austria,2020-05-22,4851.0,16436.0,635.0
Austria,2020-05-23,5875.0,16486.0,639.0
Austria,2020-05-24,5494.0,16503.0,640.0
Austria,2020-05-25,3484.0,16539.0,641.0
Austria,2020-05-26,5844.0,16557.0,643.0
Austria,2020-05-27,7521.0,16591.0,645.0
Austria,2020-05-28,8666.0,16628.0,668.0
Austria,2020-05-29,6930.0,16655.0,668.0
Austria,2020-05-30,7841.0,16685.0,668.0
Austria,2020-05-31,6391.0,16731.0,668.0
Austria,2020-06-01,3286.0,16733.0,668.0
Austria,2020-06-02,4558.0,16759.0,669.0
Austria,2020-06-03,6580.0,16771.0,670.0
Austria,2020-06-04,8508.0,16805.0,670.0
Austria,2020-06-05,7983.0,16843.0,672.0
Austria,2020-06-06,6463.0,16898.0,672.0
Austria,2020-06-07,3685.0,16902.0,672.0
Austria,2020-06-08,5164.0,16968.0,672.0
Austria,2020-06-09,6160.0,16979.0,672.0
Austria,2020-06-10,5423.0,17005.0,673.0
Austria,2020-06-11,3967.0,17034.0,674.0
Austria,2020-06-12,6270.0,17064.0,675.0
Austria,2020-06-13,4395.0,17078.0,677.0
Austria,2020-06-14,3864.0,17109.0,677.0
Austria,2020-06-15,2830.0,17135.0,678.0
Austria,2020-06-16,5030.0,17189.0,681.0
Austria,2020-06-17,7915.0,17203.0,687.0
Austria,2020-06-18,5312.0,17223.0,688.0
Austria,2020-06-19,6203.0,17271.0,688.0
Austria,2020-06-20,6078.0,17323.0,688.0
Austria,2020-06-21,2376.0,17341.0,690.0
Austria,2020-06-22,5216.0,17380.0,690.0
Austria,2020-06-23,6673.0,17408.0,693.0
