Entity,Date,Daily tests,Cases,Deaths
Bahrain,2020-02-24,,1.0,
Bahrain,2020-02-25,,23.0,
Bahrain,2020-02-26,,33.0,
Bahrain,2020-02-27,,33.0,
Bahrain,2020-02-28,,36.0,
Bahrain,2020-02-29,,41.0,
Bahrain,2020-03-01,,47.0,
Bahrain,2020-03-02,,49.0,
Bahrain,2020-03-03,,49.0,
Bahrain,2020-03-04,,52.0,
Bahrain,2020-03-05,,55.0,
Bahrain,2020-03-06,,60.0,
Bahrain,2020-03-07,,85.0,
Bahrain,2020-03-08,,85.0,
Bahrain,2020-03-09,,95.0,
Bahrain,2020-03-10,524.0,110.0,
Bahrain,2020-03-11,456.0,195.0,
Bahrain,2020-03-12,232.0,195.0,
Bahrain,2020-03-13,,195.0,
Bahrain,2020-03-14,,210.0,
Bahrain,2020-03-15,,214.0,
Bahrain,2020-03-16,,214.0,1.0
Bahrain,2020-03-17,1422.0,228.0,1.0
Bahrain,2020-03-18,,256.0,1.0
Bahrain,2020-03-19,,278.0,1.0
Bahrain,2020-03-20,,285.0,1.0
Bahrain,2020-03-21,,305.0,1.0
Bahrain,2020-03-22,,334.0,2.0
Bahrain,2020-03-23,,377.0,2.0
Bahrain,2020-03-24,,392.0,3.0
Bahrain,2020-03-25,,419.0,4.0
Bahrain,2020-03-26,,458.0,4.0
Bahrain,2020-03-27,,466.0,4.0
Bahrain,2020-03-28,,476.0,4.0
Bahrain,2020-03-29,,499.0,4.0
Bahrain,2020-03-30,701.0,515.0,4.0
Bahrain,2020-03-31,,567.0,4.0
Bahrain,2020-04-01,,569.0,4.0
Bahrain,2020-04-02,,643.0,4.0
Bahrain,2020-04-03,,672.0,4.0
Bahrain,2020-04-04,1260.0,688.0,4.0
Bahrain,2020-04-05,5130.0,700.0,4.0
Bahrain,2020-04-06,3298.0,756.0,4.0
Bahrain,2020-04-07,2443.0,811.0,5.0
Bahrain,2020-04-08,2677.0,823.0,5.0
Bahrain,2020-04-09,2292.0,887.0,5.0
Bahrain,2020-04-10,2585.0,925.0,6.0
Bahrain,2020-04-11,3025.0,1040.0,6.0
Bahrain,2020-04-12,3267.0,1136.0,6.0
Bahrain,2020-04-13,3354.0,1361.0,6.0
Bahrain,2020-04-14,3486.0,1528.0,7.0
Bahrain,2020-04-15,2459.0,1671.0,7.0
Bahrain,2020-04-16,3672.0,1700.0,7.0
Bahrain,2020-04-17,2668.0,1740.0,7.0
Bahrain,2020-04-18,2956.0,1773.0,7.0
Bahrain,2020-04-19,4164.0,1881.0,7.0
Bahrain,2020-04-20,3575.0,1907.0,7.0
Bahrain,2020-04-21,4073.0,1973.0,7.0
Bahrain,2020-04-22,3416.0,2027.0,7.0
Bahrain,2020-04-23,2235.0,2217.0,8.0
Bahrain,2020-04-24,5334.0,2518.0,8.0
Bahrain,2020-04-25,5042.0,2588.0,8.0
Bahrain,2020-04-26,3703.0,2647.0,8.0
Bahrain,2020-04-27,3687.0,2723.0,8.0
Bahrain,2020-04-28,3909.0,2811.0,8.0
Bahrain,2020-04-29,5199.0,2921.0,8.0
Bahrain,2020-04-30,2789.0,3040.0,8.0
Bahrain,2020-05-01,4388.0,3170.0,8.0
Bahrain,2020-05-02,4196.0,3284.0,8.0
Bahrain,2020-05-03,5877.0,3383.0,8.0
Bahrain,2020-05-04,5431.0,3533.0,8.0
Bahrain,2020-05-05,5915.0,3720.0,8.0
Bahrain,2020-05-06,4840.0,3934.0,8.0
Bahrain,2020-05-07,6037.0,4199.0,8.0
Bahrain,2020-05-08,5780.0,4444.0,8.0
Bahrain,2020-05-09,6195.0,4774.0,8.0
Bahrain,2020-05-10,5676.0,4941.0,8.0
Bahrain,2020-05-11,6751.0,5236.0,8.0
Bahrain,2020-05-12,7118.0,5531.0,9.0
Bahrain,2020-05-13,7672.0,5816.0,10.0
Bahrain,2020-05-14,5557.0,6198.0,10.0
Bahrain,2020-05-15,11415.0,6583.0,12.0
Bahrain,2020-05-16,7646.0,6747.0,12.0
Bahrain,2020-05-17,6640.0,6956.0,12.0
Bahrain,2020-05-18,6203.0,7184.0,12.0
Bahrain,2020-05-19,5174.0,7532.0,12.0
Bahrain,2020-05-20,7428.0,7888.0,12.0
Bahrain,2020-05-21,,8174.0,12.0
Bahrain,2020-05-22,,8414.0,12.0
Bahrain,2020-05-23,7373.0,8802.0,13.0
Bahrain,2020-05-24,4652.0,9138.0,14.0
Bahrain,2020-05-25,2680.0,9171.0,14.0
Bahrain,2020-05-26,2339.0,9366.0,14.0
Bahrain,2020-05-27,4904.0,9692.0,15.0
Bahrain,2020-05-28,6746.0,10052.0,15.0
Bahrain,2020-05-29,6306.0,10449.0,15.0
Bahrain,2020-05-30,5394.0,10793.0,17.0
