Entity,Date,Daily tests,Cases,Deaths
Bangladesh,2020-03-18,46.0,14.0,1.0
Bangladesh,2020-03-19,36.0,17.0,1.0
Bangladesh,2020-03-20,36.0,20.0,1.0
Bangladesh,2020-03-21,65.0,25.0,2.0
Bangladesh,2020-03-22,56.0,27.0,2.0
Bangladesh,2020-03-23,92.0,33.0,3.0
Bangladesh,2020-03-24,82.0,39.0,4.0
Bangladesh,2020-03-25,126.0,39.0,5.0
Bangladesh,2020-03-26,106.0,44.0,5.0
Bangladesh,2020-03-27,50.0,48.0,5.0
Bangladesh,2020-03-28,109.0,48.0,5.0
Bangladesh,2020-03-29,153.0,48.0,5.0
Bangladesh,2020-03-30,264.0,49.0,5.0
Bangladesh,2020-03-31,157.0,51.0,5.0
Bangladesh,2020-04-01,147.0,54.0,6.0
Bangladesh,2020-04-02,207.0,56.0,6.0
Bangladesh,2020-04-03,434.0,61.0,6.0
Bangladesh,2020-04-04,367.0,70.0,8.0
Bangladesh,2020-04-05,696.0,88.0,9.0
Bangladesh,2020-04-06,792.0,123.0,12.0
Bangladesh,2020-04-07,981.0,164.0,17.0
Bangladesh,2020-04-08,1097.0,218.0,20.0
Bangladesh,2020-04-09,1184.0,330.0,21.0
Bangladesh,2020-04-10,649.0,424.0,27.0
Bangladesh,2020-04-11,1340.0,482.0,30.0
Bangladesh,2020-04-12,1570.0,621.0,34.0
Bangladesh,2020-04-13,1905.0,803.0,39.0
Bangladesh,2020-04-14,1740.0,1012.0,46.0
Bangladesh,2020-04-15,2135.0,1231.0,50.0
Bangladesh,2020-04-16,2190.0,1572.0,60.0
Bangladesh,2020-04-17,2114.0,1838.0,75.0
Bangladesh,2020-04-18,2634.0,2144.0,84.0
Bangladesh,2020-04-19,2663.0,2456.0,91.0
Bangladesh,2020-04-20,2974.0,2948.0,101.0
Bangladesh,2020-04-21,3096.0,3382.0,110.0
Bangladesh,2020-04-22,3416.0,3772.0,120.0
Bangladesh,2020-04-23,3686.0,4186.0,127.0
