Entity,Date,Daily tests,Cases,Deaths
Belarus,2020-03-31,1000.0,152.0,1.0
Belarus,2020-04-01,1000.0,163.0,2.0
Belarus,2020-04-09,3000.0,1486.0,16.0
Belarus,2020-04-13,4000.0,2919.0,29.0
Belarus,2020-04-14,3875.0,3281.0,33.0
Belarus,2020-04-15,4323.0,3728.0,36.0
Belarus,2020-04-18,5896.0,5297.0,45.0
Belarus,2020-04-19,5522.0,5807.0,47.0
Belarus,2020-04-20,4335.0,6264.0,51.0
Belarus,2020-04-21,5979.0,6723.0,55.0
Belarus,2020-04-22,6410.0,7281.0,58.0
Belarus,2020-04-23,7588.0,8022.0,60.0
Belarus,2020-04-24,8281.0,8773.0,63.0
Belarus,2020-04-25,8471.0,9590.0,67.0
Belarus,2020-04-26,8230.0,10463.0,72.0
Belarus,2020-04-27,6275.0,11289.0,75.0
Belarus,2020-04-28,7228.0,12208.0,79.0
Belarus,2020-04-29,7958.0,13181.0,84.0
Belarus,2020-04-30,7639.0,14027.0,89.0
Belarus,2020-05-01,9637.0,14917.0,93.0
Belarus,2020-05-02,9168.0,15828.0,97.0
Belarus,2020-05-03,8809.0,16705.0,99.0
Belarus,2020-05-04,7130.0,17489.0,103.0
Belarus,2020-05-08,10680.0,21101.0,121.0
Belarus,2020-05-09,11625.0,22052.0,126.0
Belarus,2020-05-10,11772.0,22973.0,131.0
Belarus,2020-05-11,10517.0,23906.0,135.0
Belarus,2020-05-12,10385.0,24873.0,142.0
Belarus,2020-05-13,11935.0,25825.0,146.0
Belarus,2020-05-14,11776.0,26772.0,151.0
Belarus,2020-05-23,15614.0,35244.0,194.0
Belarus,2020-05-26,9902.0,38059.0,208.0
Belarus,2020-05-31,14534.0,42556.0,235.0
Belarus,2020-06-01,12284.0,43403.0,240.0
Belarus,2020-06-02,9568.0,44255.0,243.0
Belarus,2020-06-08,10680.0,49453.0,276.0
Belarus,2020-06-16,10632.0,55369.0,318.0
Belarus,2020-06-19,21452.0,57333.0,337.0
Belarus,2020-06-20,20286.0,57936.0,343.0
Belarus,2020-06-25,17235.0,60382.0,367.0
Belarus,2020-06-26,20385.0,60713.0,373.0
Belarus,2020-07-23,10305.0,66688.0,519.0
Belarus,2020-07-24,10979.0,66846.0,524.0
Belarus,2020-07-25,10940.0,67002.0,530.0
Belarus,2020-07-26,9735.0,67132.0,534.0
Belarus,2020-07-27,6040.0,67251.0,538.0
Belarus,2020-07-30,10003.0,67665.0,553.0
Belarus,2020-07-31,10842.0,67808.0,559.0
Belarus,2020-08-12,6486.0,69102.0,595.0
Belarus,2020-08-23,8520.0,70468.0,642.0
Belarus,2020-09-14,7315.0,74360.0,756.0
