Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-02-28,5520.0,1.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-02-29,5520.0,1.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-01,5520.0,1.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-02,5520.0,1.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-03,5520.0,1.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-04,5520.0,6.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-05,5520.0,6.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-06,5520.0,6.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-07,5520.0,6.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-08,5520.0,6.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-09,5520.0,6.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-10,5520.0,9.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-11,5520.0,9.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-12,5520.0,12.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-13,5520.0,27.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-14,5520.0,27.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-15,5520.0,27.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-16,5520.0,36.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-17,5520.0,36.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-18,5520.0,51.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-19,5520.0,51.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-20,5520.0,69.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-21,5520.0,76.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-22,5520.0,76.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-23,5520.0,81.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-24,5520.0,81.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-25,5520.0,86.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-26,5520.0,86.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-27,5520.0,94.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-28,5520.0,94.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-29,5520.0,94.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-30,5520.0,152.0,527.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-03-31,1000.0,152.0,1.0
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-04-01,1000.0,163.0,2.0
