Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-04,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-05,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-06,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-07,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-08,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-09,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-10,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-11,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-12,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-13,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-14,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-15,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-16,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-17,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-18,5520.0,1.0,527.0
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-19,5520.0,1.0,527.0
