Entity,Date,Daily tests,Cases,Deaths
Bhutan,2021-01-08,5886.0,771.0,1.0
Bhutan,2021-01-09,4255.0,810.0,1.0
Bhutan,2021-01-10,3486.0,813.0,1.0
Bhutan,2021-01-11,3861.0,825.0,1.0
Bhutan,2021-01-12,3501.0,831.0,1.0
Bhutan,2021-01-13,5525.0,833.0,1.0
Bhutan,2021-01-14,12580.0,834.0,1.0
Bhutan,2021-01-15,2795.0,837.0,1.0
Bhutan,2021-01-16,7414.0,842.0,1.0
Bhutan,2021-01-17,9487.0,842.0,1.0
Bhutan,2021-01-18,14826.0,843.0,1.0
Bhutan,2021-01-19,15058.0,848.0,1.0
Bhutan,2021-01-20,2909.0,850.0,1.0
Bhutan,2021-01-21,2059.0,850.0,1.0
Bhutan,2021-01-22,2233.0,851.0,1.0
Bhutan,2021-01-23,3594.0,854.0,1.0
Bhutan,2021-01-24,4767.0,855.0,1.0
Bhutan,2021-01-25,5107.0,856.0,1.0
Bhutan,2021-01-26,9772.0,856.0,1.0
Bhutan,2021-01-27,8388.0,856.0,1.0
Bhutan,2021-01-28,11232.0,857.0,1.0
Bhutan,2021-01-29,10721.0,858.0,1.0
Bhutan,2021-01-30,6709.0,858.0,1.0
Bhutan,2021-01-31,2401.0,859.0,1.0
Bhutan,2021-02-01,730.0,859.0,1.0
Bhutan,2021-02-02,1824.0,859.0,1.0
Bhutan,2021-02-03,2402.0,859.0,1.0
Bhutan,2021-02-04,2108.0,859.0,1.0
Bhutan,2021-02-05,2427.0,861.0,1.0
Bhutan,2021-02-06,1908.0,861.0,1.0
Bhutan,2021-02-07,1239.0,861.0,1.0
Bhutan,2021-02-08,1119.0,861.0,1.0
Bhutan,2021-02-09,2180.0,861.0,1.0
Bhutan,2021-02-10,1876.0,861.0,1.0
Bhutan,2021-02-11,2416.0,861.0,1.0
Bhutan,2021-02-12,2105.0,863.0,1.0
Bhutan,2021-02-13,905.0,863.0,1.0
Bhutan,2021-02-14,1098.0,864.0,1.0
Bhutan,2021-02-15,883.0,866.0,1.0
Bhutan,2021-02-16,2072.0,866.0,1.0
Bhutan,2021-02-17,3221.0,866.0,1.0
Bhutan,2021-02-18,2349.0,866.0,1.0
Bhutan,2021-02-19,2451.0,866.0,1.0
Bhutan,2021-02-20,2621.0,866.0,1.0
Bhutan,2021-02-21,2418.0,866.0,1.0
Bhutan,2021-02-22,933.0,866.0,1.0
Bhutan,2021-02-23,714.0,867.0,1.0
Bhutan,2021-02-24,1066.0,867.0,1.0
Bhutan,2021-02-25,3024.0,867.0,1.0
