Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-06,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-07,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-08,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-09,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-10,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-11,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-12,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-13,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-14,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-15,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-16,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-17,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-18,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-19,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-20,,2.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-21,,2.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-22,,2.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-23,,2.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-24,34.0,2.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-25,10.0,2.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-26,25.0,2.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-27,33.0,3.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-28,18.0,3.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-29,58.0,4.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-30,47.0,4.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-31,74.0,4.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-01,42.0,4.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-02,47.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-03,35.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-04,21.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-05,25.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-06,5.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-07,203.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-08,10.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-09,110.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-10,3811.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-11,260.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-12,298.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-13,722.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-14,631.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-15,444.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-16,410.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-17,51.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-18,194.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-19,24.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-20,439.0,5.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-21,195.0,6.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-04-22,188.0,6.0,
