Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-11,5520.0,2.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-12,5520.0,2.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-13,5520.0,3.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-14,5520.0,10.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-15,7.0,10.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-16,12.0,11.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-17,5.0,11.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-18,1.0,12.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-19,33.0,12.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-20,27.0,15.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-21,5520.0,19.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-22,5520.0,24.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-23,45.0,27.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-24,5520.0,29.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-25,5520.0,32.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-26,5520.0,43.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-27,5520.0,61.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-28,5520.0,74.0,527.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-29,5520.0,81.0,1.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-30,5520.0,97.0,4.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-31,82.0,107.0,6.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-01,57.0,115.0,7.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-02,5520.0,123.0,8.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-03,5520.0,132.0,9.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-04,5520.0,139.0,10.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-05,5520.0,157.0,10.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-06,5520.0,183.0,11.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-07,132.0,194.0,14.0
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-04-08,194.0,210.0,15.0
