Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-05,,2.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-06,,2.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-07,,3.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-08,,3.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-09,,3.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-10,,5.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-11,,7.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-12,,11.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-13,,13.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-14,,18.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-15,,24.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-16,,25.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-17,,26.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-18,,38.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-19,,63.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-20,,89.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-21,,93.0,1.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-22,,126.0,1.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-23,,136.0,1.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-24,,166.0,3.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-25,,176.0,3.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-26,,191.0,3.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-27,,237.0,4.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-28,,258.0,5.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-29,,323.0,6.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-30,,368.0,10.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-31,,420.0,13.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-01,,459.0,13.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-02,525.0,533.0,16.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-03,645.0,579.0,17.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-04,590.0,624.0,21.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-05,602.0,654.0,23.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-06,609.0,674.0,29.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-07,590.0,764.0,33.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-08,478.0,804.0,34.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-09,874.0,858.0,35.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-10,1028.0,901.0,36.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-11,782.0,946.0,37.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-12,794.0,1009.0,39.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-13,637.0,1037.0,39.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-14,795.0,1083.0,40.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-15,932.0,1110.0,41.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-16,1404.0,1167.0,43.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-17,1008.0,1214.0,46.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-18,1117.0,1268.0,47.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-19,950.0,1285.0,48.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-20,540.0,1309.0,49.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-21,837.0,1342.0,51.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-22,930.0,1368.0,53.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-23,1307.0,1413.0,54.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-24,1336.0,1421.0,55.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-25,1908.0,1486.0,57.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-26,1154.0,1516.0,59.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-27,992.0,1565.0,60.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-28,781.0,1585.0,63.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-29,1527.0,1677.0,65.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-04-30,1663.0,1757.0,69.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-05-01,1385.0,1781.0,70.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-05-02,605.0,1839.0,72.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-05-03,1145.0,1857.0,77.0
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-05-04,450.0,1926.0,78.0
