Entity,Date,Daily tests,Cases,Deaths
Bulgaria,2020-05-02,1126.0,1594.0,72.0
Bulgaria,2020-05-03,982.0,1618.0,73.0
Bulgaria,2020-05-04,527.0,1652.0,78.0
Bulgaria,2020-05-05,1158.0,1704.0,80.0
Bulgaria,2020-05-06,1465.0,1778.0,84.0
Bulgaria,2020-05-07,1163.0,1829.0,84.0
Bulgaria,2020-05-08,1397.0,1872.0,86.0
Bulgaria,2020-05-09,1777.0,1921.0,90.0
Bulgaria,2020-05-10,1126.0,1965.0,91.0
Bulgaria,2020-05-11,403.0,1990.0,93.0
Bulgaria,2020-05-12,1079.0,2023.0,95.0
Bulgaria,2020-05-13,1387.0,2069.0,96.0
Bulgaria,2020-05-14,1611.0,2100.0,99.0
Bulgaria,2020-05-15,1608.0,2138.0,102.0
Bulgaria,2020-05-16,1161.0,2175.0,105.0
Bulgaria,2020-05-17,1094.0,2211.0,108.0
Bulgaria,2020-05-18,362.0,2235.0,110.0
Bulgaria,2020-05-19,874.0,2259.0,112.0
Bulgaria,2020-05-20,1433.0,2292.0,116.0
Bulgaria,2020-05-23,1605.0,2408.0,126.0
Bulgaria,2020-05-24,886.0,2427.0,130.0
Bulgaria,2020-05-25,443.0,2433.0,130.0
Bulgaria,2020-05-26,295.0,2443.0,130.0
Bulgaria,2020-05-27,1557.0,2460.0,133.0
Bulgaria,2020-05-28,1273.0,2477.0,134.0
Bulgaria,2020-05-29,1725.0,2485.0,136.0
Bulgaria,2020-05-30,1353.0,2499.0,139.0
Bulgaria,2020-05-31,606.0,2513.0,140.0
Bulgaria,2020-06-01,346.0,2519.0,140.0
Bulgaria,2020-06-02,1220.0,2538.0,144.0
Bulgaria,2020-06-03,1347.0,2560.0,146.0
Bulgaria,2020-06-04,1569.0,2585.0,147.0
Bulgaria,2020-06-05,2060.0,2627.0,159.0
Bulgaria,2020-06-06,1196.0,2711.0,160.0
Bulgaria,2020-06-07,816.0,2727.0,160.0
Bulgaria,2020-06-08,427.0,2810.0,164.0
Bulgaria,2020-06-09,1406.0,2889.0,167.0
Bulgaria,2020-06-10,1777.0,2993.0,167.0
Bulgaria,2020-06-11,2308.0,3086.0,168.0
Bulgaria,2020-06-12,2640.0,3191.0,172.0
Bulgaria,2020-06-13,2642.0,3266.0,172.0
Bulgaria,2020-06-14,1975.0,3290.0,174.0
Bulgaria,2020-06-15,1409.0,3341.0,176.0
Bulgaria,2020-06-16,3839.0,3453.0,181.0
Bulgaria,2020-06-23,2776.0,4114.0,208.0
Bulgaria,2020-06-24,2946.0,4242.0,209.0
Bulgaria,2020-06-25,3016.0,4408.0,211.0
Bulgaria,2020-06-26,2775.0,4513.0,215.0
Bulgaria,2020-06-27,2750.0,4625.0,216.0
Bulgaria,2020-06-28,1528.0,4691.0,219.0
Bulgaria,2020-06-29,1034.0,4831.0,223.0
Bulgaria,2020-06-30,4525.0,4989.0,230.0
Bulgaria,2020-07-01,3343.0,5154.0,232.0
Bulgaria,2020-07-02,2896.0,5315.0,232.0
Bulgaria,2020-07-03,3155.0,5497.0,239.0
Bulgaria,2020-07-04,2538.0,5677.0,241.0
Bulgaria,2020-07-05,3514.0,5740.0,246.0
Bulgaria,2020-07-06,2775.0,5914.0,250.0
Bulgaria,2020-07-09,4286.0,6672.0,262.0
Bulgaria,2020-07-10,3686.0,6964.0,267.0
Bulgaria,2020-07-11,4540.0,7175.0,267.0
Bulgaria,2020-07-12,2806.0,7252.0,268.0
Bulgaria,2020-07-13,1198.0,7411.0,276.0
Bulgaria,2020-07-14,3341.0,7645.0,283.0
Bulgaria,2020-07-15,4885.0,7877.0,289.0
Bulgaria,2020-07-16,5393.0,8144.0,293.0
Bulgaria,2020-07-17,6526.0,8442.0,297.0
Bulgaria,2020-07-18,4884.0,8638.0,299.0
Bulgaria,2020-07-19,2003.0,8733.0,300.0
Bulgaria,2020-07-20,3155.0,8929.0,308.0
Bulgaria,2020-07-21,9051.0,9254.0,313.0
Bulgaria,2020-07-24,5913.0,10123.0,337.0
Bulgaria,2020-07-25,8124.0,10312.0,338.0
Bulgaria,2020-07-28,5303.0,10871.0,355.0
Bulgaria,2020-07-29,6395.0,11155.0,368.0
Bulgaria,2020-07-30,6639.0,11420.0,374.0
Bulgaria,2020-07-31,5582.0,11690.0,383.0
Bulgaria,2020-08-01,3955.0,11836.0,385.0
Bulgaria,2020-08-02,1491.0,11955.0,388.0
Bulgaria,2020-08-03,4137.0,12159.0,404.0
Bulgaria,2020-08-04,5325.0,12414.0,415.0
Bulgaria,2020-08-07,6433.0,13209.0,442.0
Bulgaria,2020-08-08,5837.0,13343.0,445.0
Bulgaria,2020-08-09,3612.0,13396.0,447.0
Bulgaria,2020-08-10,1275.0,13512.0,459.0
Bulgaria,2020-08-11,3667.0,13722.0,471.0
Bulgaria,2020-08-12,5388.0,13893.0,482.0
Bulgaria,2020-08-13,5108.0,13893.0,482.0
Bulgaria,2020-08-14,5877.0,14243.0,492.0
Bulgaria,2020-08-15,5934.0,14333.0,495.0
Bulgaria,2020-08-16,2745.0,14365.0,498.0
Bulgaria,2020-08-17,781.0,14500.0,512.0
Bulgaria,2020-08-18,5252.0,14669.0,519.0
Bulgaria,2020-08-19,3667.0,14820.0,527.0
Bulgaria,2020-08-20,8649.0,14962.0,532.0
Bulgaria,2020-08-21,6844.0,15131.0,539.0
Bulgaria,2020-08-22,6373.0,15131.0,539.0
Bulgaria,2020-08-23,3402.0,15287.0,545.0
Bulgaria,2020-08-24,2288.0,15386.0,563.0
Bulgaria,2020-08-25,3588.0,15589.0,572.0
Bulgaria,2020-08-26,10076.0,15751.0,586.0
Bulgaria,2020-08-29,6337.0,16164.0,605.0
Bulgaria,2020-08-30,6257.0,16190.0,613.0
Bulgaria,2020-09-02,6784.0,16617.0,648.0
Bulgaria,2020-09-03,5443.0,16775.0,658.0
Bulgaria,2020-09-04,7026.0,16954.0,665.0
Bulgaria,2020-09-05,8129.0,17050.0,671.0
Bulgaria,2020-09-06,4765.0,17089.0,676.0
Bulgaria,2020-09-09,5145.0,17435.0,702.0
Bulgaria,2020-09-12,2330.0,17891.0,717.0
Bulgaria,2020-09-15,7475.0,18216.0,736.0
Bulgaria,2020-09-16,4835.0,18390.0,739.0
Bulgaria,2020-09-19,8957.0,18819.0,755.0
Bulgaria,2020-09-22,2988.0,19123.0,767.0
Bulgaria,2020-09-23,3049.0,19283.0,779.0
Bulgaria,2020-09-24,8385.0,19573.0,785.0
Bulgaria,2020-09-27,2710.0,20055.0,796.0
Bulgaria,2020-09-28,1103.0,20271.0,807.0
Bulgaria,2020-09-29,3302.0,20547.0,813.0
Bulgaria,2020-09-30,4736.0,20833.0,825.0
Bulgaria,2020-10-01,4943.0,20833.0,825.0
Bulgaria,2020-10-02,4843.0,21336.0,838.0
Bulgaria,2020-10-03,4820.0,21518.0,841.0
Bulgaria,2020-10-04,2843.0,21587.0,844.0
Bulgaria,2020-10-05,1278.0,21870.0,854.0
Bulgaria,2020-10-06,3713.0,22306.0,862.0
Bulgaria,2020-10-07,5431.0,22743.0,873.0
Bulgaria,2020-10-08,4541.0,23259.0,880.0
Bulgaria,2020-10-09,5209.0,23871.0,887.0
Bulgaria,2020-10-10,6048.0,24319.0,891.0
Bulgaria,2020-10-11,3795.0,24402.0,892.0
Bulgaria,2020-10-12,1191.0,24989.0,915.0
Bulgaria,2020-10-13,4320.0,25774.0,923.0
Bulgaria,2020-10-14,5819.0,26593.0,929.0
Bulgaria,2020-10-15,5898.0,27507.0,944.0
Bulgaria,2020-10-16,6324.0,28505.0,958.0
Bulgaria,2020-10-17,7442.0,29108.0,968.0
Bulgaria,2020-10-18,4602.0,29503.0,986.0
Bulgaria,2020-10-19,1581.0,30527.0,1008.0
Bulgaria,2020-10-20,4406.0,31863.0,1019.0
Bulgaria,2020-10-21,11505.0,33335.0,1048.0
Bulgaria,2020-10-22,8738.0,34930.0,1064.0
Bulgaria,2020-10-23,9038.0,36519.0,1077.0
Bulgaria,2020-10-24,9831.0,37562.0,1084.0
Bulgaria,2020-10-25,7094.0,37889.0,1094.0
Bulgaria,2020-10-26,2257.0,40132.0,1136.0
Bulgaria,2020-10-27,7659.0,42701.0,1161.0
Bulgaria,2020-10-28,11226.0,45461.0,1197.0
Bulgaria,2020-10-29,9946.0,48150.0,1225.0
Bulgaria,2020-10-30,11376.0,51041.0,1254.0
Bulgaria,2020-10-31,12634.0,52844.0,1279.0
Bulgaria,2020-11-01,7259.0,54069.0,1298.0
Bulgaria,2020-11-02,5457.0,56496.0,1349.0
Bulgaria,2020-11-03,7910.0,60537.0,1412.0
Bulgaria,2020-11-04,11066.0,64591.0,1466.0
Bulgaria,2020-11-05,13203.0,68345.0,1518.0
Bulgaria,2020-11-06,11131.0,72184.0,1576.0
Bulgaria,2020-11-07,13849.0,74485.0,1632.0
Bulgaria,2020-11-08,8702.0,75160.0,1665.0
Bulgaria,2020-11-09,2151.0,78976.0,1771.0
Bulgaria,2020-11-10,8826.0,83366.0,1851.0
Bulgaria,2020-11-11,11068.0,87311.0,1898.0
Bulgaria,2020-11-12,10830.0,90725.0,1970.0
Bulgaria,2020-11-13,8885.0,94937.0,2055.0
Bulgaria,2020-11-14,12413.0,97435.0,2091.0
Bulgaria,2020-11-15,6450.0,98251.0,2130.0
Bulgaria,2020-11-16,2716.0,101770.0,2282.0
Bulgaria,2020-11-17,7934.0,106598.0,2413.0
Bulgaria,2020-11-18,11611.0,110536.0,2530.0
Bulgaria,2020-11-19,9949.0,114435.0,2649.0
Bulgaria,2020-11-20,10311.0,118418.0,2778.0
Bulgaria,2020-11-21,9786.0,120697.0,2820.0
Bulgaria,2020-11-22,5729.0,121820.0,2880.0
Bulgaria,2020-11-23,2787.0,124966.0,3069.0
Bulgaria,2020-11-24,7244.0,129348.0,3226.0
Bulgaria,2020-11-25,10474.0,133060.0,3367.0
Bulgaria,2020-11-26,8820.0,136628.0,3529.0
Bulgaria,2020-11-27,9093.0,139955.0,3680.0
Bulgaria,2020-11-28,9179.0,141747.0,3749.0
Bulgaria,2020-11-29,4928.0,142486.0,3814.0
Bulgaria,2020-11-30,1965.0,145300.0,4035.0
Bulgaria,2020-12-01,6825.0,148775.0,4188.0
Bulgaria,2020-12-02,9056.0,151913.0,4347.0
Bulgaria,2020-12-03,8478.0,155193.0,4503.0
Bulgaria,2020-12-04,9082.0,158807.0,4650.0
Bulgaria,2020-12-05,9530.0,160844.0,4729.0
