Entity,Date,Daily tests,Cases,Deaths
Canada,2020-03-12,4162.0,117.0,1.0
Canada,2020-03-15,2568.0,252.0,1.0
Canada,2020-03-16,12753.0,415.0,4.0
Canada,2020-03-17,6446.0,478.0,6.0
Canada,2020-03-18,9370.0,657.0,11.0
Canada,2020-03-19,12305.0,800.0,11.0
Canada,2020-03-20,10963.0,943.0,15.0
Canada,2020-03-21,12069.0,1277.0,19.0
Canada,2020-03-22,9941.0,1469.0,22.0
Canada,2020-03-23,8370.0,2088.0,29.0
Canada,2020-03-24,17915.0,2790.0,33.0
Canada,2020-03-25,22727.0,3251.0,42.0
Canada,2020-03-26,13814.0,4042.0,57.0
Canada,2020-03-27,9041.0,4682.0,66.0
Canada,2020-03-28,16804.0,5576.0,82.0
Canada,2020-03-29,22987.0,6280.0,96.0
Canada,2020-03-30,15270.0,7398.0,125.0
Canada,2020-03-31,15433.0,8527.0,152.0
Canada,2020-04-01,14795.0,9560.0,175.0
Canada,2020-04-02,17733.0,11284.0,224.0
Canada,2020-04-03,21399.0,12437.0,277.0
Canada,2020-04-04,16906.0,12978.0,360.0
Canada,2020-04-05,12814.0,15756.0,435.0
Canada,2020-04-06,12021.0,16563.0,520.0
Canada,2020-04-07,5164.0,17872.0,581.0
Canada,2020-04-08,19999.0,19141.0,648.0
Canada,2020-04-09,13333.0,20654.0,771.0
Canada,2020-04-10,16073.0,22059.0,867.0
Canada,2020-04-11,13276.0,23316.0,986.0
Canada,2020-04-12,17549.0,24299.0,1095.0
Canada,2020-04-13,15275.0,25680.0,1225.0
Canada,2020-04-14,17508.0,27035.0,1361.0
Canada,2020-04-15,12753.0,28209.0,1515.0
Canada,2020-04-16,19889.0,30809.0,1718.0
Canada,2020-04-17,20076.0,32814.0,1844.0
Canada,2020-04-18,20356.0,34356.0,1987.0
Canada,2020-04-19,21292.0,35633.0,2145.0
Canada,2020-04-20,10229.0,37658.0,2291.0
Canada,2020-04-21,10300.0,39402.0,2484.0
Canada,2020-04-22,42314.0,41663.0,2679.0
Canada,2020-04-23,22725.0,43299.0,2850.0
Canada,2020-04-24,25191.0,44919.0,3030.0
Canada,2020-04-25,24163.0,46371.0,3217.0
Canada,2020-04-26,23237.0,48033.0,3374.0
Canada,2020-04-27,26197.0,49616.0,3559.0
Canada,2020-04-28,21095.0,51150.0,3756.0
Canada,2020-04-29,24813.0,52865.0,4000.0
Canada,2020-04-30,26836.0,54457.0,4179.0
Canada,2020-05-01,30472.0,56343.0,4381.0
Canada,2020-05-02,29314.0,57926.0,4529.0
Canada,2020-05-03,31209.0,60504.0,4669.0
Canada,2020-05-04,21924.0,61957.0,4911.0
Canada,2020-05-05,23158.0,63215.0,5081.0
Canada,2020-05-06,31032.0,64694.0,5240.0
Canada,2020-05-07,31660.0,66201.0,5387.0
Canada,2020-05-08,29611.0,67674.0,5540.0
Canada,2020-05-09,36550.0,68918.0,5704.0
Canada,2020-05-10,26065.0,70091.0,5822.0
Canada,2020-05-11,24109.0,71264.0,5956.0
Canada,2020-05-12,23939.0,72419.0,6107.0
Canada,2020-05-13,27304.0,73568.0,6210.0
Canada,2020-05-14,30716.0,74781.0,6331.0
Canada,2020-05-15,33158.0,75959.0,6452.0
Canada,2020-05-16,33508.0,77206.0,6571.0
Canada,2020-05-17,30475.0,78332.0,6661.0
Canada,2020-05-18,22718.0,79411.0,6753.0
Canada,2020-05-19,16524.0,80493.0,6828.0
Canada,2020-05-20,35155.0,81575.0,6950.0
Canada,2020-05-21,4605.0,82742.0,7046.0
Canada,2020-05-22,25553.0,83947.0,7144.0
Canada,2020-05-23,26703.0,85151.0,7238.0
Canada,2020-05-24,27301.0,86106.0,7326.0
Canada,2020-05-25,23180.0,87119.0,7420.0
Canada,2020-05-26,20522.0,88090.0,7512.0
Canada,2020-05-27,27941.0,88989.0,7606.0
Canada,2020-05-28,54304.0,89976.0,7717.0
Canada,2020-05-29,11214.0,90909.0,7797.0
Canada,2020-05-30,37828.0,91681.0,7857.0
Canada,2020-05-31,31554.0,92479.0,7906.0
Canada,2020-06-01,30087.0,93288.0,7952.0
