Entity,Date,Daily tests,Cases,Deaths
Cape Verde,2020-05-08,127.0,230.0,2.0
Cape Verde,2020-05-09,117.0,236.0,2.0
Cape Verde,2020-05-10,72.0,246.0,2.0
Cape Verde,2020-05-12,88.0,267.0,2.0
Cape Verde,2020-05-14,81.0,315.0,2.0
Cape Verde,2020-05-15,101.0,326.0,2.0
Cape Verde,2020-05-18,103.0,328.0,3.0
Cape Verde,2020-05-19,184.0,335.0,3.0
Cape Verde,2020-05-20,152.0,349.0,3.0
Cape Verde,2020-05-21,117.0,356.0,3.0
Cape Verde,2020-05-22,85.0,362.0,3.0
Cape Verde,2020-05-24,50.0,380.0,3.0
Cape Verde,2020-05-28,231.0,390.0,4.0
Cape Verde,2020-05-30,117.0,421.0,4.0
Cape Verde,2020-05-31,124.0,435.0,4.0
Cape Verde,2020-06-01,140.0,458.0,4.0
Cape Verde,2020-06-02,73.0,466.0,5.0
Cape Verde,2020-06-03,122.0,477.0,5.0
Cape Verde,2020-06-04,152.0,502.0,5.0
Cape Verde,2020-06-05,216.0,536.0,5.0
Cape Verde,2020-06-06,133.0,542.0,5.0
Cape Verde,2020-06-07,141.0,554.0,5.0
Cape Verde,2020-06-08,162.0,567.0,5.0
Cape Verde,2020-06-09,162.0,585.0,5.0
Cape Verde,2020-06-10,246.0,615.0,5.0
Cape Verde,2020-06-11,321.0,657.0,6.0
Cape Verde,2020-06-12,254.0,697.0,6.0
Cape Verde,2020-06-13,179.0,726.0,6.0
Cape Verde,2020-06-14,151.0,750.0,6.0
Cape Verde,2020-06-15,253.0,760.0,7.0
Cape Verde,2020-06-16,206.0,781.0,7.0
Cape Verde,2020-06-17,242.0,792.0,7.0
Cape Verde,2020-06-18,172.0,823.0,7.0
Cape Verde,2020-06-19,202.0,848.0,8.0
Cape Verde,2020-06-21,320.0,890.0,8.0
Cape Verde,2020-06-22,253.0,944.0,8.0
Cape Verde,2020-06-23,269.0,982.0,8.0
Cape Verde,2020-06-24,199.0,999.0,8.0
Cape Verde,2020-06-25,185.0,1003.0,8.0
Cape Verde,2020-06-26,286.0,1027.0,10.0
Cape Verde,2020-06-27,398.0,1091.0,12.0
Cape Verde,2020-06-29,340.0,1165.0,12.0
Cape Verde,2020-06-30,256.0,1227.0,15.0
Cape Verde,2020-07-01,257.0,1267.0,15.0
Cape Verde,2020-07-02,318.0,1301.0,15.0
Cape Verde,2020-07-03,324.0,1382.0,15.0
Cape Verde,2020-07-04,281.0,1421.0,16.0
Cape Verde,2020-07-06,254.0,1463.0,17.0
Cape Verde,2020-07-07,245.0,1499.0,18.0
Cape Verde,2020-07-08,172.0,1542.0,18.0
Cape Verde,2020-07-09,201.0,1552.0,18.0
Cape Verde,2020-07-10,294.0,1591.0,19.0
