Entity,Date,Daily tests,Cases,Deaths
Chile,2020-02-23,,2.0,
Chile,2020-02-24,,2.0,
Chile,2020-02-25,,2.0,
Chile,2020-02-26,,2.0,
Chile,2020-02-27,,2.0,
Chile,2020-02-28,,2.0,
Chile,2020-02-29,,2.0,
Chile,2020-03-01,,9.0,
Chile,2020-03-02,,9.0,
Chile,2020-03-03,,10.0,
Chile,2020-03-04,,10.0,
Chile,2020-03-05,,13.0,
Chile,2020-03-06,,13.0,
Chile,2020-03-07,,13.0,
Chile,2020-03-08,,20.0,
Chile,2020-03-09,,20.0,
Chile,2020-03-10,,25.0,
Chile,2020-03-11,,35.0,
Chile,2020-03-12,,35.0,
Chile,2020-03-13,,55.0,
Chile,2020-03-14,,88.0,
Chile,2020-03-15,,101.0,
Chile,2020-03-16,,182.0,
Chile,2020-03-17,,228.0,
Chile,2020-03-18,,265.0,
Chile,2020-03-19,,265.0,
Chile,2020-03-20,,461.0,
Chile,2020-03-21,,592.0,
Chile,2020-03-22,,687.0,1.0
Chile,2020-03-23,,801.0,2.0
Chile,2020-03-24,,977.0,2.0
Chile,2020-03-25,,1197.0,3.0
Chile,2020-03-26,,1361.0,4.0
Chile,2020-03-27,,1665.0,5.0
Chile,2020-03-28,,2015.0,6.0
Chile,2020-03-29,,2245.0,7.0
Chile,2020-03-30,,2555.0,8.0
Chile,2020-03-31,,2844.0,12.0
Chile,2020-04-01,,3137.0,16.0
Chile,2020-04-02,,3510.0,18.0
Chile,2020-04-03,,3843.0,22.0
Chile,2020-04-04,,4355.0,27.0
Chile,2020-04-05,,4665.0,34.0
Chile,2020-04-06,,5009.0,37.0
Chile,2020-04-07,,5310.0,43.0
Chile,2020-04-08,,5740.0,48.0
Chile,2020-04-09,,6166.0,57.0
Chile,2020-04-10,4444.0,6695.0,65.0
Chile,2020-04-11,3577.0,7366.0,73.0
Chile,2020-04-12,5897.0,7652.0,80.0
Chile,2020-04-13,2764.0,7964.0,82.0
Chile,2020-04-14,2759.0,8356.0,92.0
