Entity,Date,Daily tests,Cases,Deaths
Colombia,2020-03-06,,1.0,
Colombia,2020-03-07,,1.0,
Colombia,2020-03-08,,1.0,
Colombia,2020-03-09,,1.0,
Colombia,2020-03-10,,3.0,
Colombia,2020-03-11,,9.0,
Colombia,2020-03-12,,9.0,
Colombia,2020-03-13,,13.0,
Colombia,2020-03-14,,22.0,
Colombia,2020-03-15,,34.0,
Colombia,2020-03-16,,57.0,
Colombia,2020-03-17,,75.0,
Colombia,2020-03-18,,102.0,
Colombia,2020-03-19,,108.0,
Colombia,2020-03-20,,158.0,
Colombia,2020-03-21,,196.0,
Colombia,2020-03-22,,231.0,2.0
Colombia,2020-03-23,,277.0,3.0
Colombia,2020-03-24,,378.0,3.0
Colombia,2020-03-25,,470.0,4.0
Colombia,2020-03-26,,491.0,6.0
Colombia,2020-03-27,,539.0,6.0
Colombia,2020-03-28,,608.0,6.0
Colombia,2020-03-29,,702.0,10.0
Colombia,2020-03-30,,798.0,12.0
Colombia,2020-03-31,,906.0,16.0
Colombia,2020-04-01,,1065.0,17.0
Colombia,2020-04-02,,1161.0,19.0
Colombia,2020-04-03,,1267.0,25.0
Colombia,2020-04-04,,1406.0,32.0
Colombia,2020-04-05,,1485.0,35.0
Colombia,2020-04-06,,1579.0,46.0
Colombia,2020-04-07,,1780.0,50.0
Colombia,2020-04-08,,2054.0,54.0
Colombia,2020-04-09,,2223.0,69.0
Colombia,2020-04-10,,2473.0,80.0
Colombia,2020-04-11,,2709.0,100.0
Colombia,2020-04-12,,2776.0,109.0
Colombia,2020-04-13,,2852.0,112.0
Colombia,2020-04-14,,2979.0,127.0
Colombia,2020-04-15,,3105.0,131.0
Colombia,2020-04-16,,3233.0,144.0
Colombia,2020-04-17,,3439.0,153.0
Colombia,2020-04-18,,3621.0,166.0
Colombia,2020-04-19,,3792.0,179.0
Colombia,2020-04-20,,3977.0,189.0
Colombia,2020-04-21,,4149.0,196.0
Colombia,2020-04-22,,4356.0,206.0
Colombia,2020-04-23,,4561.0,215.0
Colombia,2020-04-24,,4881.0,225.0
Colombia,2020-04-25,,5142.0,233.0
Colombia,2020-04-26,,5379.0,244.0
Colombia,2020-04-27,,5597.0,253.0
Colombia,2020-04-28,,5949.0,269.0
Colombia,2020-04-29,,6207.0,278.0
Colombia,2020-04-30,,6507.0,293.0
Colombia,2020-05-01,,7006.0,314.0
Colombia,2020-05-02,,7285.0,324.0
Colombia,2020-05-03,,7668.0,340.0
Colombia,2020-05-04,,7973.0,358.0
Colombia,2020-05-05,,8613.0,378.0
Colombia,2020-05-06,,8959.0,397.0
Colombia,2020-05-07,,9456.0,407.0
Colombia,2020-05-08,,10051.0,428.0
Colombia,2020-05-09,,10495.0,445.0
Colombia,2020-05-10,,11063.0,463.0
Colombia,2020-05-11,,11613.0,479.0
Colombia,2020-05-12,,12272.0,493.0
Colombia,2020-05-13,,12930.0,509.0
Colombia,2020-05-14,,13610.0,525.0
Colombia,2020-05-15,,14216.0,546.0
Colombia,2020-05-16,,14939.0,562.0
Colombia,2020-05-17,,15574.0,574.0
Colombia,2020-05-18,,16295.0,592.0
