Entity,Date,Daily tests,Cases,Deaths
Costa Rica,2020-03-19,114.0,69.0,1.0
Costa Rica,2020-03-20,121.0,89.0,1.0
Costa Rica,2020-03-21,148.0,117.0,2.0
Costa Rica,2020-03-22,227.0,134.0,2.0
Costa Rica,2020-03-23,157.0,158.0,2.0
Costa Rica,2020-03-24,165.0,177.0,2.0
Costa Rica,2020-03-25,29.0,201.0,2.0
Costa Rica,2020-03-26,677.0,231.0,2.0
Costa Rica,2020-03-27,487.0,263.0,2.0
Costa Rica,2020-03-28,158.0,295.0,2.0
Costa Rica,2020-03-29,222.0,314.0,2.0
Costa Rica,2020-03-30,263.0,330.0,2.0
Costa Rica,2020-03-31,153.0,347.0,2.0
Costa Rica,2020-04-01,373.0,375.0,2.0
Costa Rica,2020-04-02,132.0,396.0,2.0
Costa Rica,2020-04-03,110.0,416.0,2.0
Costa Rica,2020-04-04,194.0,435.0,2.0
Costa Rica,2020-04-05,444.0,454.0,2.0
Costa Rica,2020-04-06,265.0,467.0,2.0
Costa Rica,2020-04-07,162.0,483.0,2.0
Costa Rica,2020-04-08,510.0,502.0,3.0
Costa Rica,2020-04-09,263.0,539.0,3.0
Costa Rica,2020-04-10,154.0,558.0,3.0
Costa Rica,2020-04-11,156.0,577.0,3.0
Costa Rica,2020-04-12,154.0,595.0,3.0
Costa Rica,2020-04-13,106.0,612.0,3.0
Costa Rica,2020-04-14,76.0,618.0,3.0
Costa Rica,2020-04-15,193.0,626.0,4.0
Costa Rica,2020-04-16,214.0,642.0,4.0
Costa Rica,2020-04-17,172.0,649.0,4.0
Costa Rica,2020-04-18,227.0,655.0,4.0
Costa Rica,2020-04-19,52.0,660.0,5.0
Costa Rica,2020-04-20,96.0,662.0,6.0
Costa Rica,2020-04-21,266.0,669.0,6.0
Costa Rica,2020-04-22,301.0,681.0,6.0
Costa Rica,2020-04-23,253.0,686.0,6.0
Costa Rica,2020-04-24,102.0,687.0,6.0
Costa Rica,2020-04-25,87.0,693.0,6.0
Costa Rica,2020-04-26,37.0,695.0,6.0
Costa Rica,2020-04-27,58.0,697.0,6.0
Costa Rica,2020-04-28,59.0,705.0,6.0
Costa Rica,2020-04-29,237.0,713.0,6.0
Costa Rica,2020-04-30,109.0,719.0,6.0
Costa Rica,2020-05-01,167.0,725.0,6.0
Costa Rica,2020-05-02,91.0,733.0,6.0
Costa Rica,2020-05-03,120.0,739.0,6.0
Costa Rica,2020-05-04,106.0,742.0,6.0
Costa Rica,2020-05-05,73.0,755.0,6.0
Costa Rica,2020-05-06,209.0,761.0,6.0
Costa Rica,2020-05-07,274.0,765.0,6.0
Costa Rica,2020-05-08,452.0,773.0,6.0
Costa Rica,2020-05-09,449.0,780.0,6.0
Costa Rica,2020-05-10,592.0,792.0,7.0
Costa Rica,2020-05-11,120.0,801.0,7.0
Costa Rica,2020-05-12,73.0,804.0,7.0
Costa Rica,2020-05-13,446.0,815.0,8.0
Costa Rica,2020-05-14,315.0,830.0,8.0
Costa Rica,2020-05-15,209.0,843.0,9.0
Costa Rica,2020-05-16,665.0,853.0,10.0
Costa Rica,2020-05-17,576.0,863.0,10.0
Costa Rica,2020-05-18,206.0,866.0,10.0
Costa Rica,2020-05-19,138.0,882.0,10.0
Costa Rica,2020-05-20,434.0,897.0,10.0
Costa Rica,2020-05-21,168.0,903.0,10.0
Costa Rica,2020-05-22,486.0,911.0,10.0
Costa Rica,2020-05-23,235.0,918.0,10.0
Costa Rica,2020-05-24,410.0,930.0,10.0
Costa Rica,2020-05-25,157.0,951.0,10.0
Costa Rica,2020-05-26,125.0,956.0,10.0
Costa Rica,2020-05-27,649.0,984.0,10.0
Costa Rica,2020-05-28,374.0,1000.0,10.0
Costa Rica,2020-05-29,540.0,1022.0,10.0
Costa Rica,2020-05-30,467.0,1047.0,10.0
Costa Rica,2020-05-31,521.0,1056.0,10.0
Costa Rica,2020-06-01,261.0,1084.0,10.0
Costa Rica,2020-06-02,264.0,1105.0,10.0
Costa Rica,2020-06-03,415.0,1157.0,10.0
Costa Rica,2020-06-04,376.0,1194.0,10.0
Costa Rica,2020-06-05,443.0,1228.0,10.0
Costa Rica,2020-06-06,334.0,1263.0,10.0
Costa Rica,2020-06-07,268.0,1318.0,10.0
Costa Rica,2020-06-08,161.0,1342.0,11.0
Costa Rica,2020-06-09,229.0,1375.0,11.0
Costa Rica,2020-06-10,427.0,1461.0,12.0
Costa Rica,2020-06-11,381.0,1538.0,12.0
Costa Rica,2020-06-12,483.0,1612.0,12.0
Costa Rica,2020-06-13,510.0,1662.0,12.0
Costa Rica,2020-06-14,308.0,1715.0,12.0
Costa Rica,2020-06-15,237.0,1744.0,12.0
Costa Rica,2020-06-16,278.0,1796.0,12.0
Costa Rica,2020-06-17,451.0,1871.0,12.0
Costa Rica,2020-06-18,447.0,1939.0,12.0
Costa Rica,2020-06-19,629.0,2058.0,12.0
Costa Rica,2020-06-20,457.0,2127.0,12.0
Costa Rica,2020-06-21,391.0,2213.0,12.0
Costa Rica,2020-06-22,244.0,2277.0,12.0
Costa Rica,2020-06-23,443.0,2368.0,12.0
Costa Rica,2020-06-24,621.0,2515.0,12.0
Costa Rica,2020-06-25,703.0,2684.0,12.0
Costa Rica,2020-06-26,687.0,2836.0,12.0
Costa Rica,2020-06-27,890.0,2979.0,14.0
Costa Rica,2020-06-28,743.0,3130.0,15.0
Costa Rica,2020-06-29,691.0,3269.0,15.0
Costa Rica,2020-06-30,594.0,3459.0,16.0
Costa Rica,2020-07-01,853.0,3753.0,17.0
Costa Rica,2020-07-02,1259.0,4023.0,18.0
Costa Rica,2020-07-03,933.0,4311.0,18.0
Costa Rica,2020-07-04,998.0,4621.0,18.0
Costa Rica,2020-07-05,1197.0,4996.0,19.0
Costa Rica,2020-07-06,1000.0,5241.0,23.0
Costa Rica,2020-07-07,1222.0,5486.0,23.0
Costa Rica,2020-07-08,1128.0,5836.0,25.0
Costa Rica,2020-07-09,1750.0,6485.0,25.0
Costa Rica,2020-07-10,1367.0,6845.0,26.0
Costa Rica,2020-07-11,1478.0,7231.0,28.0
Costa Rica,2020-07-12,1792.0,7596.0,30.0
Costa Rica,2020-07-13,1989.0,8036.0,34.0
Costa Rica,2020-07-14,1435.0,8482.0,37.0
Costa Rica,2020-07-15,1334.0,8986.0,40.0
Costa Rica,2020-07-16,1562.0,9546.0,42.0
Costa Rica,2020-07-17,1568.0,9969.0,47.0
Costa Rica,2020-07-18,1116.0,10551.0,54.0
Costa Rica,2020-07-19,1524.0,11114.0,62.0
Costa Rica,2020-07-20,1117.0,11534.0,66.0
Costa Rica,2020-07-21,1104.0,11811.0,68.0
Costa Rica,2020-07-22,1228.0,12361.0,71.0
Costa Rica,2020-07-23,1829.0,13129.0,80.0
Costa Rica,2020-07-24,1510.0,13669.0,87.0
Costa Rica,2020-07-25,1842.0,14600.0,98.0
Costa Rica,2020-07-26,1564.0,15229.0,104.0
Costa Rica,2020-07-27,1701.0,15841.0,115.0
Costa Rica,2020-07-28,1501.0,16344.0,125.0
Costa Rica,2020-07-29,1656.0,16800.0,133.0
Costa Rica,2020-07-30,1840.0,17290.0,140.0
