Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-02-25,,1.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-02-26,,3.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-02-27,,3.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-02-28,,5.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-02-29,,6.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-01,,7.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-02,,7.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-03,,9.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-04,8.0,10.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-05,18.0,10.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-06,29.0,11.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-07,15.0,12.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-08,10.0,12.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-09,17.0,12.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-10,21.0,14.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-11,,19.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-12,,19.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-13,70.0,32.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-14,96.0,38.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-15,96.0,49.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-16,135.0,57.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-17,229.0,65.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-18,72.0,81.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-19,83.0,105.0,1.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-20,,128.0,1.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-21,,206.0,1.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-22,,254.0,1.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-23,,315.0,1.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-24,,382.0,1.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-25,459.0,442.0,1.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-26,590.0,495.0,3.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-27,570.0,586.0,3.0
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-03-28,437.0,657.0,5.0
