Entity,Date,Daily tests,Cases,Deaths
Cuba,2020-03-23,107.0,40.0,1.0
Cuba,2020-03-24,113.0,48.0,1.0
Cuba,2020-03-25,155.0,57.0,1.0
Cuba,2020-03-26,146.0,67.0,2.0
Cuba,2020-03-27,329.0,80.0,2.0
Cuba,2020-03-28,297.0,119.0,3.0
Cuba,2020-03-29,342.0,139.0,3.0
Cuba,2020-03-30,315.0,170.0,4.0
Cuba,2020-03-31,444.0,186.0,6.0
Cuba,2020-04-01,576.0,212.0,6.0
Cuba,2020-04-02,803.0,233.0,6.0
Cuba,2020-04-03,1057.0,269.0,6.0
Cuba,2020-04-04,1201.0,288.0,6.0
Cuba,2020-04-05,764.0,320.0,8.0
Cuba,2020-04-06,1056.0,350.0,9.0
Cuba,2020-04-07,1187.0,396.0,11.0
Cuba,2020-04-08,1315.0,457.0,12.0
Cuba,2020-04-09,1298.0,515.0,15.0
Cuba,2020-04-10,1139.0,564.0,15.0
Cuba,2020-04-11,1895.0,620.0,16.0
Cuba,2020-04-12,2076.0,669.0,18.0
Cuba,2020-04-13,1634.0,726.0,21.0
Cuba,2020-04-14,1684.0,766.0,21.0
Cuba,2020-04-15,1386.0,814.0,24.0
Cuba,2020-04-16,1480.0,862.0,27.0
Cuba,2020-04-17,1895.0,923.0,31.0
Cuba,2020-04-18,1770.0,986.0,32.0
Cuba,2020-04-19,1616.0,1035.0,34.0
Cuba,2020-04-20,1818.0,1087.0,36.0
Cuba,2020-04-21,1860.0,1137.0,38.0
Cuba,2020-04-22,1967.0,1189.0,40.0
Cuba,2020-04-23,1891.0,1235.0,43.0
Cuba,2020-04-24,1857.0,1285.0,49.0
Cuba,2020-04-25,1837.0,1337.0,51.0
Cuba,2020-04-26,1823.0,1369.0,54.0
Cuba,2020-04-27,1857.0,1389.0,56.0
Cuba,2020-04-28,1836.0,1437.0,58.0
Cuba,2020-04-29,2003.0,1467.0,58.0
Cuba,2020-04-30,2062.0,1501.0,61.0
Cuba,2020-05-01,2097.0,1537.0,64.0
Cuba,2020-05-02,2039.0,1611.0,66.0
Cuba,2020-05-03,1997.0,1649.0,67.0
Cuba,2020-05-04,2169.0,1668.0,69.0
Cuba,2020-05-05,1937.0,1685.0,69.0
Cuba,2020-05-06,1965.0,1703.0,69.0
Cuba,2020-05-07,1947.0,1729.0,73.0
Cuba,2020-05-08,1949.0,1741.0,74.0
Cuba,2020-05-09,1826.0,1754.0,74.0
Cuba,2020-05-10,1847.0,1766.0,77.0
Cuba,2020-05-11,1975.0,1783.0,77.0
Cuba,2020-05-12,1972.0,1804.0,78.0
Cuba,2020-05-13,2013.0,1810.0,79.0
Cuba,2020-05-14,2232.0,1830.0,79.0
Cuba,2020-05-15,2460.0,1840.0,79.0
Cuba,2020-05-16,2083.0,1862.0,79.0
Cuba,2020-05-17,1951.0,1872.0,79.0
Cuba,2020-05-18,1688.0,1881.0,79.0
Cuba,2020-05-19,1732.0,1887.0,79.0
Cuba,2020-05-20,1743.0,1900.0,79.0
Cuba,2020-05-21,1880.0,1908.0,80.0
Cuba,2020-05-22,1718.0,1916.0,81.0
Cuba,2020-05-23,1431.0,1931.0,81.0
Cuba,2020-05-24,1451.0,1941.0,82.0
Cuba,2020-05-25,1492.0,1947.0,82.0
Cuba,2020-05-26,1378.0,1963.0,82.0
Cuba,2020-05-27,1364.0,1974.0,82.0
Cuba,2020-05-28,1363.0,1983.0,82.0
Cuba,2020-05-29,2015.0,2005.0,82.0
Cuba,2020-05-30,2151.0,2025.0,83.0
Cuba,2020-05-31,1763.0,2045.0,83.0
Cuba,2020-06-01,1352.0,2083.0,83.0
Cuba,2020-06-02,1960.0,2092.0,83.0
Cuba,2020-06-03,2100.0,2107.0,83.0
Cuba,2020-06-04,2015.0,2119.0,83.0
Cuba,2020-06-05,2004.0,2133.0,83.0
Cuba,2020-06-06,2020.0,2173.0,83.0
Cuba,2020-06-07,2048.0,2191.0,83.0
Cuba,2020-06-08,2067.0,2200.0,83.0
Cuba,2020-06-09,2344.0,2205.0,83.0
Cuba,2020-06-10,2095.0,2211.0,83.0
Cuba,2020-06-11,2090.0,2219.0,84.0
Cuba,2020-06-12,2496.0,2233.0,84.0
Cuba,2020-06-13,2135.0,2238.0,84.0
Cuba,2020-06-14,2486.0,2248.0,84.0
Cuba,2020-06-15,2582.0,2262.0,84.0
Cuba,2020-06-16,2320.0,2273.0,84.0
Cuba,2020-06-17,2582.0,2280.0,84.0
Cuba,2020-06-18,2543.0,2295.0,85.0
Cuba,2020-06-19,2536.0,2305.0,85.0
Cuba,2020-06-20,2352.0,2309.0,85.0
Cuba,2020-06-21,2069.0,2312.0,85.0
Cuba,2020-06-22,2148.0,2315.0,85.0
Cuba,2020-06-23,2006.0,2318.0,85.0
Cuba,2020-06-24,2184.0,2319.0,85.0
Cuba,2020-06-25,2103.0,2321.0,85.0
Cuba,2020-06-26,2288.0,2325.0,85.0
Cuba,2020-06-27,2373.0,2330.0,86.0
Cuba,2020-06-28,2210.0,2332.0,86.0
Cuba,2020-06-29,2246.0,2340.0,86.0
Cuba,2020-06-30,2272.0,2341.0,86.0
Cuba,2020-07-01,2309.0,2348.0,86.0
Cuba,2020-07-02,2690.0,2353.0,86.0
Cuba,2020-07-03,2635.0,2361.0,86.0
Cuba,2020-07-04,2446.0,2369.0,86.0
Cuba,2020-07-05,3375.0,2372.0,86.0
Cuba,2020-07-06,3081.0,2380.0,86.0
Cuba,2020-07-07,2844.0,2395.0,86.0
Cuba,2020-07-08,3091.0,2399.0,86.0
Cuba,2020-07-09,3141.0,2403.0,86.0
Cuba,2020-07-10,3339.0,2413.0,86.0
Cuba,2020-07-11,3106.0,2420.0,87.0
Cuba,2020-07-12,2978.0,2426.0,87.0
Cuba,2020-07-13,3329.0,2428.0,87.0
Cuba,2020-07-14,3372.0,2432.0,87.0
Cuba,2020-07-15,2761.0,2438.0,87.0
Cuba,2020-07-16,3179.0,2440.0,87.0
Cuba,2020-07-17,2959.0,2444.0,87.0
Cuba,2020-07-18,2745.0,2445.0,87.0
Cuba,2020-07-19,2914.0,2446.0,87.0
Cuba,2020-07-20,2746.0,2446.0,87.0
Cuba,2020-07-21,2714.0,2449.0,87.0
Cuba,2020-07-22,3002.0,2462.0,87.0
Cuba,2020-07-23,3075.0,2466.0,87.0
Cuba,2020-07-24,3126.0,2469.0,87.0
Cuba,2020-07-25,3183.0,2478.0,87.0
Cuba,2020-07-26,3212.0,2495.0,87.0
Cuba,2020-07-27,3346.0,2532.0,87.0
Cuba,2020-07-28,3235.0,2555.0,87.0
Cuba,2020-07-29,3455.0,2588.0,87.0
Cuba,2020-07-30,3696.0,2597.0,87.0
Cuba,2020-07-31,3502.0,2608.0,87.0
Cuba,2020-08-01,3340.0,2633.0,87.0
Cuba,2020-08-02,3485.0,2646.0,87.0
Cuba,2020-08-03,3389.0,2670.0,87.0
Cuba,2020-08-04,3732.0,2701.0,88.0
Cuba,2020-08-05,3876.0,2726.0,88.0
Cuba,2020-08-06,3941.0,2775.0,88.0
Cuba,2020-08-07,3657.0,2829.0,88.0
Cuba,2020-08-08,4262.0,2888.0,88.0
Cuba,2020-08-09,4267.0,2953.0,88.0
Cuba,2020-08-10,4054.0,3046.0,88.0
Cuba,2020-08-11,4256.0,3093.0,88.0
Cuba,2020-08-12,4591.0,3128.0,88.0
Cuba,2020-08-13,4941.0,3174.0,89.0
Cuba,2020-08-14,4603.0,3229.0,88.0
Cuba,2020-08-15,3646.0,3292.0,88.0
Cuba,2020-08-16,4350.0,3316.0,88.0
Cuba,2020-08-17,4294.0,3364.0,88.0
Cuba,2020-08-18,4990.0,3408.0,88.0
Cuba,2020-08-19,5116.0,3482.0,88.0
Cuba,2020-08-20,5224.0,3565.0,88.0
Cuba,2020-08-21,4562.0,3582.0,89.0
