Entity,Date,Daily tests,Cases,Deaths
Cyprus,2020-03-29,530.0,214.0,5.0
Cyprus,2020-03-30,400.0,230.0,7.0
Cyprus,2020-03-31,550.0,262.0,8.0
Cyprus,2020-04-01,779.0,320.0,9.0
Cyprus,2020-04-02,603.0,356.0,10.0
Cyprus,2020-04-03,668.0,396.0,11.0
Cyprus,2020-04-04,698.0,426.0,11.0
Cyprus,2020-04-05,792.0,446.0,9.0
Cyprus,2020-04-06,718.0,465.0,9.0
Cyprus,2020-04-07,1353.0,494.0,9.0
Cyprus,2020-04-08,1256.0,526.0,9.0
Cyprus,2020-04-09,1216.0,564.0,10.0
Cyprus,2020-04-10,819.0,595.0,10.0
Cyprus,2020-04-11,811.0,616.0,10.0
Cyprus,2020-04-12,804.0,633.0,11.0
Cyprus,2020-04-13,891.0,662.0,12.0
Cyprus,2020-04-14,1703.0,695.0,12.0
Cyprus,2020-04-15,2312.0,715.0,12.0
Cyprus,2020-04-16,2905.0,735.0,12.0
Cyprus,2020-04-17,3241.0,750.0,12.0
Cyprus,2020-04-18,3209.0,761.0,12.0
Cyprus,2020-04-19,1803.0,767.0,12.0
Cyprus,2020-04-20,1669.0,772.0,12.0
Cyprus,2020-04-21,1325.0,784.0,12.0
Cyprus,2020-04-22,1441.0,790.0,13.0
Cyprus,2020-04-23,2322.0,795.0,13.0
Cyprus,2020-04-24,2698.0,804.0,14.0
Cyprus,2020-04-25,2467.0,810.0,14.0
Cyprus,2020-04-26,2415.0,817.0,14.0
Cyprus,2020-04-27,1796.0,822.0,15.0
Cyprus,2020-04-28,2999.0,837.0,15.0
Cyprus,2020-04-29,2436.0,843.0,15.0
Cyprus,2020-04-30,2454.0,850.0,15.0
Cyprus,2020-05-01,2427.0,857.0,15.0
Cyprus,2020-05-02,1731.0,864.0,15.0
Cyprus,2020-05-03,1968.0,872.0,15.0
Cyprus,2020-05-04,1490.0,874.0,15.0
Cyprus,2020-05-05,1250.0,878.0,15.0
Cyprus,2020-05-06,2062.0,883.0,15.0
Cyprus,2020-05-07,1774.0,889.0,15.0
Cyprus,2020-05-08,1957.0,891.0,15.0
Cyprus,2020-05-09,1978.0,892.0,15.0
Cyprus,2020-05-10,1393.0,898.0,16.0
