Entity,Date,Daily tests,Cases,Deaths
Denmark,2020-02-02,1.0,,
Denmark,2020-02-13,1.0,,
Denmark,2020-02-17,1.0,,
Denmark,2020-02-18,2.0,,
Denmark,2020-02-19,2.0,,
Denmark,2020-02-20,1.0,,
Denmark,2020-02-22,1.0,,
Denmark,2020-02-25,10.0,,
Denmark,2020-02-26,30.0,,
Denmark,2020-02-27,109.0,1.0,
Denmark,2020-02-28,62.0,1.0,
Denmark,2020-02-29,74.0,3.0,
Denmark,2020-03-01,49.0,4.0,
Denmark,2020-03-02,80.0,4.0,
Denmark,2020-03-03,63.0,6.0,
Denmark,2020-03-04,88.0,11.0,
Denmark,2020-03-05,109.0,11.0,
Denmark,2020-03-06,127.0,24.0,
Denmark,2020-03-07,108.0,24.0,
Denmark,2020-03-08,229.0,37.0,
Denmark,2020-03-09,577.0,92.0,
Denmark,2020-03-10,806.0,264.0,
Denmark,2020-03-11,882.0,444.0,
Denmark,2020-03-12,676.0,617.0,
Denmark,2020-03-13,710.0,804.0,
Denmark,2020-03-14,583.0,836.0,1.0
Denmark,2020-03-15,723.0,875.0,2.0
Denmark,2020-03-16,1016.0,933.0,3.0
Denmark,2020-03-17,948.0,1025.0,4.0
Denmark,2020-03-18,1226.0,1116.0,4.0
Denmark,2020-03-19,1848.0,1225.0,6.0
Denmark,2020-03-20,1178.0,1337.0,9.0
Denmark,2020-03-21,602.0,1420.0,13.0
Denmark,2020-03-22,532.0,1514.0,13.0
Denmark,2020-03-23,1124.0,1572.0,24.0
Denmark,2020-03-24,1123.0,1718.0,32.0
Denmark,2020-03-25,1372.0,1862.0,34.0
Denmark,2020-03-26,1611.0,2023.0,41.0
Denmark,2020-03-27,2110.0,2200.0,52.0
Denmark,2020-03-28,1383.0,2366.0,65.0
Denmark,2020-03-29,1301.0,2564.0,72.0
Denmark,2020-03-30,3218.0,2755.0,77.0
Denmark,2020-03-31,3209.0,3039.0,90.0
Denmark,2020-04-01,3558.0,3290.0,104.0
Denmark,2020-04-02,5749.0,3573.0,123.0
Denmark,2020-04-03,6615.0,3946.0,139.0
Denmark,2020-04-04,3685.0,4269.0,161.0
Denmark,2020-04-05,2187.0,4561.0,179.0
Denmark,2020-04-06,6529.0,4875.0,187.0
Denmark,2020-04-07,6351.0,5266.0,203.0
Denmark,2020-04-08,5608.0,5597.0,218.0
Denmark,2020-04-09,2522.0,5830.0,237.0
Denmark,2020-04-10,2303.0,6014.0,247.0
Denmark,2020-04-11,2210.0,6191.0,260.0
Denmark,2020-04-12,2118.0,6369.0,273.0
Denmark,2020-04-13,2129.0,6513.0,285.0
Denmark,2020-04-14,6186.0,6706.0,299.0
Denmark,2020-04-15,5600.0,6876.0,309.0
Denmark,2020-04-16,5299.0,7074.0,321.0
Denmark,2020-04-17,4773.0,7268.0,336.0
Denmark,2020-04-18,2271.0,7437.0,346.0
Denmark,2020-04-19,1860.0,7580.0,355.0
Denmark,2020-04-20,6642.0,7711.0,364.0
Denmark,2020-04-21,9745.0,7891.0,370.0
Denmark,2020-04-22,11580.0,8108.0,384.0
Denmark,2020-04-23,12459.0,8271.0,394.0
Denmark,2020-04-24,14780.0,8408.0,403.0
Denmark,2020-04-25,12415.0,8643.0,418.0
Denmark,2020-04-26,10301.0,8773.0,422.0
Denmark,2020-04-27,17341.0,8896.0,427.0
Denmark,2020-04-28,16262.0,9049.0,434.0
Denmark,2020-04-29,16057.0,9206.0,443.0
Denmark,2020-04-30,15935.0,9356.0,452.0
Denmark,2020-05-01,14432.0,9509.0,460.0
Denmark,2020-05-02,11149.0,9605.0,475.0
Denmark,2020-05-03,9001.0,9721.0,484.0
Denmark,2020-05-04,17830.0,9868.0,493.0
Denmark,2020-05-05,16019.0,10019.0,503.0
Denmark,2020-05-06,14526.0,10136.0,506.0
Denmark,2020-05-07,14414.0,10281.0,514.0
Denmark,2020-05-08,8378.0,10416.0,522.0
Denmark,2020-05-09,8250.0,10517.0,526.0
Denmark,2020-05-10,6693.0,10627.0,529.0
Denmark,2020-05-11,16449.0,10711.0,533.0
Denmark,2020-05-12,14777.0,10789.0,527.0
Denmark,2020-05-13,14712.0,10865.0,533.0
Denmark,2020-05-14,12977.0,10911.0,537.0
Denmark,2020-05-15,12650.0,10989.0,537.0
Denmark,2020-05-16,7715.0,11056.0,543.0
Denmark,2020-05-17,7095.0,11125.0,547.0
Denmark,2020-05-18,15262.0,11166.0,548.0
Denmark,2020-05-19,14906.0,11242.0,551.0
Denmark,2020-05-20,14432.0,11315.0,554.0
Denmark,2020-05-21,8505.0,11380.0,561.0
Denmark,2020-05-22,12316.0,11428.0,561.0
Denmark,2020-05-23,8804.0,11487.0,561.0
Denmark,2020-05-24,8687.0,11559.0,562.0
Denmark,2020-05-25,18300.0,11586.0,563.0
Denmark,2020-05-26,15980.0,11627.0,563.0
Denmark,2020-05-27,14781.0,11680.0,565.0
Denmark,2020-05-28,13141.0,11712.0,568.0
Denmark,2020-05-29,11786.0,11793.0,568.0
Denmark,2020-05-30,7181.0,11833.0,571.0
Denmark,2020-05-31,7648.0,11869.0,574.0
Denmark,2020-06-01,8745.0,11899.0,576.0
Denmark,2020-06-02,15551.0,11934.0,580.0
Denmark,2020-06-03,13383.0,11971.0,580.0
Denmark,2020-06-04,11865.0,12011.0,582.0
Denmark,2020-06-05,9680.0,12075.0,586.0
Denmark,2020-06-06,7986.0,12124.0,587.0
Denmark,2020-06-07,7766.0,12148.0,589.0
Denmark,2020-06-08,16854.0,12162.0,593.0
Denmark,2020-06-09,15661.0,12201.0,593.0
Denmark,2020-06-10,14969.0,12216.0,593.0
Denmark,2020-06-11,14613.0,12235.0,593.0
Denmark,2020-06-12,14881.0,12299.0,594.0
Denmark,2020-06-13,10019.0,12339.0,597.0
Denmark,2020-06-14,9069.0,12393.0,597.0
Denmark,2020-06-15,17726.0,12417.0,598.0
Denmark,2020-06-16,18208.0,12450.0,598.0
Denmark,2020-06-17,19222.0,12494.0,598.0
Denmark,2020-06-18,17511.0,12544.0,600.0
Denmark,2020-06-19,16993.0,12591.0,600.0
Denmark,2020-06-20,12111.0,12591.0,600.0
Denmark,2020-06-21,11429.0,12591.0,600.0
Denmark,2020-06-22,21461.0,12727.0,602.0
Denmark,2020-06-23,20913.0,12761.0,603.0
Denmark,2020-06-24,20075.0,12815.0,603.0
Denmark,2020-06-25,16827.0,12836.0,603.0
Denmark,2020-06-26,15740.0,12875.0,604.0
Denmark,2020-06-27,9489.0,12875.0,604.0
Denmark,2020-06-28,9459.0,12875.0,604.0
Denmark,2020-06-29,18722.0,12951.0,605.0
Denmark,2020-06-30,17889.0,12968.0,605.0
Denmark,2020-07-01,17616.0,12994.0,606.0
Denmark,2020-07-02,15358.0,13015.0,606.0
Denmark,2020-07-03,14321.0,13032.0,606.0
Denmark,2020-07-04,9670.0,13032.0,606.0
Denmark,2020-07-05,9741.0,13033.0,606.0
Denmark,2020-07-06,17840.0,13079.0,607.0
Denmark,2020-07-07,16513.0,13089.0,609.0
Denmark,2020-07-08,15898.0,13101.0,609.0
Denmark,2020-07-09,14341.0,13117.0,609.0
Denmark,2020-07-10,14186.0,13147.0,609.0
Denmark,2020-07-11,9656.0,13147.0,609.0
Denmark,2020-07-12,9131.0,13147.0,609.0
Denmark,2020-07-13,18279.0,13238.0,610.0
Denmark,2020-07-14,16717.0,13262.0,610.0
Denmark,2020-07-15,16345.0,13293.0,610.0
Denmark,2020-07-16,15181.0,13325.0,610.0
Denmark,2020-07-17,14276.0,13374.0,611.0
Denmark,2020-07-18,10671.0,13374.0,611.0
Denmark,2020-07-19,10940.0,13377.0,611.0
Denmark,2020-07-20,18211.0,13466.0,611.0
Denmark,2020-07-21,16694.0,13506.0,611.0
Denmark,2020-07-22,16643.0,13554.0,611.0
Denmark,2020-07-23,15789.0,13594.0,612.0
Denmark,2020-07-24,16108.0,13642.0,613.0
Denmark,2020-07-25,11731.0,13643.0,613.0
Denmark,2020-07-26,12805.0,13665.0,613.0
Denmark,2020-07-27,20725.0,13775.0,613.0
Denmark,2020-07-28,20377.0,13811.0,613.0
Denmark,2020-07-29,20224.0,13868.0,614.0
Denmark,2020-07-30,20541.0,13964.0,615.0
Denmark,2020-07-31,19916.0,14028.0,615.0
Denmark,2020-08-01,14305.0,14028.0,615.0
Denmark,2020-08-02,15717.0,14028.0,615.0
Denmark,2020-08-03,23844.0,14235.0,616.0
Denmark,2020-08-04,24945.0,14314.0,616.0
Denmark,2020-08-05,24853.0,14440.0,616.0
Denmark,2020-08-06,26850.0,14586.0,617.0
Denmark,2020-08-07,27059.0,14747.0,617.0
Denmark,2020-08-08,20788.0,14751.0,617.0
Denmark,2020-08-09,20932.0,14759.0,617.0
Denmark,2020-08-10,30953.0,15135.0,620.0
Denmark,2020-08-11,33528.0,15291.0,621.0
Denmark,2020-08-12,34728.0,15423.0,621.0
Denmark,2020-08-13,33796.0,15590.0,621.0
Denmark,2020-08-14,32564.0,15758.0,621.0
Denmark,2020-08-15,25249.0,15867.0,621.0
Denmark,2020-08-16,25599.0,16003.0,621.0
Denmark,2020-08-17,35580.0,16127.0,621.0
Denmark,2020-08-18,37877.0,16246.0,621.0
Denmark,2020-08-19,39066.0,16336.0,621.0
Denmark,2020-08-20,38013.0,16453.0,621.0
Denmark,2020-08-21,35709.0,16525.0,621.0
Denmark,2020-08-22,28636.0,16637.0,622.0
Denmark,2020-08-23,27561.0,16715.0,622.0
Denmark,2020-08-24,39337.0,16821.0,623.0
Denmark,2020-08-25,39813.0,16905.0,623.0
Denmark,2020-08-26,40055.0,16962.0,623.0
Denmark,2020-08-27,38676.0,17052.0,624.0
Denmark,2020-08-28,35430.0,17125.0,624.0
Denmark,2020-08-29,25185.0,17204.0,624.0
Denmark,2020-08-30,25245.0,17316.0,624.0
Denmark,2020-08-31,39636.0,17410.0,624.0
Denmark,2020-09-01,39209.0,17509.0,625.0
Denmark,2020-09-02,40016.0,17620.0,626.0
Denmark,2020-09-03,38804.0,17800.0,626.0
Denmark,2020-09-04,40139.0,17974.0,627.0
Denmark,2020-09-05,28610.0,18163.0,627.0
Denmark,2020-09-06,29753.0,18310.0,627.0
Denmark,2020-09-07,47813.0,18540.0,628.0
Denmark,2020-09-08,48331.0,18784.0,628.0
Denmark,2020-09-09,48824.0,19036.0,628.0
Denmark,2020-09-10,52148.0,19353.0,629.0
Denmark,2020-09-11,50574.0,19646.0,629.0
Denmark,2020-09-12,41345.0,19989.0,630.0
Denmark,2020-09-13,41897.0,20327.0,631.0
Denmark,2020-09-14,55736.0,20674.0,633.0
Denmark,2020-09-15,56150.0,21013.0,633.0
Denmark,2020-09-16,56677.0,21013.0,633.0
Denmark,2020-09-17,52015.0,21836.0,635.0
Denmark,2020-09-18,51500.0,22291.0,635.0
Denmark,2020-09-19,40040.0,22881.0,635.0
Denmark,2020-09-20,40968.0,23353.0,638.0
Denmark,2020-09-21,54144.0,23774.0,640.0
Denmark,2020-09-22,56612.0,24261.0,641.0
Denmark,2020-09-23,55543.0,24822.0,643.0
Denmark,2020-09-24,53894.0,25385.0,645.0
Denmark,2020-09-25,51544.0,26066.0,647.0
