Entity,Date,Daily tests,Cases,Deaths
Dominican Republic,2020-03-21,309.0,112.0,2.0
Dominican Republic,2020-03-22,191.0,202.0,3.0
Dominican Republic,2020-03-23,185.0,245.0,3.0
Dominican Republic,2020-03-24,134.0,312.0,6.0
Dominican Republic,2020-03-25,341.0,392.0,10.0
Dominican Republic,2020-03-26,282.0,488.0,10.0
Dominican Republic,2020-03-27,423.0,581.0,20.0
Dominican Republic,2020-03-28,437.0,719.0,28.0
Dominican Republic,2020-03-29,366.0,859.0,39.0
Dominican Republic,2020-03-30,299.0,901.0,42.0
Dominican Republic,2020-03-31,447.0,1109.0,51.0
Dominican Republic,2020-04-01,316.0,1284.0,57.0
Dominican Republic,2020-04-02,182.0,1380.0,60.0
Dominican Republic,2020-04-03,342.0,1488.0,68.0
Dominican Republic,2020-04-04,641.0,1488.0,68.0
Dominican Republic,2020-04-05,306.0,1745.0,82.0
Dominican Republic,2020-04-06,331.0,1828.0,86.0
Dominican Republic,2020-04-07,538.0,1956.0,98.0
Dominican Republic,2020-04-08,793.0,2111.0,108.0
Dominican Republic,2020-04-09,785.0,2349.0,118.0
Dominican Republic,2020-04-10,533.0,2620.0,126.0
Dominican Republic,2020-04-11,806.0,2759.0,135.0
Dominican Republic,2020-04-12,800.0,2967.0,173.0
Dominican Republic,2020-04-13,373.0,3167.0,177.0
Dominican Republic,2020-04-14,1293.0,3286.0,183.0
Dominican Republic,2020-04-15,488.0,3614.0,189.0
Dominican Republic,2020-04-16,1053.0,3755.0,196.0
Dominican Republic,2020-04-17,1091.0,4126.0,200.0
Dominican Republic,2020-04-18,1210.0,4335.0,217.0
Dominican Republic,2020-04-19,1099.0,4680.0,226.0
Dominican Republic,2020-04-20,291.0,4964.0,235.0
Dominican Republic,2020-04-21,1288.0,5044.0,245.0
Dominican Republic,2020-04-22,1019.0,5300.0,260.0
Dominican Republic,2020-04-23,990.0,5543.0,265.0
Dominican Republic,2020-04-24,1014.0,5749.0,267.0
Dominican Republic,2020-04-25,1214.0,5926.0,273.0
Dominican Republic,2020-04-26,987.0,6135.0,278.0
Dominican Republic,2020-04-27,494.0,6293.0,282.0
Dominican Republic,2020-04-28,1389.0,6416.0,286.0
Dominican Republic,2020-04-29,1613.0,6652.0,293.0
Dominican Republic,2020-04-30,1465.0,6972.0,301.0
Dominican Republic,2020-05-01,1656.0,7288.0,313.0
Dominican Republic,2020-05-02,1923.0,7578.0,326.0
Dominican Republic,2020-05-03,1352.0,7954.0,333.0
Dominican Republic,2020-05-04,959.0,8235.0,346.0
Dominican Republic,2020-05-05,1004.0,8480.0,354.0
Dominican Republic,2020-05-06,1619.0,8807.0,362.0
Dominican Republic,2020-05-07,1584.0,9095.0,373.0
Dominican Republic,2020-05-08,2048.0,9376.0,380.0
