Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-01,,1.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-02,,1.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-03,,1.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-04,,1.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-05,,1.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-06,,2.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-07,,2.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-08,,5.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-09,,5.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-10,,5.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-11,,5.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-12,,5.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-13,,5.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-14,,11.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-15,,11.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-16,,11.0,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-17,,21.0,1.0
