Entity,Date,Daily tests,Cases,Deaths
Ecuador,2020-03-01,,6.0,
Ecuador,2020-03-02,,6.0,
Ecuador,2020-03-03,,7.0,
Ecuador,2020-03-04,,10.0,
Ecuador,2020-03-05,,13.0,
Ecuador,2020-03-06,,13.0,
Ecuador,2020-03-07,,13.0,
Ecuador,2020-03-08,,14.0,
Ecuador,2020-03-09,,15.0,
Ecuador,2020-03-10,,15.0,
Ecuador,2020-03-11,,17.0,
Ecuador,2020-03-12,,17.0,
Ecuador,2020-03-13,,17.0,
Ecuador,2020-03-14,,28.0,2.0
Ecuador,2020-03-15,,28.0,2.0
Ecuador,2020-03-16,,37.0,2.0
Ecuador,2020-03-17,,58.0,2.0
Ecuador,2020-03-18,,111.0,2.0
Ecuador,2020-03-19,192.0,199.0,3.0
Ecuador,2020-03-20,287.0,367.0,5.0
Ecuador,2020-03-21,222.0,506.0,7.0
Ecuador,2020-03-22,480.0,789.0,14.0
Ecuador,2020-03-23,411.0,981.0,18.0
Ecuador,2020-03-24,235.0,1082.0,27.0
Ecuador,2020-03-25,291.0,1173.0,28.0
Ecuador,2020-03-26,527.0,1403.0,34.0
Ecuador,2020-03-27,443.0,1595.0,36.0
Ecuador,2020-03-28,367.0,1823.0,48.0
Ecuador,2020-03-29,188.0,1924.0,58.0
Ecuador,2020-03-30,96.0,1962.0,60.0
Ecuador,2020-03-31,609.0,2240.0,75.0
Ecuador,2020-04-01,763.0,2748.0,93.0
Ecuador,2020-04-02,711.0,3163.0,120.0
Ecuador,2020-04-03,354.0,3368.0,145.0
Ecuador,2020-04-04,178.0,3465.0,172.0
Ecuador,2020-04-05,415.0,3646.0,180.0
Ecuador,2020-04-06,341.0,3747.0,191.0
Ecuador,2020-04-07,361.0,3747.0,191.0
Ecuador,2020-04-08,707.0,4450.0,242.0
Ecuador,2020-04-09,981.0,4965.0,272.0
Ecuador,2020-04-10,4018.0,7161.0,297.0
Ecuador,2020-04-11,544.0,7257.0,315.0
Ecuador,2020-04-12,383.0,7466.0,333.0
Ecuador,2020-04-13,242.0,7529.0,355.0
Ecuador,2020-04-14,272.0,7603.0,369.0
Ecuador,2020-04-15,516.0,7858.0,388.0
Ecuador,2020-04-16,523.0,8225.0,403.0
Ecuador,2020-04-17,388.0,8450.0,421.0
Ecuador,2020-04-18,988.0,9022.0,456.0
Ecuador,2020-04-19,920.0,9468.0,474.0
Ecuador,2020-04-20,1427.0,10128.0,507.0
Ecuador,2020-04-21,620.0,10398.0,520.0
Ecuador,2020-04-22,1127.0,10850.0,537.0
Ecuador,2020-04-23,1776.0,11183.0,560.0
Ecuador,2020-04-24,,22719.0,576.0
Ecuador,2020-04-25,,22719.0,576.0
Ecuador,2020-04-26,,22719.0,576.0
Ecuador,2020-04-27,,23240.0,663.0
Ecuador,2020-04-28,1326.0,24258.0,871.0
Ecuador,2020-04-29,1224.0,24675.0,883.0
Ecuador,2020-04-30,663.0,24934.0,900.0
Ecuador,2020-05-01,2714.0,26336.0,1063.0
Ecuador,2020-05-02,1863.0,27464.0,1371.0
Ecuador,2020-05-03,4803.0,29538.0,1564.0
Ecuador,2020-05-04,2533.0,31881.0,1569.0
Ecuador,2020-05-05,,31881.0,1569.0
Ecuador,2020-05-06,,31881.0,1618.0
Ecuador,2020-05-07,1503.0,30298.0,1654.0
Ecuador,2020-05-08,-3743.0,28818.0,1704.0
Ecuador,2020-05-09,871.0,29071.0,1717.0
Ecuador,2020-05-10,1814.0,29559.0,2127.0
Ecuador,2020-05-11,-1377.0,29509.0,2145.0
Ecuador,2020-05-12,2250.0,30419.0,2327.0
Ecuador,2020-05-13,97.0,30486.0,2334.0
Ecuador,2020-05-14,64.0,30502.0,2338.0
Ecuador,2020-05-15,3532.0,31467.0,2594.0
Ecuador,2020-05-16,2139.0,32763.0,2688.0
Ecuador,2020-05-17,1375.0,33182.0,2736.0
Ecuador,2020-05-18,1317.0,33582.0,2799.0
Ecuador,2020-05-19,1101.0,34151.0,2839.0
Ecuador,2020-05-20,1571.0,34854.0,2888.0
Ecuador,2020-05-21,1742.0,35306.0,2939.0
Ecuador,2020-05-22,2409.0,35828.0,3056.0
Ecuador,2020-05-23,1161.0,36258.0,3096.0
Ecuador,2020-05-24,1231.0,36756.0,3108.0
Ecuador,2020-05-25,2268.0,37355.0,3203.0
Ecuador,2020-05-26,582.0,37355.0,3203.0
Ecuador,2020-05-27,1583.0,38103.0,3275.0
Ecuador,2020-05-28,779.0,38471.0,3313.0
Ecuador,2020-05-29,579.0,38571.0,3334.0
Ecuador,2020-05-30,513.0,38571.0,3334.0
Ecuador,2020-05-31,757.0,39098.0,3358.0
Ecuador,2020-06-01,2434.0,39098.0,3358.0
Ecuador,2020-06-02,1347.0,40414.0,3438.0
Ecuador,2020-06-03,1959.0,40966.0,3486.0
Ecuador,2020-06-04,1415.0,40966.0,3486.0
Ecuador,2020-06-05,2136.0,41575.0,3534.0
Ecuador,2020-06-06,844.0,42728.0,3608.0
Ecuador,2020-06-07,1253.0,43120.0,3621.0
Ecuador,2020-06-08,420.0,43378.0,3642.0
Ecuador,2020-06-09,1483.0,43917.0,3690.0
Ecuador,2020-06-10,1121.0,44440.0,3720.0
Ecuador,2020-06-11,2192.0,44440.0,3720.0
Ecuador,2020-06-12,1969.0,45778.0,3828.0
Ecuador,2020-06-13,1385.0,46356.0,3874.0
Ecuador,2020-06-14,896.0,46751.0,3896.0
Ecuador,2020-06-15,1259.0,47322.0,3929.0
Ecuador,2020-06-16,1863.0,47943.0,3970.0
Ecuador,2020-06-17,1262.0,48490.0,4007.0
Ecuador,2020-06-18,1470.0,49097.0,4087.0
Ecuador,2020-06-19,1879.0,49731.0,4156.0
