Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-19,5520.0,1.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-20,5520.0,1.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-21,5520.0,3.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-22,5520.0,3.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-23,5520.0,3.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-24,5520.0,5.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-25,5520.0,9.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-26,5520.0,13.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-27,5520.0,13.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-28,5520.0,19.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-29,5520.0,24.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-30,5520.0,30.0,527.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-31,5520.0,32.0,1.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-04-01,5520.0,32.0,1.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-04-02,5520.0,41.0,2.0
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-04-03,5520.0,46.0,2.0
