Entity,Date,Daily tests,Cases,Deaths
Estonia,2020-03-25,1063.0,404.0,1.0
Estonia,2020-03-26,1162.0,538.0,1.0
Estonia,2020-03-27,1283.0,575.0,1.0
Estonia,2020-03-28,1063.0,645.0,1.0
Estonia,2020-03-29,870.0,679.0,3.0
Estonia,2020-03-30,1189.0,715.0,3.0
Estonia,2020-03-31,2025.0,745.0,4.0
Estonia,2020-04-01,1410.0,779.0,5.0
Estonia,2020-04-02,2590.0,858.0,11.0
Estonia,2020-04-03,1623.0,961.0,12.0
Estonia,2020-04-04,1417.0,1039.0,13.0
Estonia,2020-04-05,916.0,1097.0,15.0
Estonia,2020-04-06,1778.0,1108.0,19.0
Estonia,2020-04-07,1355.0,1149.0,21.0
Estonia,2020-04-08,1861.0,1185.0,24.0
Estonia,2020-04-09,1594.0,1207.0,24.0
Estonia,2020-04-10,1668.0,1258.0,24.0
Estonia,2020-04-11,941.0,1304.0,24.0
Estonia,2020-04-12,450.0,1309.0,25.0
Estonia,2020-04-13,1699.0,1332.0,28.0
Estonia,2020-04-14,1854.0,1373.0,31.0
Estonia,2020-04-15,2269.0,1400.0,35.0
Estonia,2020-04-16,1696.0,1434.0,36.0
Estonia,2020-04-17,2183.0,1459.0,38.0
Estonia,2020-04-18,783.0,1512.0,38.0
Estonia,2020-04-19,674.0,1528.0,40.0
Estonia,2020-04-20,1487.0,1535.0,40.0
Estonia,2020-04-21,1668.0,1552.0,43.0
Estonia,2020-04-22,1733.0,1559.0,44.0
Estonia,2020-04-23,1242.0,1592.0,45.0
Estonia,2020-04-24,1239.0,1605.0,46.0
Estonia,2020-04-25,677.0,1635.0,46.0
Estonia,2020-04-26,560.0,1643.0,49.0
Estonia,2020-04-27,1286.0,1647.0,50.0
Estonia,2020-04-28,1937.0,1660.0,50.0
Estonia,2020-04-29,1828.0,1666.0,50.0
Estonia,2020-04-30,1338.0,1689.0,52.0
Estonia,2020-05-01,768.0,1694.0,52.0
Estonia,2020-05-02,844.0,1699.0,53.0
Estonia,2020-05-03,671.0,1700.0,55.0
Estonia,2020-05-04,1881.0,1703.0,55.0
Estonia,2020-05-05,1756.0,1711.0,55.0
Estonia,2020-05-06,1832.0,1713.0,55.0
Estonia,2020-05-07,1486.0,1720.0,56.0
Estonia,2020-05-08,1207.0,1725.0,56.0
Estonia,2020-05-09,760.0,1733.0,60.0
Estonia,2020-05-10,719.0,1739.0,60.0
Estonia,2020-05-11,1232.0,1741.0,61.0
Estonia,2020-05-12,1355.0,1746.0,61.0
Estonia,2020-05-13,1354.0,1751.0,61.0
Estonia,2020-05-14,1157.0,1758.0,62.0
Estonia,2020-05-15,926.0,1766.0,63.0
Estonia,2020-05-16,814.0,1770.0,63.0
Estonia,2020-05-17,829.0,1774.0,63.0
Estonia,2020-05-18,1546.0,1784.0,64.0
Estonia,2020-05-19,1241.0,1791.0,64.0
Estonia,2020-05-20,1561.0,1794.0,64.0
Estonia,2020-05-21,1055.0,1800.0,64.0
Estonia,2020-05-22,845.0,1807.0,64.0
Estonia,2020-05-23,632.0,1821.0,64.0
Estonia,2020-05-24,983.0,1823.0,64.0
Estonia,2020-05-25,1806.0,1824.0,65.0
Estonia,2020-05-26,1841.0,1834.0,65.0
Estonia,2020-05-27,1377.0,1840.0,66.0
Estonia,2020-05-28,1223.0,1851.0,66.0
Estonia,2020-05-29,1220.0,1859.0,67.0
Estonia,2020-05-30,831.0,1865.0,67.0
Estonia,2020-05-31,867.0,1869.0,68.0
Estonia,2020-06-01,1294.0,1870.0,68.0
Estonia,2020-06-02,1520.0,1870.0,68.0
Estonia,2020-06-03,1269.0,1880.0,69.0
Estonia,2020-06-04,1340.0,1890.0,69.0
Estonia,2020-06-05,1032.0,1910.0,69.0
Estonia,2020-06-06,824.0,1931.0,69.0
Estonia,2020-06-07,696.0,1939.0,69.0
Estonia,2020-06-08,1451.0,1940.0,69.0
Estonia,2020-06-09,1443.0,1947.0,69.0
Estonia,2020-06-10,1187.0,1958.0,69.0
Estonia,2020-06-11,1161.0,1965.0,69.0
Estonia,2020-06-12,1027.0,1970.0,69.0
Estonia,2020-06-13,740.0,1973.0,69.0
Estonia,2020-06-14,810.0,1973.0,69.0
Estonia,2020-06-15,1392.0,1974.0,69.0
Estonia,2020-06-16,1774.0,1975.0,69.0
Estonia,2020-06-17,1497.0,1977.0,69.0
Estonia,2020-06-18,1578.0,1977.0,69.0
Estonia,2020-06-19,848.0,1979.0,69.0
Estonia,2020-06-20,530.0,1981.0,69.0
Estonia,2020-06-21,358.0,1981.0,69.0
Estonia,2020-06-22,623.0,1981.0,69.0
Estonia,2020-06-23,345.0,1982.0,69.0
Estonia,2020-06-24,458.0,1983.0,69.0
Estonia,2020-06-25,727.0,1984.0,69.0
Estonia,2020-06-26,569.0,1986.0,69.0
Estonia,2020-06-27,457.0,1986.0,69.0
Estonia,2020-06-28,453.0,1987.0,69.0
Estonia,2020-06-29,1015.0,1987.0,69.0
Estonia,2020-06-30,827.0,1989.0,69.0
Estonia,2020-07-01,909.0,1989.0,69.0
Estonia,2020-07-02,522.0,1990.0,69.0
Estonia,2020-07-03,334.0,1991.0,69.0
Estonia,2020-07-04,390.0,1993.0,69.0
Estonia,2020-07-05,387.0,1993.0,69.0
Estonia,2020-07-06,800.0,1994.0,69.0
Estonia,2020-07-07,731.0,1995.0,69.0
Estonia,2020-07-08,602.0,2003.0,69.0
Estonia,2020-07-09,567.0,2011.0,69.0
Estonia,2020-07-10,418.0,2013.0,69.0
Estonia,2020-07-11,220.0,2014.0,69.0
Estonia,2020-07-12,282.0,2014.0,69.0
Estonia,2020-07-13,537.0,2014.0,69.0
Estonia,2020-07-14,649.0,2015.0,69.0
Estonia,2020-07-15,533.0,2016.0,69.0
Estonia,2020-07-16,546.0,2016.0,69.0
Estonia,2020-07-17,348.0,2020.0,69.0
Estonia,2020-07-18,192.0,2021.0,69.0
Estonia,2020-07-19,131.0,2021.0,69.0
Estonia,2020-07-20,510.0,2021.0,69.0
Estonia,2020-07-21,664.0,2022.0,69.0
Estonia,2020-07-22,522.0,2025.0,69.0
Estonia,2020-07-23,453.0,2027.0,69.0
Estonia,2020-07-24,410.0,2028.0,69.0
Estonia,2020-07-25,273.0,2033.0,69.0
Estonia,2020-07-26,171.0,2034.0,69.0
Estonia,2020-07-27,368.0,2034.0,69.0
Estonia,2020-07-28,657.0,2038.0,69.0
Estonia,2020-07-29,818.0,2042.0,69.0
Estonia,2020-07-30,771.0,2051.0,69.0
Estonia,2020-07-31,642.0,2064.0,69.0
Estonia,2020-08-01,421.0,2072.0,69.0
Estonia,2020-08-02,323.0,2079.0,63.0
Estonia,2020-08-03,808.0,2080.0,63.0
Estonia,2020-08-04,1146.0,2091.0,63.0
Estonia,2020-08-05,1123.0,2113.0,63.0
Estonia,2020-08-06,1177.0,2124.0,63.0
Estonia,2020-08-07,1670.0,2133.0,63.0
Estonia,2020-08-08,454.0,2147.0,63.0
Estonia,2020-08-09,1316.0,2152.0,63.0
Estonia,2020-08-10,1788.0,2158.0,63.0
Estonia,2020-08-11,1692.0,2167.0,63.0
Estonia,2020-08-12,1402.0,2174.0,63.0
Estonia,2020-08-13,1687.0,2174.0,63.0
Estonia,2020-08-14,1469.0,2177.0,63.0
Estonia,2020-08-15,1235.0,2184.0,63.0
Estonia,2020-08-16,399.0,2190.0,63.0
Estonia,2020-08-17,1567.0,2192.0,63.0
Estonia,2020-08-18,1348.0,2200.0,63.0
Estonia,2020-08-19,1093.0,2207.0,63.0
Estonia,2020-08-20,1053.0,2227.0,63.0
Estonia,2020-08-21,1390.0,2244.0,63.0
Estonia,2020-08-22,561.0,2265.0,63.0
Estonia,2020-08-23,423.0,2272.0,63.0
Estonia,2020-08-24,1543.0,2275.0,64.0
Estonia,2020-08-25,1701.0,2294.0,64.0
Estonia,2020-08-26,1639.0,2311.0,64.0
Estonia,2020-08-27,1583.0,2325.0,64.0
Estonia,2020-08-28,1434.0,2343.0,64.0
Estonia,2020-08-29,812.0,2363.0,64.0
Estonia,2020-08-30,287.0,2373.0,64.0
Estonia,2020-08-31,2767.0,2375.0,64.0
Estonia,2020-09-01,1950.0,2395.0,64.0
Estonia,2020-09-02,2677.0,2415.0,64.0
Estonia,2020-09-03,2588.0,2441.0,64.0
Estonia,2020-09-04,2819.0,2456.0,64.0
Estonia,2020-09-05,1343.0,2491.0,64.0
Estonia,2020-09-06,912.0,2516.0,64.0
Estonia,2020-09-07,2243.0,2532.0,64.0
Estonia,2020-09-08,2462.0,2564.0,64.0
Estonia,2020-09-09,2375.0,2585.0,64.0
Estonia,2020-09-10,2442.0,2600.0,64.0
Estonia,2020-09-11,3002.0,2632.0,64.0
Estonia,2020-09-12,2127.0,2655.0,64.0
Estonia,2020-09-13,1829.0,2676.0,64.0
Estonia,2020-09-14,3084.0,2698.0,64.0
Estonia,2020-09-15,3123.0,2722.0,64.0
Estonia,2020-09-16,3606.0,2756.0,64.0
Estonia,2020-09-17,2711.0,2778.0,64.0
Estonia,2020-09-18,4011.0,2814.0,64.0
Estonia,2020-09-19,2342.0,2875.0,64.0
Estonia,2020-09-20,1985.0,2924.0,64.0
Estonia,2020-09-21,3786.0,2941.0,64.0
Estonia,2020-09-22,3104.0,2976.0,64.0
Estonia,2020-09-23,4059.0,3033.0,64.0
Estonia,2020-09-24,3368.0,3076.0,64.0
Estonia,2020-09-25,3488.0,3118.0,64.0
Estonia,2020-09-26,3137.0,3165.0,64.0
Estonia,2020-09-27,3872.0,3200.0,64.0
