Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-13,,1.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-14,,1.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-15,,1.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-16,,5.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-17,,5.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-18,,6.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-19,,6.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-20,,9.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-21,,9.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-22,,11.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-23,,11.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-24,,12.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-25,,12.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-26,,12.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-27,,16.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-28,,16.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-29,,21.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-30,61.0,23.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-31,142.0,26.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-01,68.0,29.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-02,65.0,29.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-03,74.0,35.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-04,91.0,38.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-05,532.0,43.0,2.0
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-06,164.0,44.0,2.0
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-07,264.0,52.0,2.0
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-04-08,225.0,55.0,2.0
