Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-02-08,1.0,21431.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-05,5.0,21431.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-13,10.0,21431.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-14,9.0,21431.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-17,5.0,21431.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-18,12.0,21431.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-19,8.0,1.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-20,23.0,1.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-21,28.0,1.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-22,5520.0,2.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-23,5520.0,3.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-24,33.0,4.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-25,28.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-26,39.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-27,61.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-28,23.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-29,16.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-30,10.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-03-31,11.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-01,17.0,5.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-02,24.0,7.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-03,5520.0,7.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-04,5520.0,12.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-05,44.0,12.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-06,23.0,14.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-07,25.0,15.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-08,29.0,15.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-09,25.0,15.0,527.0
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-04-10,21.0,16.0,527.0
