Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-01-29,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-01-30,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-01-31,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-01,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-02,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-03,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-04,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-05,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-06,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-07,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-08,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-09,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-10,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-11,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-12,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-13,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-14,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-15,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-16,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-17,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-18,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-19,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-20,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-21,5520.0,1.0,527.0
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-02-22,5520.0,1.0,527.0
