Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-24,,2.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-25,,3.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-26,,3.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-27,,3.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-28,,4.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-29,,5.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-30,,5.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-31,,5.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-01,,6.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-02,,6.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-03,,6.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-04,,6.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-05,,6.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-06,,6.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-07,,6.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-08,,11.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-09,,11.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-10,,11.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-11,,11.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-12,,11.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-13,,11.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-14,,11.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-15,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-16,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-17,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-18,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-19,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-20,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-21,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-22,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-23,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-24,,12.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-25,,14.0,1.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-26,,18.0,2.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-27,,38.0,2.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-28,,57.0,2.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-02-29,,100.0,2.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-01,,130.0,2.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-02,,191.0,3.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-03,,212.0,4.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-04,,288.0,4.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-05,,426.0,7.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-06,,616.0,9.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-07,,948.0,16.0
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-03-08,,1125.0,19.0
