Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-14,5520.0,3.0,527.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-15,5520.0,6.0,527.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-16,5520.0,6.0,527.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-17,5520.0,7.0,527.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-18,5520.0,7.0,527.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-19,5520.0,11.0,527.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-20,5520.0,16.0,527.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-21,5520.0,19.0,1.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-22,5520.0,23.0,1.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-23,206.0,27.0,2.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-24,5520.0,53.0,2.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-25,5520.0,93.0,4.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-26,5520.0,132.0,4.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-27,5520.0,137.0,4.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-28,5520.0,141.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-29,5520.0,152.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-30,5520.0,152.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-31,5520.0,161.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-01,5520.0,195.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-02,5520.0,204.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-03,5520.0,205.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-04,5520.0,205.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-05,5520.0,214.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-06,5520.0,214.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-07,5520.0,287.0,5.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-08,5520.0,313.0,6.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-09,5520.0,378.0,6.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-10,12735.0,378.0,6.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-11,10608.0,408.0,8.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-12,5520.0,566.0,8.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-13,5520.0,566.0,8.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-14,5520.0,636.0,8.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-15,6281.0,636.0,8.0
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-04-16,5520.0,641.0,8.0
