Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,daily cases,daily deaths,posratio
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-13,520.0,190.0,1.0,91.0,0.0,0.175
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-14,700.0,228.0,3.0,38.0,2.0,0.054285714285714284
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-15,600.0,331.0,4.0,103.0,1.0,0.17166666666666666
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-16,320.0,331.0,4.0,0.0,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-21,658.0,530.0,13.0,35.0,7.0,0.05319148936170213
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-22,176.0,624.0,15.0,94.0,2.0,0.5340909090909091
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-23,638.0,695.0,17.0,71.0,2.0,0.11128526645768025
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-24,427.0,743.0,20.0,48.0,3.0,0.11241217798594848
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-25,1424.0,821.0,22.0,78.0,2.0,0.054775280898876406
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-28,886.0,1061.0,32.0,95.0,4.0,0.1072234762979684
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-29,788.0,1156.0,38.0,95.0,6.0,0.12055837563451777
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-30,810.0,1212.0,43.0,56.0,5.0,0.0691358024691358
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-31,771.0,1314.0,49.0,102.0,6.0,0.13229571984435798
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-01,618.0,1415.0,50.0,101.0,1.0,0.1634304207119741
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-02,1494.0,1544.0,53.0,129.0,3.0,0.08634538152610442
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-03,3593.0,1613.0,63.0,69.0,10.0,0.0192040077929307
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-04,896.0,1673.0,68.0,60.0,5.0,0.06696428571428571
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-05,2120.0,1735.0,73.0,62.0,5.0,0.029245283018867925
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-06,740.0,1755.0,79.0,20.0,6.0,0.02702702702702703
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-07,2391.0,1832.0,81.0,77.0,2.0,0.03220409870347135
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-08,3944.0,1884.0,83.0,52.0,2.0,0.013184584178498986
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-09,1106.0,1955.0,87.0,71.0,4.0,0.06419529837251356
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-10,1798.0,2011.0,92.0,56.0,5.0,0.03114571746384872
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-11,1912.0,2081.0,93.0,70.0,1.0,0.036610878661087864
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-12,4917.0,2114.0,98.0,33.0,5.0,0.006711409395973154
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-13,1170.0,2145.0,99.0,31.0,1.0,0.026495726495726495
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-16,2001.0,2207.0,105.0,15.0,3.0,0.0074962518740629685
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-17,2255.0,2224.0,108.0,17.0,3.0,0.00753880266075388
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-18,1645.0,2235.0,110.0,11.0,2.0,0.006686930091185411
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-21,1322.0,2401.0,121.0,156.0,5.0,0.11800302571860817
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-22,1326.0,2408.0,121.0,7.0,0.0,0.005279034690799397
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-23,2249.0,2463.0,125.0,55.0,4.0,0.024455313472654512
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-24,2166.0,2490.0,130.0,27.0,5.0,0.012465373961218837
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-25,1680.0,2506.0,130.0,16.0,0.0,0.009523809523809525
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-26,1521.0,2517.0,134.0,11.0,4.0,0.007232084155161078
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-27,1486.0,2534.0,136.0,17.0,2.0,0.011440107671601614
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-28,3739.0,2566.0,138.0,32.0,2.0,0.008558438085049478
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-29,2297.0,2576.0,139.0,10.0,1.0,0.0043535045711798
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-30,3040.0,2591.0,140.0,15.0,1.0,0.004934210526315789
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-01,2081.0,2612.0,140.0,21.0,0.0,0.010091302258529554
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-02,956.0,2620.0,143.0,8.0,3.0,0.008368200836820083
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-03,1125.0,2626.0,144.0,6.0,1.0,0.005333333333333333
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-04,1619.0,2632.0,146.0,6.0,2.0,0.0037059913526868438
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-05,2799.0,2642.0,146.0,10.0,0.0,0.0035727045373347625
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-06,3302.0,2663.0,147.0,21.0,1.0,0.006359781950333132
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-07,2991.0,2678.0,148.0,15.0,1.0,0.0050150451354062184
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-08,4248.0,2691.0,150.0,13.0,2.0,0.0030602636534839923
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-09,3093.0,2710.0,151.0,19.0,1.0,0.006142903330100227
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-10,1493.0,2716.0,151.0,6.0,0.0,0.004018754186202277
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-11,486.0,2726.0,151.0,10.0,0.0,0.0205761316872428
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-12,6691.0,2744.0,152.0,18.0,1.0,0.00269018083993424
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-13,5988.0,2760.0,155.0,16.0,3.0,0.0026720106880427524
