Entity,Date,Daily tests,Cases,Deaths
Guatemala,2020-02-17,1.0,,
Guatemala,2020-02-26,1.0,,
Guatemala,2020-02-28,2.0,,
Guatemala,2020-03-02,1.0,,
Guatemala,2020-03-03,2.0,,
Guatemala,2020-03-06,1.0,,
Guatemala,2020-03-08,2.0,,
Guatemala,2020-03-09,4.0,,
Guatemala,2020-03-10,3.0,,
Guatemala,2020-03-11,10.0,,
Guatemala,2020-03-12,12.0,,
Guatemala,2020-03-13,19.0,,
Guatemala,2020-03-14,6.0,1.0,
Guatemala,2020-03-15,22.0,1.0,
Guatemala,2020-03-16,34.0,2.0,1.0
Guatemala,2020-03-17,45.0,6.0,1.0
Guatemala,2020-03-18,51.0,6.0,1.0
Guatemala,2020-03-19,35.0,9.0,1.0
Guatemala,2020-03-20,57.0,12.0,1.0
Guatemala,2020-03-21,23.0,17.0,1.0
Guatemala,2020-03-22,37.0,19.0,1.0
Guatemala,2020-03-23,8.0,20.0,1.0
Guatemala,2020-03-24,140.0,21.0,1.0
Guatemala,2020-03-25,94.0,24.0,1.0
Guatemala,2020-03-26,4.0,25.0,1.0
Guatemala,2020-03-27,120.0,28.0,1.0
Guatemala,2020-03-28,63.0,34.0,1.0
Guatemala,2020-03-29,18.0,34.0,1.0
Guatemala,2020-03-30,45.0,36.0,1.0
Guatemala,2020-03-31,34.0,38.0,1.0
Guatemala,2020-04-01,40.0,39.0,1.0
Guatemala,2020-04-02,46.0,47.0,1.0
Guatemala,2020-04-03,73.0,50.0,1.0
Guatemala,2020-04-04,21.0,61.0,2.0
Guatemala,2020-04-05,55.0,61.0,2.0
Guatemala,2020-04-06,66.0,70.0,3.0
Guatemala,2020-04-07,64.0,77.0,3.0
Guatemala,2020-04-08,178.0,87.0,3.0
Guatemala,2020-04-09,48.0,95.0,3.0
Guatemala,2020-04-10,39.0,126.0,3.0
Guatemala,2020-04-11,271.0,137.0,3.0
Guatemala,2020-04-12,87.0,155.0,5.0
Guatemala,2020-04-13,80.0,156.0,5.0
Guatemala,2020-04-14,51.0,167.0,5.0
Guatemala,2020-04-15,275.0,180.0,5.0
Guatemala,2020-04-16,270.0,196.0,5.0
Guatemala,2020-04-17,79.0,214.0,7.0
Guatemala,2020-04-18,131.0,235.0,7.0
Guatemala,2020-04-19,249.0,257.0,7.0
Guatemala,2020-04-20,102.0,289.0,7.0
Guatemala,2020-04-21,424.0,294.0,7.0
Guatemala,2020-04-22,137.0,316.0,8.0
Guatemala,2020-04-23,345.0,384.0,11.0
Guatemala,2020-04-24,80.0,430.0,11.0
Guatemala,2020-04-25,420.0,473.0,13.0
Guatemala,2020-04-26,148.0,500.0,15.0
Guatemala,2020-04-27,216.0,530.0,15.0
Guatemala,2020-04-28,266.0,530.0,15.0
Guatemala,2020-04-29,256.0,557.0,16.0
Guatemala,2020-04-30,200.0,599.0,16.0
Guatemala,2020-05-01,394.0,644.0,16.0
Guatemala,2020-05-02,91.0,688.0,17.0
Guatemala,2020-05-03,96.0,703.0,17.0
Guatemala,2020-05-04,220.0,730.0,19.0
Guatemala,2020-05-05,270.0,763.0,19.0
Guatemala,2020-05-06,300.0,798.0,21.0
Guatemala,2020-05-07,470.0,832.0,23.0
Guatemala,2020-05-08,411.0,900.0,24.0
Guatemala,2020-05-09,668.0,967.0,24.0
Guatemala,2020-05-10,250.0,1052.0,26.0
Guatemala,2020-05-11,212.0,1114.0,26.0
Guatemala,2020-05-12,390.0,1199.0,27.0
Guatemala,2020-05-13,615.0,1342.0,29.0
Guatemala,2020-05-14,601.0,1518.0,29.0
Guatemala,2020-05-15,757.0,1643.0,30.0
Guatemala,2020-05-16,564.0,1763.0,33.0
Guatemala,2020-05-17,331.0,1763.0,33.0
Guatemala,2020-05-18,833.0,1912.0,35.0
Guatemala,2020-05-19,667.0,2133.0,43.0
Guatemala,2020-05-20,647.0,2265.0,45.0
Guatemala,2020-05-21,1116.0,2512.0,48.0
Guatemala,2020-05-22,1005.0,2743.0,51.0
Guatemala,2020-05-23,953.0,3054.0,55.0
Guatemala,2020-05-24,606.0,3424.0,58.0
Guatemala,2020-05-25,688.0,3760.0,59.0
Guatemala,2020-05-26,1010.0,3954.0,63.0
Guatemala,2020-05-27,1047.0,4145.0,68.0
Guatemala,2020-05-28,773.0,4348.0,80.0
Guatemala,2020-05-29,689.0,4607.0,90.0
Guatemala,2020-05-30,578.0,4739.0,102.0
Guatemala,2020-05-31,476.0,5087.0,108.0
Guatemala,2020-06-01,730.0,5336.0,116.0
Guatemala,2020-06-02,554.0,5586.0,123.0
Guatemala,2020-06-03,661.0,5760.0,143.0
Guatemala,2020-06-04,859.0,6154.0,158.0
Guatemala,2020-06-05,955.0,6485.0,216.0
Guatemala,2020-06-06,604.0,6792.0,230.0
Guatemala,2020-06-07,735.0,7055.0,252.0
Guatemala,2020-06-08,1142.0,7502.0,267.0
Guatemala,2020-06-09,758.0,7866.0,289.0
Guatemala,2020-06-10,859.0,8221.0,316.0
Guatemala,2020-06-11,486.0,8561.0,334.0
Guatemala,2020-06-12,902.0,8982.0,351.0
Guatemala,2020-06-13,415.0,9491.0,367.0
Guatemala,2020-06-14,711.0,9845.0,384.0
Guatemala,2020-06-15,1594.0,10272.0,399.0
Guatemala,2020-06-16,1426.0,10706.0,418.0
Guatemala,2020-06-17,1542.0,11251.0,432.0
Guatemala,2020-06-18,1874.0,11868.0,449.0
Guatemala,2020-06-19,1366.0,12509.0,483.0
Guatemala,2020-06-20,629.0,12755.0,514.0
Guatemala,2020-06-21,849.0,13145.0,531.0
Guatemala,2020-06-22,1666.0,13769.0,547.0
Guatemala,2020-06-23,1784.0,14540.0,582.0
Guatemala,2020-06-24,1067.0,14819.0,601.0
Guatemala,2020-06-25,2279.0,15619.0,623.0
Guatemala,2020-06-26,1948.0,15828.0,672.0
Guatemala,2020-06-27,1404.0,16397.0,706.0
Guatemala,2020-06-28,794.0,16930.0,727.0
Guatemala,2020-06-29,1656.0,17409.0,746.0
Guatemala,2020-06-30,2778.0,18096.0,773.0
Guatemala,2020-07-01,2782.0,19011.0,817.0
Guatemala,2020-07-02,3285.0,20072.0,843.0
Guatemala,2020-07-03,3629.0,21293.0,880.0
Guatemala,2020-07-04,2912.0,22501.0,920.0
Guatemala,2020-07-05,2248.0,23248.0,947.0
Guatemala,2020-07-06,2923.0,23972.0,981.0
Guatemala,2020-07-07,1738.0,24787.0,1004.0
Guatemala,2020-07-08,3302.0,25411.0,1053.0
Guatemala,2020-07-09,2939.0,26658.0,1092.0
Guatemala,2020-07-10,2881.0,27619.0,1139.0
Guatemala,2020-07-11,1800.0,28598.0,1172.0
Guatemala,2020-07-12,1141.0,29355.0,1219.0
Guatemala,2020-07-13,3185.0,29742.0,1244.0
Guatemala,2020-07-14,3196.0,30872.0,1302.0
Guatemala,2020-07-15,3220.0,32074.0,1350.0
Guatemala,2020-07-16,3365.0,32939.0,1404.0
Guatemala,2020-07-17,3425.0,33809.0,1443.0
Guatemala,2020-07-18,1964.0,38042.0,1449.0
Guatemala,2020-07-19,1091.0,38677.0,1485.0
Guatemala,2020-07-20,3871.0,39039.0,1502.0
Guatemala,2020-07-21,4054.0,40229.0,1531.0
Guatemala,2020-07-22,3426.0,41135.0,1573.0
Guatemala,2020-07-23,3111.0,42192.0,1632.0
Guatemala,2020-07-24,3784.0,43283.0,1669.0
Guatemala,2020-07-25,1862.0,44492.0,1699.0
Guatemala,2020-07-26,533.0,45053.0,1734.0
Guatemala,2020-07-27,3810.0,45309.0,1761.0
Guatemala,2020-07-28,3685.0,46451.0,1782.0
Guatemala,2020-07-29,4190.0,47605.0,1835.0
Guatemala,2020-07-30,3983.0,48826.0,1867.0
Guatemala,2020-07-31,3858.0,49789.0,1924.0
Guatemala,2020-08-01,1428.0,50979.0,1959.0
Guatemala,2020-08-02,558.0,51306.0,1995.0
Guatemala,2020-08-03,3043.0,51542.0,2013.0
Guatemala,2020-08-04,3796.0,52365.0,2037.0
Guatemala,2020-08-05,3258.0,53509.0,2072.0
Guatemala,2020-08-06,3272.0,54339.0,2119.0
Guatemala,2020-08-07,3267.0,55270.0,2168.0
Guatemala,2020-08-08,1703.0,56189.0,2197.0
Guatemala,2020-08-09,805.0,56605.0,2211.0
