Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-04,5520.0,2.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-05,5520.0,2.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-06,39.0,2.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-07,50.0,4.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-08,43.0,7.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-09,5520.0,9.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-10,169.0,9.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-11,78.0,13.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-12,121.0,13.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-13,128.0,19.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-14,156.0,30.0,527.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-15,222.0,32.0,1.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-16,234.0,39.0,1.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-17,117.0,50.0,1.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-18,216.0,58.0,1.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-19,519.0,73.0,1.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-20,685.0,85.0,3.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-21,470.0,103.0,4.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-22,966.0,131.0,6.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-23,1072.0,167.0,7.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-24,598.0,187.0,9.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-25,704.0,226.0,10.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-26,1188.0,261.0,10.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-27,1270.0,300.0,10.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-28,1028.0,343.0,11.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-29,1845.0,408.0,13.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-30,1153.0,447.0,15.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-31,845.0,492.0,16.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-04-01,1062.0,525.0,20.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-04-02,1193.0,585.0,21.0
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-04-03,1368.0,623.0,26.0
