Entity,Date,Daily tests,Cases,Deaths
Iceland,2020-02-27,23.0,,
Iceland,2020-02-28,13.0,1.0,
Iceland,2020-02-29,32.0,1.0,
Iceland,2020-03-01,22.0,3.0,
Iceland,2020-03-02,48.0,6.0,
Iceland,2020-03-03,45.0,11.0,
Iceland,2020-03-04,81.0,26.0,
Iceland,2020-03-05,62.0,34.0,
Iceland,2020-03-06,57.0,43.0,
Iceland,2020-03-07,58.0,50.0,
Iceland,2020-03-08,37.0,50.0,
Iceland,2020-03-09,98.0,58.0,
Iceland,2020-03-10,169.0,69.0,
Iceland,2020-03-11,149.0,85.0,
Iceland,2020-03-12,253.0,103.0,
Iceland,2020-03-13,357.0,134.0,
Iceland,2020-03-14,323.0,156.0,
Iceland,2020-03-15,1075.0,171.0,
Iceland,2020-03-16,1707.0,180.0,
Iceland,2020-03-17,1400.0,220.0,
Iceland,2020-03-18,1828.0,250.0,
Iceland,2020-03-19,1311.0,330.0,
Iceland,2020-03-20,579.0,409.0,
Iceland,2020-03-21,350.0,473.0,1.0
Iceland,2020-03-22,183.0,568.0,1.0
Iceland,2020-03-23,459.0,588.0,1.0
Iceland,2020-03-24,967.0,648.0,2.0
Iceland,2020-03-25,888.0,737.0,2.0
Iceland,2020-03-26,998.0,802.0,2.0
Iceland,2020-03-27,1022.0,890.0,2.0
Iceland,2020-03-28,849.0,963.0,2.0
Iceland,2020-03-29,1000.0,1020.0,2.0
Iceland,2020-03-30,1420.0,1086.0,2.0
Iceland,2020-03-31,1612.0,1135.0,2.0
Iceland,2020-04-01,1414.0,1220.0,2.0
Iceland,2020-04-02,1265.0,1319.0,4.0
Iceland,2020-04-03,1445.0,1364.0,4.0
Iceland,2020-04-04,1754.0,1417.0,4.0
Iceland,2020-04-05,2486.0,1486.0,4.0
Iceland,2020-04-06,1112.0,1562.0,6.0
Iceland,2020-04-07,1955.0,1586.0,6.0
Iceland,2020-04-08,1676.0,1616.0,6.0
Iceland,2020-04-09,1502.0,1648.0,6.0
Iceland,2020-04-10,510.0,1675.0,7.0
Iceland,2020-04-11,618.0,1689.0,8.0
Iceland,2020-04-12,235.0,1701.0,8.0
Iceland,2020-04-13,851.0,1711.0,8.0
Iceland,2020-04-14,1047.0,1720.0,8.0
Iceland,2020-04-15,818.0,1727.0,8.0
Iceland,2020-04-16,1332.0,1739.0,8.0
Iceland,2020-04-17,1555.0,1754.0,9.0
Iceland,2020-04-18,1671.0,1760.0,9.0
Iceland,2020-04-19,381.0,1771.0,9.0
Iceland,2020-04-20,688.0,1773.0,10.0
Iceland,2020-04-21,637.0,1778.0,10.0
Iceland,2020-04-22,625.0,1785.0,10.0
Iceland,2020-04-23,193.0,1789.0,10.0
Iceland,2020-04-24,685.0,1789.0,10.0
Iceland,2020-04-25,381.0,1790.0,10.0
Iceland,2020-04-26,25.0,1792.0,10.0
Iceland,2020-04-27,688.0,1792.0,10.0
Iceland,2020-04-28,508.0,1795.0,10.0
Iceland,2020-04-29,840.0,1797.0,10.0
Iceland,2020-04-30,722.0,1797.0,10.0
Iceland,2020-05-01,867.0,1798.0,10.0
Iceland,2020-05-02,404.0,1798.0,10.0
Iceland,2020-05-03,71.0,1799.0,10.0
Iceland,2020-05-04,868.0,1799.0,10.0
Iceland,2020-05-05,318.0,1799.0,10.0
Iceland,2020-05-06,620.0,1799.0,10.0
Iceland,2020-05-07,462.0,1801.0,10.0
Iceland,2020-05-08,515.0,1801.0,10.0
Iceland,2020-05-09,935.0,1801.0,10.0
Iceland,2020-05-10,18.0,1801.0,10.0
Iceland,2020-05-11,578.0,1801.0,10.0
Iceland,2020-05-12,284.0,1801.0,10.0
Iceland,2020-05-13,551.0,1802.0,10.0
Iceland,2020-05-14,593.0,1802.0,10.0
Iceland,2020-05-15,523.0,1802.0,10.0
Iceland,2020-05-16,133.0,1802.0,10.0
Iceland,2020-05-17,7.0,1802.0,10.0
Iceland,2020-05-18,305.0,1802.0,10.0
Iceland,2020-05-19,441.0,1802.0,10.0
Iceland,2020-05-20,597.0,1803.0,10.0
Iceland,2020-05-21,70.0,1803.0,10.0
Iceland,2020-05-22,491.0,1803.0,10.0
Iceland,2020-05-23,58.0,1804.0,10.0
