Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-02,,2.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-03,,2.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-04,,2.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-05,,2.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-06,,4.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-07,,4.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-08,,6.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-09,,19.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-10,,27.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-11,,34.0,1.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-12,,34.0,1.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-13,,69.0,4.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-14,,96.0,5.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-15,,117.0,5.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-16,,134.0,5.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-17,25.0,172.0,5.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-18,,227.0,19.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-19,,311.0,25.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-20,247.0,369.0,32.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-21,,450.0,38.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-22,,514.0,48.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-23,74.0,579.0,49.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-24,380.0,686.0,55.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-25,,790.0,58.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-26,,893.0,78.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-27,,1046.0,87.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-28,1286.0,1155.0,102.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-29,491.0,1285.0,114.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-30,268.0,1414.0,122.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-31,129.0,1528.0,136.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-01,114.0,1677.0,157.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-02,416.0,1790.0,170.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-03,428.0,1986.0,181.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-04,365.0,2092.0,191.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-05,,2273.0,198.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-06,,2491.0,209.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-07,1973.0,2738.0,221.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-08,1138.0,2956.0,240.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-09,2277.0,3293.0,280.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-10,2604.0,3512.0,306.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-11,330.0,3842.0,327.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-12,7293.0,4241.0,373.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-13,316.0,4557.0,399.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-14,4237.0,4839.0,459.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-15,1373.0,5136.0,469.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-16,1974.0,5516.0,496.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-17,2159.0,5923.0,520.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-18,2288.0,6248.0,535.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-19,2797.0,6575.0,582.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-20,1530.0,6760.0,590.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-21,2424.0,7135.0,616.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-22,1188.0,7418.0,635.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-23,1286.0,7775.0,647.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-24,1916.0,8211.0,689.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-25,1978.0,8607.0,720.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-26,4433.0,8882.0,743.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-27,2435.0,9096.0,765.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-28,3135.0,9511.0,773.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-29,5240.0,9771.0,784.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-04-30,4567.0,10118.0,792.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-01,4187.0,10551.0,800.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-02,3330.0,10843.0,831.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-03,3144.0,11192.0,845.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-04,3049.0,11587.0,864.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-05,2863.0,12071.0,872.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-06,4052.0,12438.0,895.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-07,3741.0,12776.0,930.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-08,6644.0,13112.0,943.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-09,5338.0,13645.0,959.0
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-05-10,4753.0,14032.0,973.0
