Entity,Date,Daily tests,Cases,Deaths
Iran,2020-04-09,10418.0,66220.0,4110.0
Iran,2020-04-10,11175.0,68192.0,4232.0
Iran,2020-04-11,9135.0,70029.0,4357.0
Iran,2020-04-12,11685.0,71686.0,4474.0
Iran,2020-04-15,11845.0,76389.0,4777.0
Iran,2020-04-16,11136.0,77995.0,4869.0
Iran,2020-04-17,9539.0,79494.0,4958.0
Iran,2020-04-18,10258.0,80868.0,5031.0
Iran,2020-04-19,11525.0,82211.0,5118.0
Iran,2020-04-20,11350.0,83505.0,5209.0
Iran,2020-04-21,12711.0,84802.0,5297.0
Iran,2020-04-24,10420.0,88194.0,5574.0
Iran,2020-04-25,10148.0,89328.0,5650.0
Iran,2020-04-26,11238.0,90481.0,5710.0
Iran,2020-04-27,11016.0,91472.0,5806.0
Iran,2020-04-30,9909.0,94640.0,6028.0
Iran,2020-05-01,11728.0,95646.0,6091.0
Iran,2020-05-02,9518.0,96448.0,6156.0
Iran,2020-05-03,11732.0,97424.0,6203.0
Iran,2020-05-04,12015.0,98647.0,6277.0
Iran,2020-05-05,11255.0,99970.0,6340.0
Iran,2020-05-06,11732.0,101650.0,6418.0
Iran,2020-05-07,13517.0,103135.0,6486.0
Iran,2020-05-08,14107.0,104691.0,6541.0
Iran,2020-05-13,14057.0,112725.0,6783.0
Iran,2020-05-14,14238.0,114533.0,6854.0
Iran,2020-05-15,14832.0,116635.0,6902.0
Iran,2020-05-16,14075.0,118392.0,6937.0
Iran,2020-05-17,14256.0,120198.0,6988.0
Iran,2020-05-18,14705.0,122492.0,7057.0
Iran,2020-05-19,14536.0,124603.0,7119.0
Iran,2020-05-20,15037.0,126949.0,7183.0
Iran,2020-05-21,14832.0,129341.0,7249.0
Iran,2020-05-22,17868.0,131652.0,7300.0
Iran,2020-05-23,17373.0,133521.0,7359.0
Iran,2020-05-24,19233.0,135701.0,7417.0
Iran,2020-05-25,18398.0,137724.0,7451.0
Iran,2020-05-26,18173.0,139511.0,7508.0
Iran,2020-05-27,19456.0,141591.0,7564.0
Iran,2020-05-30,19427.0,148950.0,7734.0
Iran,2020-05-31,19896.0,151466.0,7797.0
Iran,2020-06-01,19971.0,154445.0,7878.0
Iran,2020-06-02,20071.0,157562.0,7942.0
Iran,2020-06-03,21073.0,160696.0,8012.0
Iran,2020-06-04,22353.0,164270.0,8071.0
Iran,2020-06-05,20927.0,167156.0,8134.0
Iran,2020-06-06,19837.0,169425.0,8209.0
Iran,2020-06-07,24731.0,171789.0,8281.0
Iran,2020-06-10,22431.0,177938.0,8506.0
Iran,2020-06-13,22453.0,184955.0,8730.0
Iran,2020-06-14,24674.0,187427.0,8837.0
Iran,2020-06-15,25120.0,189876.0,8950.0
Iran,2020-06-16,24415.0,192439.0,9065.0
Iran,2020-06-17,26311.0,195051.0,9185.0
Iran,2020-06-18,24679.0,197647.0,9272.0
Iran,2020-06-19,26119.0,200262.0,9392.0
Iran,2020-06-20,24957.0,202584.0,9507.0
Iran,2020-06-21,26732.0,204952.0,9623.0
Iran,2020-06-22,27013.0,207525.0,9742.0
Iran,2020-06-23,25911.0,209970.0,9863.0
Iran,2020-06-24,27194.0,212501.0,9996.0
Iran,2020-06-25,27912.0,215096.0,10130.0
Iran,2020-06-26,27435.0,217724.0,10239.0
Iran,2020-06-27,25670.0,220180.0,10364.0
Iran,2020-06-28,27327.0,222669.0,10508.0
Iran,2020-06-29,28209.0,225205.0,10670.0
Iran,2020-07-04,24562.0,237878.0,11408.0
Iran,2020-07-05,25207.0,240438.0,11571.0
Iran,2020-07-06,25276.0,243051.0,11731.0
Iran,2020-07-07,26790.0,245688.0,11931.0
Iran,2020-07-08,25598.0,248379.0,12084.0
Iran,2020-07-09,25412.0,250458.0,12305.0
Iran,2020-07-10,24698.0,252720.0,12447.0
Iran,2020-07-11,24613.0,255117.0,12635.0
Iran,2020-07-12,25093.0,257303.0,12829.0
Iran,2020-07-13,25760.0,259652.0,13032.0
Iran,2020-07-14,25112.0,262173.0,13211.0
Iran,2020-07-15,24970.0,264561.0,13410.0
Iran,2020-07-16,25742.0,267061.0,13608.0
Iran,2020-07-17,25194.0,269440.0,13791.0
Iran,2020-07-18,24533.0,271606.0,13979.0
Iran,2020-07-19,25481.0,273788.0,14188.0
Iran,2020-07-20,26218.0,276202.0,14405.0
Iran,2020-07-21,26741.0,278827.0,14634.0
Iran,2020-07-22,26319.0,281413.0,14853.0
Iran,2020-07-23,25846.0,284034.0,15074.0
Iran,2020-07-24,24261.0,286523.0,15289.0
Iran,2020-07-29,25740.0,298909.0,16343.0
Iran,2020-08-01,25644.0,306752.0,16982.0
Iran,2020-08-02,25865.0,309437.0,17190.0
Iran,2020-08-03,26240.0,312035.0,17405.0
Iran,2020-08-04,25716.0,314786.0,17617.0
Iran,2020-08-05,26709.0,317483.0,17802.0
Iran,2020-08-08,24390.0,324692.0,18264.0
Iran,2020-08-09,24533.0,326712.0,18427.0
Iran,2020-08-10,25319.0,328844.0,18616.0
Iran,2020-08-11,24697.0,331189.0,18800.0
Iran,2020-08-12,26711.0,333699.0,18988.0
Iran,2020-08-15,23764.0,341070.0,19492.0
Iran,2020-08-16,25573.0,343203.0,19639.0
Iran,2020-08-17,26113.0,345450.0,19804.0
Iran,2020-08-18,26111.0,347835.0,19972.0
Iran,2020-08-19,25791.0,350279.0,20125.0
Iran,2020-08-20,23901.0,352558.0,20264.0
Iran,2020-08-23,25401.0,358905.0,20643.0
Iran,2020-08-24,25711.0,361150.0,20776.0
Iran,2020-08-25,25891.0,363363.0,20901.0
Iran,2020-08-26,25493.0,365606.0,21020.0
Iran,2020-08-27,24976.0,367796.0,21137.0
Iran,2020-08-28,23112.0,369911.0,21249.0
Iran,2020-08-31,23841.0,375212.0,21571.0
Iran,2020-09-01,25012.0,376894.0,21672.0
Iran,2020-09-02,25839.0,378752.0,21797.0
Iran,2020-09-03,25422.0,380746.0,21926.0
Iran,2020-09-08,25591.0,391112.0,22542.0
Iran,2020-09-09,26097.0,393425.0,22669.0
Iran,2020-09-12,24936.0,399940.0,23029.0
Iran,2020-09-13,26691.0,402029.0,23157.0
Iran,2020-09-14,27283.0,404648.0,23313.0
