Entity,Date,Daily tests,Cases,Deaths
Iraq,2020-04-08,2083.0,1202.0,69.0
Iraq,2020-04-09,2052.0,1232.0,69.0
Iraq,2020-04-10,1692.0,1279.0,70.0
Iraq,2020-04-11,1731.0,1318.0,72.0
Iraq,2020-04-12,1526.0,1352.0,76.0
Iraq,2020-04-13,2376.0,1378.0,78.0
Iraq,2020-04-14,7646.0,1400.0,78.0
Iraq,2020-04-15,698.0,1415.0,79.0
Iraq,2020-04-16,3125.0,1434.0,80.0
Iraq,2020-04-17,2477.0,1482.0,81.0
Iraq,2020-04-18,2218.0,1513.0,82.0
Iraq,2020-04-19,2192.0,1539.0,82.0
Iraq,2020-04-20,2908.0,1574.0,82.0
Iraq,2020-04-21,1782.0,1602.0,83.0
Iraq,2020-04-22,2043.0,1631.0,83.0
Iraq,2020-04-23,2002.0,1677.0,83.0
Iraq,2020-04-24,2411.0,1708.0,86.0
Iraq,2020-04-25,931.0,1763.0,86.0
Iraq,2020-04-26,3247.0,1820.0,87.0
Iraq,2020-04-27,2311.0,1847.0,88.0
Iraq,2020-04-28,4648.0,1928.0,90.0
Iraq,2020-04-29,8278.0,2003.0,92.0
Iraq,2020-04-30,5353.0,2085.0,93.0
Iraq,2020-05-01,3338.0,2153.0,94.0
Iraq,2020-05-02,2854.0,2219.0,95.0
Iraq,2020-05-05,5898.0,2431.0,102.0
Iraq,2020-05-06,4242.0,2480.0,102.0
Iraq,2020-05-07,2878.0,2543.0,102.0
Iraq,2020-05-08,2337.0,2603.0,104.0
Iraq,2020-05-09,1979.0,2679.0,107.0
Iraq,2020-05-10,2233.0,2767.0,109.0
Iraq,2020-05-11,2548.0,2818.0,110.0
Iraq,2020-05-12,2756.0,2913.0,112.0
Iraq,2020-05-13,4183.0,3032.0,115.0
Iraq,2020-05-14,3933.0,3143.0,115.0
Iraq,2020-05-15,2921.0,3193.0,117.0
Iraq,2020-05-16,3100.0,3260.0,121.0
Iraq,2020-05-17,3107.0,3404.0,123.0
Iraq,2020-05-18,3520.0,3554.0,127.0
Iraq,2020-05-19,4441.0,3611.0,131.0
Iraq,2020-05-20,5947.0,3724.0,134.0
Iraq,2020-06-01,10495.0,6868.0,215.0
Iraq,2020-06-02,13463.0,7387.0,235.0
Iraq,2020-06-03,8585.0,8168.0,256.0
Iraq,2020-06-04,11960.0,8840.0,271.0
Iraq,2020-06-05,9642.0,9846.0,285.0
Iraq,2020-06-06,12543.0,11098.0,318.0
Iraq,2020-06-07,8609.0,12366.0,346.0
Iraq,2020-06-08,8927.0,13481.0,370.0
Iraq,2020-06-09,10711.0,14268.0,392.0
Iraq,2020-06-10,7835.0,15414.0,426.0
Iraq,2020-06-11,9342.0,16675.0,457.0
Iraq,2020-06-12,9757.0,17770.0,496.0
Iraq,2020-06-13,10325.0,18950.0,549.0
Iraq,2020-06-14,9920.0,20209.0,607.0
Iraq,2020-06-15,10135.0,21315.0,652.0
Iraq,2020-06-16,10330.0,22700.0,712.0
Iraq,2020-06-17,13053.0,24254.0,773.0
Iraq,2020-06-18,10578.0,25717.0,856.0
Iraq,2020-06-19,11226.0,27352.0,925.0
Iraq,2020-06-20,10022.0,29222.0,1013.0
Iraq,2020-06-21,10027.0,30868.0,1100.0
Iraq,2020-06-22,10075.0,32676.0,1167.0
Iraq,2020-06-23,10672.0,34502.0,1251.0
Iraq,2020-06-24,11445.0,36702.0,1330.0
Iraq,2020-06-25,11370.0,39139.0,1437.0
Iraq,2020-06-26,11920.0,41193.0,1559.0
Iraq,2020-06-27,9630.0,43262.0,1660.0
Iraq,2020-06-28,10595.0,45402.0,1756.0
Iraq,2020-06-29,11172.0,47151.0,1839.0
Iraq,2020-06-30,12425.0,49109.0,1943.0
Iraq,2020-07-01,11378.0,51524.0,2050.0
Iraq,2020-07-02,11762.0,53708.0,2160.0
Iraq,2020-07-03,12176.0,56020.0,2262.0
Iraq,2020-07-04,9516.0,58354.0,2368.0
Iraq,2020-07-05,11711.0,60479.0,2473.0
Iraq,2020-07-06,11519.0,62275.0,2567.0
Iraq,2020-07-07,11813.0,64701.0,2685.0
Iraq,2020-07-08,12807.0,67442.0,2779.0
Iraq,2020-07-09,11809.0,69612.0,2882.0
Iraq,2020-07-10,12054.0,72460.0,2960.0
Iraq,2020-07-11,10388.0,75194.0,3055.0
Iraq,2020-07-12,11154.0,77506.0,3150.0
Iraq,2020-07-13,15380.0,79735.0,3250.0
Iraq,2020-07-18,15229.0,90220.0,3691.0
Iraq,2020-07-19,15737.0,92530.0,3781.0
Iraq,2020-07-20,16498.0,94693.0,3869.0
Iraq,2020-07-21,16280.0,97159.0,3950.0
Iraq,2020-07-22,18416.0,99865.0,4042.0
Iraq,2020-07-23,16947.0,102226.0,4122.0
Iraq,2020-07-27,17141.0,112585.0,4458.0
Iraq,2020-07-28,16922.0,115332.0,4535.0
Iraq,2020-07-29,18556.0,118300.0,4603.0
Iraq,2020-07-30,18018.0,121263.0,4671.0
Iraq,2020-07-31,17634.0,124609.0,4741.0
Iraq,2020-08-01,13791.0,126704.0,4805.0
Iraq,2020-08-02,14399.0,129151.0,4868.0
Iraq,2020-08-03,13647.0,131886.0,4934.0
Iraq,2020-08-04,16813.0,134722.0,5017.0
Iraq,2020-08-05,16531.0,137556.0,5094.0
Iraq,2020-08-06,16591.0,140603.0,5161.0
Iraq,2020-08-07,17517.0,144064.0,5236.0
Iraq,2020-08-08,17125.0,147389.0,5310.0
Iraq,2020-08-09,18003.0,150115.0,5392.0
Iraq,2020-08-10,19663.0,153599.0,5464.0
Iraq,2020-08-11,18901.0,156995.0,5531.0
Iraq,2020-08-12,19933.0,160436.0,5588.0
Iraq,2020-08-13,21026.0,164277.0,5641.0
Iraq,2020-08-14,20446.0,168290.0,5709.0
Iraq,2020-08-15,18295.0,172583.0,5785.0
Iraq,2020-08-16,19278.0,176931.0,5860.0
Iraq,2020-08-17,21403.0,180133.0,5954.0
Iraq,2020-08-18,20772.0,184709.0,6036.0
Iraq,2020-08-19,20356.0,188802.0,6121.0
Iraq,2020-08-23,19679.0,204341.0,6428.0
Iraq,2020-08-26,20359.0,215784.0,6668.0
Iraq,2020-08-31,18578.0,234934.0,7042.0
Iraq,2020-09-01,18427.0,238338.0,7123.0
Iraq,2020-09-02,23123.0,242284.0,7201.0
Iraq,2020-09-03,23029.0,247039.0,7275.0
Iraq,2020-09-06,22772.0,260370.0,7512.0
Iraq,2020-09-07,24318.0,264684.0,7589.0
Iraq,2020-09-11,23186.0,282672.0,7881.0
Iraq,2020-09-12,18949.0,286778.0,7941.0
Iraq,2020-09-13,19353.0,290309.0,8014.0
Iraq,2020-09-14,23989.0,294478.0,8086.0
Iraq,2020-09-15,22141.0,298702.0,8166.0
Iraq,2020-09-16,24558.0,303059.0,8248.0
Iraq,2020-09-17,25206.0,307385.0,8332.0
Iraq,2020-09-18,23291.0,311690.0,8408.0
Iraq,2020-09-19,17438.0,315597.0,8491.0
Iraq,2020-09-20,18064.0,319035.0,8555.0
Iraq,2020-09-21,19756.0,322856.0,8625.0
Iraq,2020-09-22,21644.0,327580.0,8682.0
Iraq,2020-09-23,22816.0,332635.0,8754.0
Iraq,2020-09-24,20581.0,337106.0,8799.0
Iraq,2020-09-25,20662.0,341699.0,8867.0
Iraq,2020-09-26,17769.0,345969.0,8935.0
Iraq,2020-09-27,18543.0,349450.0,8990.0
Iraq,2020-09-28,22054.0,353566.0,9052.0
Iraq,2020-09-29,23168.0,358290.0,9122.0
