Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-02-29,,1.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-01,,1.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-02,,1.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-03,,2.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-04,,6.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-05,,6.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-06,,18.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-07,,18.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-08,,19.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-09,,21.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-10,,34.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-11,,43.0,1.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-12,,43.0,1.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-13,,90.0,1.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-14,,129.0,2.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-15,,129.0,2.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-16,,169.0,2.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-17,,223.0,2.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-18,,292.0,2.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-19,946.0,557.0,3.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-20,1469.0,683.0,3.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-21,1564.0,785.0,3.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-22,978.0,906.0,4.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-23,2581.0,1125.0,6.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-24,1566.0,1329.0,7.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-25,1775.0,1564.0,9.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-26,3376.0,1819.0,19.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-27,2941.0,2121.0,22.0
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-03-28,2206.0,2415.0,36.0
