Entity,Date,Daily tests,Cases,Deaths
Israel,2020-02-20,29.0,,
Israel,2020-02-21,28.0,1.0,
Israel,2020-02-22,13.0,1.0,
Israel,2020-02-23,56.0,1.0,
Israel,2020-02-24,75.0,1.0,
Israel,2020-02-25,108.0,1.0,
Israel,2020-02-26,108.0,2.0,
Israel,2020-02-27,171.0,3.0,
Israel,2020-02-28,118.0,6.0,
Israel,2020-02-29,158.0,6.0,
Israel,2020-03-01,187.0,7.0,
Israel,2020-03-02,171.0,12.0,
Israel,2020-03-03,235.0,15.0,
Israel,2020-03-04,129.0,15.0,
Israel,2020-03-05,173.0,21.0,
Israel,2020-03-06,274.0,37.0,
Israel,2020-03-07,336.0,47.0,
Israel,2020-03-08,421.0,56.0,
Israel,2020-03-09,518.0,60.0,
Israel,2020-03-10,520.0,88.0,
Israel,2020-03-11,401.0,60.0,
Israel,2020-03-12,607.0,81.0,
Israel,2020-03-13,694.0,112.0,
Israel,2020-03-14,614.0,138.0,
Israel,2020-03-15,1183.0,177.0,
Israel,2020-03-16,1345.0,251.0,
Israel,2020-03-17,1647.0,295.0,
Israel,2020-03-18,2106.0,371.0,
Israel,2020-03-19,2076.0,386.0,
Israel,2020-03-20,2317.0,628.0,1.0
Israel,2020-03-21,2108.0,843.0,1.0
Israel,2020-03-22,3350.0,1080.0,1.0
Israel,2020-03-23,3626.0,1249.0,1.0
Israel,2020-03-24,4789.0,1351.0,4.0
Israel,2020-03-25,5936.0,2468.0,5.0
Israel,2020-03-26,6504.0,2988.0,10.0
Israel,2020-03-27,5750.0,3421.0,12.0
Israel,2020-03-28,5739.0,3901.0,13.0
Israel,2020-03-29,7575.0,4433.0,16.0
Israel,2020-03-30,7101.0,4979.0,17.0
Israel,2020-03-31,7989.0,5717.0,21.0
Israel,2020-04-01,9008.0,6413.0,29.0
Israel,2020-04-02,10225.0,7132.0,38.0
Israel,2020-04-03,10329.0,7729.0,43.0
Israel,2020-04-04,6355.0,8157.0,49.0
Israel,2020-04-05,9394.0,8740.0,56.0
Israel,2020-04-06,7498.0,9191.0,64.0
Israel,2020-04-07,6967.0,9568.0,72.0
Israel,2020-04-08,5878.0,9906.0,80.0
Israel,2020-04-09,5748.0,10249.0,89.0
Israel,2020-04-10,7347.0,10607.0,97.0
Israel,2020-04-11,6702.0,10952.0,103.0
Israel,2020-04-12,10598.0,11504.0,109.0
Israel,2020-04-13,10950.0,11942.0,118.0
Israel,2020-04-14,12678.0,12341.0,126.0
Israel,2020-04-15,9450.0,12652.0,139.0
Israel,2020-04-16,12789.0,12948.0,146.0
Israel,2020-04-17,11595.0,13246.0,155.0
Israel,2020-04-18,10606.0,13537.0,166.0
Israel,2020-04-19,11479.0,13813.0,174.0
Israel,2020-04-20,15367.0,14112.0,180.0
Israel,2020-04-21,13612.0,14394.0,189.0
Israel,2020-04-22,13293.0,14619.0,192.0
