Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-01-31,5520.0,2.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-01,5520.0,2.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-02,5520.0,2.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-03,5520.0,2.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-04,5520.0,2.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-05,5520.0,2.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-06,5520.0,2.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-07,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-08,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-09,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-10,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-11,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-12,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-13,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-14,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-15,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-16,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-17,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-18,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-19,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-20,5520.0,3.0,527.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-21,5520.0,20.0,1.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-22,5520.0,62.0,2.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-23,5520.0,155.0,3.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-24,5520.0,229.0,7.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-25,4299.0,322.0,10.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-26,964.0,453.0,12.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-27,2427.0,655.0,17.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-28,3681.0,888.0,21.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-02-29,2966.0,1128.0,29.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-01,2466.0,1694.0,34.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-02,2218.0,2036.0,52.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-03,2511.0,2502.0,79.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-04,3981.0,3089.0,107.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-05,2525.0,3858.0,148.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-06,3997.0,4636.0,197.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-07,5703.0,5883.0,233.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-08,7875.0,7375.0,366.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-09,3889.0,9172.0,463.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-10,6935.0,10149.0,631.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-11,12393.0,12462.0,827.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-12,12857.0,15113.0,1016.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-13,11477.0,17660.0,1266.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-14,11682.0,21157.0,1441.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-15,15729.0,24747.0,1809.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-16,13063.0,27980.0,2158.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-17,10695.0,31506.0,2503.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-18,16884.0,35713.0,2978.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-19,17236.0,41035.0,3405.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-20,24109.0,47021.0,4032.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-21,26336.0,53578.0,4825.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-22,25180.0,59138.0,5476.0
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-03-23,17066.0,63927.0,6077.0
