Entity,Date,Daily tests,Cases,Deaths
Jamaica,2020-03-11,,1.0,
Jamaica,2020-03-12,,2.0,
Jamaica,2020-03-13,,8.0,
Jamaica,2020-03-14,,8.0,
Jamaica,2020-03-15,,10.0,
Jamaica,2020-03-16,,10.0,
Jamaica,2020-03-17,,12.0,
Jamaica,2020-03-18,,13.0,
Jamaica,2020-03-19,,15.0,1.0
Jamaica,2020-03-20,,16.0,1.0
Jamaica,2020-03-21,,16.0,1.0
Jamaica,2020-03-22,,19.0,1.0
Jamaica,2020-03-23,,19.0,1.0
Jamaica,2020-03-24,,21.0,1.0
Jamaica,2020-03-25,,26.0,1.0
Jamaica,2020-03-26,,26.0,1.0
Jamaica,2020-03-27,,26.0,1.0
Jamaica,2020-03-28,,30.0,1.0
Jamaica,2020-03-29,34.0,32.0,1.0
Jamaica,2020-03-30,,36.0,1.0
Jamaica,2020-03-31,,36.0,1.0
Jamaica,2020-04-01,,44.0,3.0
Jamaica,2020-04-02,,47.0,3.0
Jamaica,2020-04-03,,47.0,3.0
Jamaica,2020-04-04,,53.0,3.0
Jamaica,2020-04-05,,58.0,3.0
Jamaica,2020-04-06,,58.0,3.0
Jamaica,2020-04-07,,63.0,3.0
Jamaica,2020-04-08,,63.0,4.0
Jamaica,2020-04-09,,63.0,4.0
Jamaica,2020-04-10,,63.0,4.0
Jamaica,2020-04-11,,65.0,4.0
Jamaica,2020-04-12,,69.0,4.0
Jamaica,2020-04-13,,73.0,4.0
Jamaica,2020-04-14,,73.0,4.0
Jamaica,2020-04-15,,125.0,5.0
Jamaica,2020-04-16,,143.0,5.0
Jamaica,2020-04-17,,143.0,5.0
Jamaica,2020-04-18,64.0,163.0,5.0
Jamaica,2020-04-19,,173.0,5.0
Jamaica,2020-04-20,,223.0,5.0
Jamaica,2020-04-21,141.0,223.0,6.0
Jamaica,2020-04-22,,233.0,6.0
Jamaica,2020-04-23,,257.0,6.0
Jamaica,2020-04-24,385.0,288.0,7.0
Jamaica,2020-04-25,,305.0,7.0
Jamaica,2020-04-26,,350.0,7.0
Jamaica,2020-04-27,,364.0,7.0
Jamaica,2020-04-28,,364.0,7.0
Jamaica,2020-04-29,,396.0,7.0
Jamaica,2020-04-30,456.0,422.0,8.0
Jamaica,2020-05-01,320.0,432.0,8.0
Jamaica,2020-05-02,440.0,463.0,8.0
Jamaica,2020-05-03,416.0,469.0,9.0
Jamaica,2020-05-04,,471.0,9.0
Jamaica,2020-05-05,,473.0,9.0
Jamaica,2020-05-06,,478.0,9.0
Jamaica,2020-05-07,,488.0,9.0
Jamaica,2020-05-08,,490.0,9.0
Jamaica,2020-05-09,,490.0,9.0
Jamaica,2020-05-10,,502.0,9.0
Jamaica,2020-05-11,,505.0,9.0
Jamaica,2020-05-12,,507.0,9.0
Jamaica,2020-05-13,,509.0,9.0
Jamaica,2020-05-14,,509.0,9.0
Jamaica,2020-05-15,,511.0,9.0
Jamaica,2020-05-16,242.0,517.0,9.0
Jamaica,2020-05-17,322.0,520.0,9.0
Jamaica,2020-05-18,,520.0,9.0
Jamaica,2020-05-19,,520.0,9.0
Jamaica,2020-05-20,195.0,529.0,9.0
Jamaica,2020-05-21,157.0,534.0,9.0
Jamaica,2020-05-22,372.0,544.0,9.0
Jamaica,2020-05-23,413.0,550.0,9.0
Jamaica,2020-05-24,315.0,552.0,9.0
Jamaica,2020-05-25,335.0,556.0,9.0
Jamaica,2020-05-26,,564.0,9.0
Jamaica,2020-05-27,,569.0,9.0
Jamaica,2020-05-28,201.0,569.0,9.0
Jamaica,2020-05-29,602.0,575.0,9.0
Jamaica,2020-05-30,310.0,581.0,9.0
Jamaica,2020-05-31,328.0,586.0,9.0
Jamaica,2020-06-01,492.0,588.0,9.0
Jamaica,2020-06-02,215.0,590.0,9.0
Jamaica,2020-06-03,,591.0,10.0
Jamaica,2020-06-04,,591.0,10.0
Jamaica,2020-06-05,378.0,595.0,10.0
Jamaica,2020-06-06,230.0,596.0,10.0
Jamaica,2020-06-07,361.0,598.0,10.0
Jamaica,2020-06-08,215.0,599.0,10.0
Jamaica,2020-06-09,209.0,605.0,10.0
Jamaica,2020-06-10,138.0,605.0,10.0
Jamaica,2020-06-11,319.0,611.0,10.0
Jamaica,2020-06-12,372.0,614.0,10.0
Jamaica,2020-06-13,297.0,615.0,10.0
Jamaica,2020-06-14,344.0,617.0,10.0
Jamaica,2020-06-15,398.0,621.0,10.0
Jamaica,2020-06-16,55.0,621.0,10.0
Jamaica,2020-06-17,516.0,626.0,10.0
Jamaica,2020-06-18,1149.0,638.0,10.0
Jamaica,2020-06-19,992.0,652.0,10.0
Jamaica,2020-06-20,544.0,657.0,10.0
Jamaica,2020-06-21,274.0,659.0,10.0
Jamaica,2020-06-22,843.0,665.0,10.0
Jamaica,2020-06-23,379.0,670.0,10.0
Jamaica,2020-06-24,602.0,678.0,10.0
Jamaica,2020-06-25,451.0,684.0,10.0
Jamaica,2020-06-26,615.0,686.0,10.0
Jamaica,2020-06-27,256.0,690.0,10.0
