Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-22,5520.0,2.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-23,5520.0,2.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-24,5520.0,2.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-25,5520.0,2.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-26,5520.0,4.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-27,5520.0,4.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-28,5520.0,7.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-29,5520.0,7.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-30,5520.0,11.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-31,5520.0,15.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-01,5520.0,20.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-02,5520.0,20.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-03,5520.0,20.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-04,5520.0,22.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-05,4.0,23.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-06,19.0,23.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-07,9.0,23.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-08,4.0,24.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-09,10.0,24.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-10,12.0,26.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-11,4.0,27.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-12,10.0,28.0,527.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-13,16.0,33.0,1.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-14,43.0,43.0,1.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-15,86.0,54.0,1.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-16,65.0,60.0,1.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-17,113.0,67.0,1.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-18,9.0,79.0,2.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-19,71.0,85.0,2.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-20,90.0,95.0,2.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-21,85.0,112.0,2.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-22,96.0,137.0,2.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-23,39.0,149.0,2.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-24,104.0,160.0,2.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-25,44.0,173.0,3.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-26,168.0,192.0,3.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-27,151.0,218.0,4.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-28,130.0,236.0,5.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-02-29,178.0,245.0,6.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-03-01,96.0,259.0,6.0
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-03-02,71.0,278.0,6.0
