Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-03,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-04,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-05,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-06,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-07,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-08,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-09,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-10,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-11,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-12,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-13,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-14,,1.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-15,,8.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-16,,17.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-17,,34.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-18,,52.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-19,,69.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-20,,85.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-21,,85.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-22,,112.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-23,,127.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-24,,154.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-25,,172.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-26,,212.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-27,,235.0,1.0
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-28,,246.0,1.0
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-29,,259.0,3.0
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-30,,268.0,5.0
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-31,,274.0,5.0
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-04-01,,278.0,5.0
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-04-02,,299.0,5.0
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-04-03,,310.0,5.0
