Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-13,5520.0,4.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-14,319.0,6.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-15,207.0,9.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-16,386.0,10.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-17,932.0,33.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-18,264.0,35.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-19,1050.0,44.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-20,816.0,49.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-21,1175.0,53.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-22,1233.0,61.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-23,1754.0,62.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-24,1622.0,72.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-25,1465.0,81.0,527.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-26,2111.0,111.0,1.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-27,1687.0,150.0,1.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-28,1475.0,228.0,1.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-29,2696.0,284.0,1.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-30,1695.0,302.0,1.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-31,9892.0,343.0,2.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-01,1914.0,380.0,3.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-02,2372.0,435.0,3.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-03,7958.0,464.0,6.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-04,2403.0,531.0,5.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-05,4970.0,584.0,6.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-06,2359.0,662.0,6.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-07,1886.0,697.0,6.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-08,2008.0,727.0,7.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-09,2596.0,781.0,8.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-10,2584.0,812.0,10.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-11,3901.0,865.0,10.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-12,3448.0,951.0,10.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-13,3802.0,1091.0,12.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-14,3798.0,1232.0,14.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-15,4455.0,1295.0,16.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-16,4376.0,1402.0,17.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-17,6564.0,1546.0,17.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-18,8579.0,1615.0,17.0
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-04-19,7954.0,1676.0,17.0
