Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-13,5520.0,1.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-14,5520.0,1.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-15,5520.0,3.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-16,5520.0,3.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-17,5520.0,3.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-18,21.0,3.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-19,41.0,7.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-20,5520.0,7.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-21,5520.0,7.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-22,5520.0,15.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-23,5520.0,16.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-24,5520.0,25.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-25,5520.0,28.0,527.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-26,5520.0,31.0,1.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-27,5520.0,31.0,1.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-28,5520.0,38.0,1.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-29,69.0,42.0,1.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-30,172.0,50.0,1.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-31,234.0,59.0,1.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-04-01,380.0,81.0,1.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-04-02,662.0,110.0,3.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-04-03,362.0,122.0,4.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-04-04,372.0,126.0,4.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-04-05,530.0,142.0,4.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-04-06,663.0,158.0,6.0
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-04-07,696.0,172.0,6.0
