Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-02-24,5520.0,1.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-02-25,5520.0,11.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-02-26,5520.0,26.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-02-27,5520.0,43.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-02-28,5520.0,45.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-02-29,5520.0,45.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-01,5520.0,45.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-02,5520.0,56.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-03,5520.0,56.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-04,5520.0,56.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-05,5520.0,58.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-06,5520.0,58.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-07,5520.0,61.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-08,5520.0,64.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-09,5520.0,64.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-10,5520.0,69.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-11,5520.0,72.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-12,5520.0,80.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-13,5520.0,80.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-14,5520.0,104.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-15,5520.0,112.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-16,5520.0,123.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-17,5520.0,130.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-18,5520.0,142.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-19,5520.0,148.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-20,5520.0,159.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-21,5520.0,176.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-22,5520.0,188.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-23,5520.0,189.0,527.0
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-03-24,5520.0,191.0,527.0
