Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-02-29,116.0,,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-01,10.0,,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-02,37.0,1.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-03,41.0,1.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-04,36.0,1.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-05,35.0,1.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-06,32.0,1.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-07,14.0,1.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-08,22.0,2.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-09,48.0,6.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-10,59.0,8.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-11,47.0,10.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-12,79.0,10.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-13,127.0,17.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-14,316.0,26.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-15,334.0,30.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-16,351.0,34.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-17,495.0,49.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-18,755.0,71.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-19,720.0,86.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-20,699.0,111.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-21,1389.0,124.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-22,811.0,139.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-23,1185.0,180.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-24,887.0,197.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-25,1151.0,221.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-26,817.0,244.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-27,1089.0,280.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-28,1046.0,305.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-29,1057.0,347.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-30,502.0,376.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-03-31,500.0,398.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-04-01,1003.0,446.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-04-02,1024.0,458.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-04-03,1364.0,493.0,1.0
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-04-04,1182.0,509.0,1.0
