Entity,Date,Daily tests,Cases,Deaths
Libya,2020-04-03,14.0,11.0,1.0
Libya,2020-04-04,30.0,18.0,1.0
Libya,2020-04-05,18.0,18.0,1.0
Libya,2020-04-06,13.0,19.0,1.0
Libya,2020-04-07,27.0,20.0,1.0
Libya,2020-04-08,19.0,21.0,1.0
Libya,2020-04-09,116.0,24.0,1.0
Libya,2020-04-10,15.0,24.0,1.0
Libya,2020-04-11,16.0,24.0,1.0
Libya,2020-04-12,11.0,25.0,1.0
Libya,2020-04-13,9.0,26.0,1.0
Libya,2020-04-14,16.0,35.0,1.0
Libya,2020-04-15,49.0,48.0,1.0
Libya,2020-04-16,64.0,49.0,1.0
Libya,2020-04-17,64.0,49.0,1.0
Libya,2020-04-18,8.0,49.0,1.0
Libya,2020-04-19,25.0,51.0,1.0
Libya,2020-04-20,58.0,51.0,1.0
Libya,2020-04-21,83.0,51.0,1.0
Libya,2020-04-22,97.0,59.0,1.0
Libya,2020-04-23,156.0,60.0,2.0
Libya,2020-04-24,82.0,61.0,2.0
Libya,2020-04-25,42.0,61.0,2.0
Libya,2020-04-26,162.0,61.0,2.0
Libya,2020-04-27,82.0,61.0,2.0
Libya,2020-04-28,97.0,61.0,2.0
Libya,2020-04-29,55.0,61.0,2.0
Libya,2020-04-30,92.0,61.0,3.0
Libya,2020-05-01,148.0,63.0,3.0
Libya,2020-05-02,58.0,63.0,3.0
Libya,2020-05-03,47.0,63.0,3.0
Libya,2020-05-04,136.0,63.0,3.0
Libya,2020-05-05,168.0,63.0,3.0
Libya,2020-05-06,254.0,64.0,3.0
Libya,2020-05-07,68.0,64.0,3.0
Libya,2020-05-08,144.0,64.0,3.0
Libya,2020-05-09,121.0,64.0,3.0
Libya,2020-05-10,77.0,64.0,3.0
Libya,2020-05-11,83.0,64.0,3.0
Libya,2020-05-12,100.0,64.0,3.0
Libya,2020-05-13,120.0,64.0,3.0
Libya,2020-05-14,56.0,64.0,3.0
Libya,2020-05-15,95.0,64.0,3.0
Libya,2020-05-16,56.0,65.0,3.0
Libya,2020-05-17,43.0,65.0,3.0
Libya,2020-05-18,178.0,65.0,3.0
Libya,2020-05-19,200.0,68.0,3.0
Libya,2020-05-20,241.0,69.0,3.0
Libya,2020-05-21,326.0,71.0,3.0
Libya,2020-05-22,238.0,72.0,3.0
Libya,2020-05-23,152.0,75.0,3.0
Libya,2020-05-24,413.0,75.0,3.0
Libya,2020-05-25,123.0,75.0,3.0
Libya,2020-05-26,66.0,77.0,3.0
Libya,2020-05-27,333.0,99.0,4.0
Libya,2020-05-28,269.0,105.0,5.0
Libya,2020-05-29,423.0,118.0,5.0
Libya,2020-05-30,322.0,130.0,5.0
Libya,2020-05-31,475.0,156.0,5.0
Libya,2020-06-01,658.0,168.0,5.0
Libya,2020-06-02,504.0,182.0,5.0
Libya,2020-06-03,612.0,196.0,5.0
Libya,2020-06-04,648.0,209.0,5.0
Libya,2020-06-05,635.0,239.0,5.0
Libya,2020-06-06,396.0,256.0,5.0
Libya,2020-06-07,370.0,256.0,5.0
Libya,2020-06-08,887.0,332.0,5.0
Libya,2020-06-09,540.0,359.0,5.0
Libya,2020-06-10,683.0,378.0,5.0
Libya,2020-06-11,1140.0,393.0,5.0
Libya,2020-06-12,687.0,409.0,6.0
Libya,2020-06-13,830.0,418.0,8.0
Libya,2020-06-14,1107.0,454.0,10.0
Libya,2020-06-15,671.0,467.0,10.0
