Entity,Date,Daily tests,Cases,Deaths
Lithuania,2020-03-24,385.0,166.0,1.0
Lithuania,2020-03-25,767.0,208.0,2.0
Lithuania,2020-03-26,425.0,263.0,3.0
Lithuania,2020-03-27,1160.0,292.0,4.0
Lithuania,2020-03-28,996.0,339.0,4.0
Lithuania,2020-03-29,1007.0,378.0,4.0
Lithuania,2020-03-30,1676.0,424.0,4.0
Lithuania,2020-03-31,1475.0,468.0,4.0
Lithuania,2020-04-01,2293.0,512.0,6.0
Lithuania,2020-04-02,2503.0,579.0,6.0
Lithuania,2020-04-03,2306.0,631.0,6.0
Lithuania,2020-04-04,2325.0,683.0,7.0
Lithuania,2020-04-05,2169.0,716.0,8.0
Lithuania,2020-04-06,1798.0,750.0,10.0
Lithuania,2020-04-07,1944.0,783.0,11.0
Lithuania,2020-04-08,2153.0,821.0,11.0
Lithuania,2020-04-09,3234.0,858.0,11.0
Lithuania,2020-04-10,2769.0,896.0,12.0
Lithuania,2020-04-11,2751.0,926.0,13.0
Lithuania,2020-04-12,845.0,952.0,14.0
Lithuania,2020-04-13,754.0,970.0,15.0
Lithuania,2020-04-14,1621.0,977.0,16.0
Lithuania,2020-04-15,3013.0,995.0,20.0
Lithuania,2020-04-16,4258.0,1022.0,20.0
Lithuania,2020-04-17,5264.0,1050.0,21.0
Lithuania,2020-04-18,5807.0,1091.0,22.0
Lithuania,2020-04-19,2768.0,1153.0,23.0
Lithuania,2020-04-20,3151.0,1173.0,26.0
Lithuania,2020-04-21,5544.0,1226.0,26.0
Lithuania,2020-04-22,6681.0,1250.0,27.0
Lithuania,2020-04-23,7354.0,1272.0,27.0
Lithuania,2020-04-24,7429.0,1291.0,28.0
Lithuania,2020-04-25,6786.0,1301.0,29.0
Lithuania,2020-04-26,3213.0,1316.0,31.0
Lithuania,2020-04-27,2773.0,1328.0,32.0
Lithuania,2020-04-28,5862.0,1337.0,32.0
Lithuania,2020-04-29,6921.0,1364.0,32.0
Lithuania,2020-04-30,7639.0,1375.0,32.0
Lithuania,2020-05-01,7080.0,1389.0,32.0
Lithuania,2020-05-02,2712.0,1394.0,33.0
Lithuania,2020-05-03,2378.0,1399.0,33.0
Lithuania,2020-05-04,4027.0,1407.0,33.0
Lithuania,2020-05-05,6384.0,1410.0,33.0
Lithuania,2020-05-06,7241.0,1416.0,34.0
Lithuania,2020-05-07,8161.0,1421.0,35.0
Lithuania,2020-05-08,7827.0,1430.0,35.0
Lithuania,2020-05-09,5671.0,1459.0,35.0
Lithuania,2020-05-10,2337.0,1471.0,36.0
Lithuania,2020-05-11,4259.0,1479.0,36.0
Lithuania,2020-05-12,7004.0,1488.0,39.0
Lithuania,2020-05-13,7943.0,1502.0,39.0
Lithuania,2020-05-14,7430.0,1511.0,39.0
Lithuania,2020-05-15,8274.0,1521.0,41.0
Lithuania,2020-05-16,5712.0,1536.0,42.0
Lithuania,2020-05-17,2502.0,1545.0,43.0
Lithuania,2020-05-18,4695.0,1551.0,45.0
Lithuania,2020-05-19,7737.0,1559.0,45.0
Lithuania,2020-05-20,7153.0,1580.0,46.0
Lithuania,2020-05-21,6498.0,1592.0,46.0
Lithuania,2020-05-22,5123.0,1598.0,46.0
Lithuania,2020-05-23,3900.0,1612.0,47.0
Lithuania,2020-05-24,1940.0,1618.0,48.0
Lithuania,2020-05-25,3916.0,1628.0,49.0
Lithuania,2020-05-26,5527.0,1632.0,51.0
Lithuania,2020-05-27,6268.0,1640.0,51.0
Lithuania,2020-05-28,6619.0,1649.0,52.0
Lithuania,2020-05-29,5410.0,1654.0,52.0
Lithuania,2020-05-30,4609.0,1662.0,54.0
Lithuania,2020-05-31,2142.0,1667.0,54.0
Lithuania,2020-06-01,3704.0,1671.0,55.0
Lithuania,2020-06-02,6087.0,1676.0,55.0
Lithuania,2020-06-03,5589.0,1679.0,55.0
Lithuania,2020-06-04,4961.0,1684.0,55.0
Lithuania,2020-06-05,4790.0,1689.0,55.0
Lithuania,2020-06-06,2939.0,1700.0,55.0
Lithuania,2020-06-07,1932.0,1709.0,56.0
Lithuania,2020-06-08,3474.0,1716.0,58.0
Lithuania,2020-06-09,5177.0,1722.0,58.0
Lithuania,2020-06-10,5185.0,1728.0,58.0
Lithuania,2020-06-11,5065.0,1747.0,58.0
Lithuania,2020-06-12,4277.0,1751.0,59.0
Lithuania,2020-06-13,3142.0,1758.0,59.0
Lithuania,2020-06-14,1717.0,1763.0,59.0
Lithuania,2020-06-15,3423.0,1768.0,60.0
Lithuania,2020-06-16,5800.0,1771.0,60.0
Lithuania,2020-06-17,5138.0,1773.0,60.0
Lithuania,2020-06-18,5136.0,1779.0,60.0
Lithuania,2020-06-19,4413.0,1787.0,60.0
Lithuania,2020-06-20,2569.0,1790.0,60.0
Lithuania,2020-06-21,1684.0,1793.0,60.0
Lithuania,2020-06-22,3142.0,1796.0,60.0
Lithuania,2020-06-23,4557.0,1798.0,61.0
Lithuania,2020-06-24,4001.0,1799.0,61.0
Lithuania,2020-06-25,2928.0,1801.0,61.0
Lithuania,2020-06-26,4462.0,1803.0,61.0
Lithuania,2020-06-27,2494.0,1808.0,61.0
Lithuania,2020-06-28,1650.0,1810.0,61.0
Lithuania,2020-06-29,3741.0,1811.0,61.0
Lithuania,2020-06-30,5100.0,1812.0,61.0
Lithuania,2020-07-01,4443.0,1813.0,61.0
