Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-02-25,7.0,,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-02-26,2.0,,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-02-27,1.0,,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-02-28,4.0,,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-02-29,1.0,1.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-01,,1.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-02,,1.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-03,2.0,1.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-04,1.0,1.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-05,5.0,1.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-06,6.0,2.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-07,6.0,2.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-08,,3.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-09,,3.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-10,21.0,5.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-11,34.0,7.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-12,171.0,19.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-13,183.0,34.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-14,92.0,51.0,1.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-15,18.0,59.0,1.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-16,358.0,77.0,1.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-17,578.0,140.0,1.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-18,880.0,203.0,2.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-19,901.0,335.0,4.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-20,995.0,484.0,4.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-21,438.0,670.0,8.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-22,21.0,798.0,8.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-23,1104.0,875.0,8.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-24,885.0,1099.0,8.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-25,900.0,1333.0,8.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-26,4597.0,1453.0,9.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-27,1081.0,1605.0,15.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-28,824.0,1831.0,18.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-29,273.0,1950.0,21.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-30,1075.0,1988.0,22.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-03-31,936.0,2178.0,23.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-01,1180.0,2319.0,29.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-02,1341.0,2487.0,30.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-03,1212.0,2612.0,31.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-04,824.0,2729.0,31.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-05,551.0,2804.0,36.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-06,1050.0,2843.0,41.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-07,1020.0,2970.0,44.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-08,932.0,3034.0,46.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-09,863.0,3115.0,52.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-10,691.0,3223.0,54.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-11,308.0,3270.0,62.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-12,208.0,3281.0,66.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-13,82.0,3292.0,69.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-14,1372.0,3307.0,67.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-15,843.0,3373.0,69.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-16,958.0,3444.0,69.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-17,1032.0,3480.0,72.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-18,528.0,3537.0,72.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-19,191.0,3550.0,73.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-20,931.0,3558.0,75.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-21,752.0,3618.0,78.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-22,1140.0,3654.0,80.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-23,789.0,3665.0,83.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-24,1309.0,3695.0,85.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-25,607.0,3711.0,85.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-26,132.0,3723.0,88.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-27,758.0,3729.0,88.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-28,1724.0,3741.0,89.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-29,1885.0,3769.0,89.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-04-30,1962.0,3784.0,90.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-05-01,1392.0,3802.0,92.0
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-05-02,694.0,3812.0,92.0
