Entity,Date,Daily tests,Cases,Deaths
Madagascar,2020-03-20,,3.0,
Madagascar,2020-03-21,,3.0,
Madagascar,2020-03-22,,3.0,
Madagascar,2020-03-23,,12.0,
Madagascar,2020-03-24,,17.0,
Madagascar,2020-03-25,,19.0,
Madagascar,2020-03-26,,23.0,
Madagascar,2020-03-27,,26.0,
Madagascar,2020-03-28,,26.0,
Madagascar,2020-03-29,,39.0,
Madagascar,2020-03-30,,43.0,
Madagascar,2020-03-31,,57.0,
Madagascar,2020-04-01,,57.0,
Madagascar,2020-04-02,,59.0,
Madagascar,2020-04-03,,70.0,
Madagascar,2020-04-04,,70.0,
Madagascar,2020-04-05,,72.0,
Madagascar,2020-04-06,,82.0,
Madagascar,2020-04-07,,88.0,
Madagascar,2020-04-08,,93.0,
Madagascar,2020-04-09,,93.0,
Madagascar,2020-04-10,,93.0,
Madagascar,2020-04-11,,102.0,
Madagascar,2020-04-12,,106.0,
Madagascar,2020-04-13,,106.0,
Madagascar,2020-04-14,,108.0,
Madagascar,2020-04-15,,110.0,
Madagascar,2020-04-16,,111.0,
Madagascar,2020-04-17,,117.0,
Madagascar,2020-04-18,,120.0,
Madagascar,2020-04-19,,121.0,
Madagascar,2020-04-20,,121.0,
Madagascar,2020-04-21,,121.0,
Madagascar,2020-04-22,,121.0,
Madagascar,2020-04-23,,121.0,
Madagascar,2020-04-24,,122.0,
Madagascar,2020-04-25,,123.0,
Madagascar,2020-04-26,,124.0,
Madagascar,2020-04-27,,128.0,
Madagascar,2020-04-28,,128.0,
Madagascar,2020-04-29,42.0,128.0,
Madagascar,2020-04-30,121.0,128.0,
Madagascar,2020-05-01,72.0,132.0,
Madagascar,2020-05-02,,135.0,
Madagascar,2020-05-03,,149.0,
Madagascar,2020-05-04,,149.0,
Madagascar,2020-05-05,,151.0,
Madagascar,2020-05-06,,158.0,
Madagascar,2020-05-07,,193.0,
Madagascar,2020-05-08,,193.0,
Madagascar,2020-05-09,,193.0,
Madagascar,2020-05-10,,193.0,
Madagascar,2020-05-11,984.0,186.0,
Madagascar,2020-05-12,,186.0,
Madagascar,2020-05-13,,212.0,
Madagascar,2020-05-14,,230.0,
Madagascar,2020-05-15,,238.0,
Madagascar,2020-05-16,,283.0,
Madagascar,2020-05-17,,304.0,1.0
Madagascar,2020-05-18,,322.0,1.0
Madagascar,2020-05-19,,326.0,2.0
Madagascar,2020-05-20,,371.0,2.0
Madagascar,2020-05-21,,405.0,2.0
Madagascar,2020-05-22,,448.0,2.0
Madagascar,2020-05-23,,488.0,2.0
Madagascar,2020-05-24,,527.0,2.0
Madagascar,2020-05-25,,542.0,2.0
Madagascar,2020-05-26,,586.0,2.0
Madagascar,2020-05-27,,612.0,2.0
Madagascar,2020-05-28,167.0,656.0,2.0
Madagascar,2020-05-29,401.0,698.0,5.0
Madagascar,2020-05-30,,758.0,6.0
Madagascar,2020-05-31,,771.0,6.0
Madagascar,2020-06-01,,826.0,6.0
Madagascar,2020-06-02,,845.0,6.0
Madagascar,2020-06-03,,908.0,6.0
Madagascar,2020-06-04,,957.0,7.0
Madagascar,2020-06-05,,975.0,7.0
Madagascar,2020-06-06,,1026.0,8.0
Madagascar,2020-06-07,,1052.0,9.0
Madagascar,2020-06-08,,1094.0,9.0
Madagascar,2020-06-09,,1138.0,9.0
Madagascar,2020-06-10,,1162.0,10.0
Madagascar,2020-06-11,,1203.0,10.0
Madagascar,2020-06-12,,1240.0,10.0
Madagascar,2020-06-13,,1252.0,10.0
Madagascar,2020-06-14,,1272.0,10.0
Madagascar,2020-06-15,,1290.0,10.0
Madagascar,2020-06-16,,1317.0,12.0
Madagascar,2020-06-17,,1378.0,12.0
Madagascar,2020-06-18,,1403.0,13.0
Madagascar,2020-06-19,,1443.0,13.0
Madagascar,2020-06-20,,1503.0,13.0
Madagascar,2020-06-21,,1596.0,14.0
Madagascar,2020-06-22,622.0,1640.0,15.0
Madagascar,2020-06-23,,1724.0,15.0
Madagascar,2020-06-24,,1787.0,16.0
Madagascar,2020-06-25,,1829.0,16.0
Madagascar,2020-06-26,,1922.0,16.0
Madagascar,2020-06-27,,2005.0,16.0
Madagascar,2020-06-28,,2078.0,18.0
Madagascar,2020-06-29,480.0,2138.0,20.0
Madagascar,2020-06-30,,2214.0,20.0
Madagascar,2020-07-01,,2303.0,22.0
Madagascar,2020-07-02,,2403.0,24.0
Madagascar,2020-07-03,,2512.0,26.0
Madagascar,2020-07-04,,2728.0,29.0
Madagascar,2020-07-05,,2941.0,32.0
Madagascar,2020-07-06,,3250.0,33.0
Madagascar,2020-07-07,,3472.0,33.0
Madagascar,2020-07-08,,3573.0,33.0
Madagascar,2020-07-09,,3782.0,33.0
Madagascar,2020-07-10,,4143.0,34.0
Madagascar,2020-07-11,,4578.0,34.0
Madagascar,2020-07-12,,4867.0,35.0
Madagascar,2020-07-13,,5080.0,37.0
Madagascar,2020-07-14,,5343.0,39.0
Madagascar,2020-07-15,,5605.0,43.0
Madagascar,2020-07-16,766.0,6089.0,53.0
Madagascar,2020-07-17,,6467.0,54.0
Madagascar,2020-07-18,,6849.0,55.0
Madagascar,2020-07-19,,7049.0,59.0
Madagascar,2020-07-20,,7153.0,62.0
Madagascar,2020-07-21,,7548.0,65.0
Madagascar,2020-07-22,,8162.0,69.0
Madagascar,2020-07-23,,8381.0,70.0
Madagascar,2020-07-24,,8741.0,76.0
Madagascar,2020-07-25,372.0,8866.0,78.0
Madagascar,2020-07-26,776.0,9295.0,85.0
Madagascar,2020-07-27,,9690.0,91.0
