Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-20,5520.0,3.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-21,5520.0,3.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-22,5520.0,3.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-23,5520.0,12.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-24,5520.0,17.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-25,5520.0,19.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-26,5520.0,23.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-27,5520.0,26.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-28,5520.0,26.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-29,5520.0,39.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-30,5520.0,43.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-31,5520.0,57.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-01,5520.0,57.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-02,5520.0,59.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-03,5520.0,70.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-04,5520.0,70.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-05,5520.0,72.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-06,5520.0,82.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-07,5520.0,88.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-08,5520.0,93.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-09,5520.0,93.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-10,5520.0,93.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-11,5520.0,102.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-12,5520.0,106.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-13,5520.0,106.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-14,5520.0,108.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-15,5520.0,110.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-16,5520.0,111.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-17,5520.0,117.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-18,5520.0,120.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-19,5520.0,121.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-20,5520.0,121.0,527.0
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-04-21,5520.0,121.0,527.0
