Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-03-30,17.0,,
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-02,2.0,3.0,
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-03,5.0,3.0,
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-04,29.0,4.0,
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-05,1.0,4.0,
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-06,20.0,5.0,
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-07,2.0,8.0,1.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-08,79.0,8.0,1.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-09,7.0,8.0,1.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-10,56.0,9.0,1.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-11,27.0,12.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-12,,13.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-13,,16.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-14,,16.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-15,,16.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-16,64.0,16.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-17,7.0,17.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-18,5.0,17.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-19,,17.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-20,,17.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-21,59.0,18.0,2.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-22,34.0,23.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-23,13.0,33.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-24,51.0,33.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-25,47.0,33.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-26,26.0,34.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-27,13.0,36.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-28,41.0,36.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-29,30.0,36.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-04-30,57.0,37.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-01,67.0,37.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-02,9.0,38.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-03,8.0,39.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-04,46.0,41.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-05,71.0,41.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-06,41.0,43.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-07,79.0,43.0,3.0
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-05-08,79.0,43.0,3.0
