Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-25,5520.0,3.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-26,5520.0,4.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-27,5520.0,4.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-28,5520.0,4.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-29,5520.0,7.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-30,5520.0,8.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-31,5520.0,8.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-01,5520.0,8.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-02,5520.0,8.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-03,5520.0,8.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-04,5520.0,10.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-05,5520.0,12.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-06,5520.0,12.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-07,5520.0,12.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-08,5520.0,16.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-09,5520.0,16.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-10,5520.0,18.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-11,5520.0,18.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-12,5520.0,18.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-13,5520.0,19.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-14,5520.0,19.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-15,5520.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-16,5520.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-17,101.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-18,40.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-19,5520.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-20,5520.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-21,88.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-22,5520.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-23,5520.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-24,26.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-25,13.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-26,24.0,22.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-27,454.0,23.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-28,3.0,23.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-02-29,5520.0,25.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-03-01,5520.0,29.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-03-02,5520.0,29.0,527.0
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-03-03,5520.0,36.0,527.0
