Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-02-25,29.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-02-26,50.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-02-27,14.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-02-28,10.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-02-29,7.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-01,8.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-02,5.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-03,22.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-04,42.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-05,31.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-06,63.0,21431.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-07,98.0,3.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-08,118.0,3.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-09,83.0,3.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-10,65.0,5.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-11,162.0,6.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-12,188.0,6.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-13,148.0,12.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-14,154.0,18.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-15,130.0,21.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-16,141.0,30.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-17,160.0,38.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-18,302.0,38.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-19,276.0,53.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-20,259.0,64.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-21,296.0,73.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-22,309.0,90.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-23,311.0,107.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-24,488.0,110.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-25,405.0,129.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-26,454.0,134.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-27,518.0,139.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-28,599.0,149.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-29,631.0,151.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-30,564.0,156.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-03-31,625.0,169.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-01,737.0,188.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-02,747.0,196.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-03,660.0,202.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-04,654.0,213.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-05,555.0,227.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-06,817.0,241.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-07,991.0,293.0,527.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-08,1001.0,299.0,1.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-09,995.0,337.0,2.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-10,1200.0,350.0,2.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-11,1024.0,370.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-12,948.0,378.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-13,1047.0,384.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-14,1062.0,393.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-15,1029.0,399.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-16,1076.0,412.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-17,979.0,422.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-18,783.0,426.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-19,572.0,427.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-20,705.0,431.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-21,810.0,443.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-22,640.0,444.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-23,609.0,445.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-24,555.0,447.0,3.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-25,614.0,448.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-26,698.0,448.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-27,1068.0,450.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-28,1207.0,458.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-29,1243.0,463.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-04-30,1181.0,465.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-01,1008.0,467.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-02,1070.0,468.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-03,731.0,477.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-04,1214.0,480.0,4.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-05,1394.0,482.0,5.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-06,1009.0,484.0,5.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-07,1135.0,486.0,5.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-08,1005.0,489.0,5.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-09,1107.0,490.0,5.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-10,775.0,496.0,5.0
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-05-11,1238.0,503.0,5.0
