Entity,Date,Daily tests,Cases,Deaths
Mauritania,2020-04-02,4.0,6.0,1.0
Mauritania,2020-04-13,40.0,7.0,1.0
Mauritania,2020-04-14,67.0,7.0,1.0
Mauritania,2020-04-15,119.0,7.0,1.0
Mauritania,2020-04-23,44.0,7.0,1.0
Mauritania,2020-04-24,177.0,7.0,1.0
Mauritania,2020-04-25,93.0,7.0,1.0
Mauritania,2020-04-28,55.0,7.0,1.0
Mauritania,2020-04-29,1.0,8.0,1.0
Mauritania,2020-04-30,77.0,8.0,1.0
Mauritania,2020-05-03,28.0,8.0,1.0
Mauritania,2020-05-04,11.0,8.0,1.0
Mauritania,2020-05-05,83.0,8.0,1.0
Mauritania,2020-05-10,55.0,8.0,1.0
Mauritania,2020-05-11,6.0,8.0,1.0
Mauritania,2020-05-12,12.0,9.0,1.0
Mauritania,2020-05-13,5.0,15.0,2.0
Mauritania,2020-05-16,72.0,40.0,4.0
Mauritania,2020-05-17,294.0,62.0,4.0
Mauritania,2020-05-18,145.0,81.0,4.0
Mauritania,2020-05-19,170.0,131.0,4.0
Mauritania,2020-05-24,163.0,237.0,6.0
Mauritania,2020-05-25,618.0,262.0,9.0
Mauritania,2020-05-28,287.0,346.0,19.0
Mauritania,2020-05-29,1032.0,423.0,20.0
Mauritania,2020-06-10,498.0,1283.0,71.0
Mauritania,2020-06-11,991.0,1439.0,74.0
Mauritania,2020-06-15,631.0,1887.0,91.0
Mauritania,2020-06-16,1068.0,2057.0,93.0
Mauritania,2020-07-04,748.0,4827.0,129.0
Mauritania,2020-07-05,363.0,4879.0,130.0
Mauritania,2020-07-08,850.0,5087.0,139.0
Mauritania,2020-07-09,682.0,5126.0,144.0
Mauritania,2020-07-13,766.0,5446.0,147.0
Mauritania,2020-07-20,742.0,5923.0,155.0
Mauritania,2020-07-23,438.0,6067.0,156.0
Mauritania,2020-07-26,394.0,6171.0,156.0
Mauritania,2020-08-03,380.0,6382.0,157.0
Mauritania,2020-08-06,515.0,6444.0,157.0
Mauritania,2020-08-07,340.0,6498.0,157.0
Mauritania,2020-08-08,220.0,6510.0,157.0
Mauritania,2020-08-09,154.0,6523.0,157.0
Mauritania,2020-08-10,217.0,6555.0,157.0
Mauritania,2020-08-11,371.0,6598.0,157.0
Mauritania,2020-08-12,543.0,6622.0,157.0
Mauritania,2020-08-13,332.0,6653.0,157.0
Mauritania,2020-08-14,417.0,6676.0,157.0
Mauritania,2020-08-15,130.0,6693.0,157.0
Mauritania,2020-08-16,124.0,6701.0,157.0
Mauritania,2020-08-17,406.0,6762.0,157.0
Mauritania,2020-08-18,380.0,6789.0,157.0
Mauritania,2020-08-19,412.0,6829.0,158.0
Mauritania,2020-08-31,295.0,7048.0,159.0
Mauritania,2020-09-13,146.0,7276.0,161.0
Mauritania,2020-09-14,227.0,7295.0,161.0
Mauritania,2020-09-15,301.0,7319.0,161.0
Mauritania,2020-09-19,405.0,7365.0,161.0
Mauritania,2020-09-20,267.0,7368.0,161.0
Mauritania,2020-09-30,216.0,7502.0,161.0
Mauritania,2020-10-01,311.0,7505.0,161.0
Mauritania,2020-10-05,288.0,7523.0,162.0
Mauritania,2020-10-11,91.0,7550.0,163.0
Mauritania,2020-11-01,81.0,7704.0,163.0
Mauritania,2020-11-02,677.0,7704.0,163.0
Mauritania,2020-11-25,739.0,8246.0,171.0
Mauritania,2020-12-01,746.0,8710.0,177.0
Mauritania,2021-01-11,1195.0,15611.0,387.0
Mauritania,2021-02-06,674.0,16792.0,425.0
