Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-01,25.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-02,72.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-03,89.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-04,45.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-05,81.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-06,167.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-07,185.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-08,168.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-09,190.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-10,149.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-11,45.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-12,130.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-13,225.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-14,240.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-15,266.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-16,232.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-17,185.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-18,69.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-19,121.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-20,292.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-21,273.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-22,291.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-23,265.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-24,209.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-25,105.0,21431.0,527.0
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-26,159.0,21431.0,527.0
