Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-10,5520.0,1.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-11,5520.0,1.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-12,5520.0,1.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-13,5520.0,1.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-14,5520.0,1.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-15,5520.0,1.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-16,5520.0,1.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-17,5520.0,5.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-18,5520.0,6.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-19,5520.0,6.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-20,5520.0,6.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-21,5520.0,10.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-22,5520.0,10.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-23,5520.0,10.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-24,5520.0,10.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-25,5520.0,10.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-26,5520.0,11.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-27,5520.0,11.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-28,5520.0,12.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-29,5520.0,12.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-30,5520.0,12.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-31,5520.0,12.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-01,5520.0,14.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-02,5520.0,14.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-03,5520.0,14.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-04,5520.0,14.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-05,5520.0,14.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-06,5520.0,15.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-07,5520.0,15.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-08,5520.0,16.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-09,5520.0,16.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-10,5520.0,16.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-11,5520.0,16.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-12,5520.0,16.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-13,5520.0,17.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-14,5520.0,30.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-15,5520.0,30.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-16,5520.0,31.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-17,5520.0,31.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-18,5520.0,31.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-19,5520.0,32.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-20,5520.0,33.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-21,5520.0,34.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-22,5520.0,35.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-23,5520.0,36.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-24,5520.0,37.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-25,5520.0,37.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-26,5520.0,38.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-27,5520.0,38.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-28,5520.0,38.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-29,5520.0,38.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-04-30,5520.0,38.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-05-01,5520.0,38.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-05-02,5520.0,39.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-05-03,5520.0,39.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-05-04,5520.0,40.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-05-05,5520.0,41.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-05-06,5520.0,41.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-05-07,5520.0,41.0,527.0
