Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-02-23,1.0,21431.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-02-24,1.0,21431.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-02-25,1.0,21431.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-02-26,2.0,21431.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-02-27,2.0,21431.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-02,5520.0,1.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-03,4.0,1.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-04,2.0,1.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-05,7.0,2.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-06,10.0,2.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-07,5.0,2.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-08,5520.0,2.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-09,5520.0,2.0,527.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-10,4.0,3.0,1.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-11,5520.0,5.0,1.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-12,5520.0,6.0,1.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-13,4.0,7.0,1.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-14,29.0,17.0,1.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-15,5520.0,28.0,1.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-16,5520.0,29.0,1.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-17,38.0,38.0,2.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-18,90.0,49.0,2.0
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-03-19,53.0,63.0,2.0
